player_name,sample_size,DG_odds,bet365_odds,bet365_ev,whill_odds,whill_ev,fanduel_odds,fanduel_ev,draftkings_odds,draftkings_ev,pinnacle_odds,pinnacle_ev,betcris_odds,betcris_ev,betfair_odds,betfair_ev,betmgm_odds,betmgm_ev,betonline_odds,betonline_ev,betway_odds,betway_ev,bovada_odds,bovada_ev,circa_odds,circa_ev,pointsbet_odds,pointsbet_ev,skybet_odds,skybet_ev,unibet_odds,unibet_ev
"Bezuidenhout, Christiaan",150,+5852,+3500,-0.395,+3000,-0.479,+3300,-0.429,+2000,-0.647,+3351,-0.420,,0.00,+3300,-0.429,+3300,-0.429,+2800,-0.513,+2800,-0.513,+3000,-0.479,,0.00,+2000,-0.647,+2800,-0.513,+3300,-0.429
"Lahiri, Anirban",150,+6035,+6600,0.092,+5000,-0.169,+5500,-0.087,+7000,0.157,+7109,0.175,,0.00,+5000,-0.169,+7000,0.157,+4500,-0.250,+6600,0.092,+5000,-0.169,,0.00,+7000,0.157,+4500,-0.250,+6600,0.092
"Smalley, Alex",150,+6321,+6600,0.044,+6600,0.044,+5500,-0.128,+8000,0.262,+8126,0.281,,0.00,+5000,-0.206,+6600,0.044,+5000,-0.206,+6600,0.044,+6600,0.044,,0.00,+6000,-0.050,+5000,-0.206,+6600,0.044
"Streelman, Kevin",150,+6331,+5500,-0.129,+4000,-0.362,+4500,-0.285,+6500,0.026,+6407,0.012,,0.00,+4000,-0.362,+5000,-0.207,+5000,-0.207,+5000,-0.207,+5000,-0.207,,0.00,+5000,-0.207,+3500,-0.440,+5500,-0.129
"Glover, Lucas",150,+6623,+4500,-0.316,+4500,-0.316,+4500,-0.316,+4000,-0.390,+5080,-0.229,,0.00,+4000,-0.390,+5000,-0.241,+3300,-0.494,+4000,-0.390,+4000,-0.390,,0.00,+4000,-0.390,+4500,-0.316,+5000,-0.241
"Schenk, Adam",150,+6634,+5500,-0.168,+5000,-0.243,+5500,-0.168,+6000,-0.094,+6565,-0.010,,0.00,+5000,-0.243,+5000,-0.243,+3500,-0.465,+5000,-0.243,+4000,-0.391,,0.00,+6000,-0.094,+4500,-0.317,+5500,-0.168
"Pan, C.T.",150,+6703,+5000,-0.250,+4500,-0.324,+5000,-0.250,+5500,-0.177,+6096,-0.089,,0.00,+5000,-0.250,+5500,-0.177,,0.00,+5000,-0.250,+5000,-0.250,,0.00,+5000,-0.250,+3500,-0.471,+6000,-0.103
"Svensson, Adam",150,+7081,+5500,-0.220,+5000,-0.290,+4500,-0.359,+6500,-0.081,+6703,-0.053,,0.00,+4000,-0.429,+4000,-0.429,+4000,-0.429,+5000,-0.290,+5000,-0.290,,0.00,+5000,-0.290,+5000,-0.290,+4000,-0.429
"Lipsky, David",150,+7160,+7000,-0.022,+6600,-0.077,+6500,-0.091,+8000,0.116,+9113,0.269,,0.00,+6600,-0.077,+6600,-0.077,+7500,0.047,+6600,-0.077,+8000,0.116,,0.00,+8000,0.116,+8000,0.116,+6600,-0.077
"Huh, John",150,+7173,+6600,-0.079,+6000,-0.161,+4500,-0.368,+4500,-0.368,+6350,-0.113,,0.00,+4000,-0.436,+5000,-0.299,+5500,-0.230,+6600,-0.079,+5000,-0.299,,0.00,+6000,-0.161,+6600,-0.079,+6000,-0.161
"Laird, Martin",150,+7199,+6000,-0.164,+5000,-0.301,+5000,-0.301,+7000,-0.027,+7109,-0.012,,0.00,+5000,-0.301,+5000,-0.301,+5500,-0.233,+4000,-0.438,+5000,-0.301,,0.00,+6000,-0.164,+4500,-0.370,+4500,-0.370
"Grillo, Emiliano",150,+7447,+7000,-0.059,+6600,-0.112,+5000,-0.324,+8000,0.073,+7674,0.030,,0.00,+5000,-0.324,+8000,0.073,+7500,0.007,+8000,0.073,+8000,0.073,,0.00,+7000,-0.059,+6600,-0.112,+8000,0.073
"Griffin, Lanto",150,+7637,+6000,-0.212,+5000,-0.341,+5500,-0.276,+6500,-0.147,+6480,-0.150,,0.00,+5000,-0.341,+6600,-0.134,+3800,-0.496,+5000,-0.341,+5000,-0.341,,0.00,+6000,-0.212,+4000,-0.470,+4000,-0.470
"Todd, Brendon",150,+7637,+3300,-0.561,+3300,-0.561,+3100,-0.586,+3500,-0.535,+3553,-0.528,,0.00,+2800,-0.625,+2800,-0.625,+2800,-0.625,+3300,-0.561,+2800,-0.625,,0.00,+3300,-0.561,+3000,-0.599,+2800,-0.625
"Duncan, Tyler",150,+7884,+9000,0.140,+9000,0.140,+8000,0.015,+10000,0.265,+9648,0.221,,0.00,+8000,0.015,+9000,0.140,+9000,0.140,+10000,0.265,+8000,0.015,,0.00,+8000,0.015,+7000,-0.111,+8000,0.015
"Lashley, Nate",150,+7981,+10000,0.250,+8000,0.002,+8000,0.002,+6500,-0.183,+9648,0.206,,0.00,+8000,0.002,+8000,0.002,+9000,0.126,+10000,0.250,+10000,0.250,,0.00,+7000,-0.121,+12500,0.559,+8000,0.002
"Armour, Ryan",150,+8080,+11000,0.357,+10000,0.235,+8000,-0.010,+10000,0.235,+12187,0.502,,0.00,+8000,-0.010,+8000,-0.010,+9000,0.112,+10000,0.235,+8000,-0.010,,0.00,+8000,-0.010,+11000,0.357,+8000,-0.010
"Reavie, Chez",150,+8216,+5000,-0.387,+5000,-0.387,+5000,-0.387,+4500,-0.447,+5586,-0.316,,0.00,+5000,-0.387,+4000,-0.507,+4000,-0.507,+4000,-0.507,+4000,-0.507,,0.00,+4000,-0.507,+3500,-0.567,+5500,-0.327
"Champ, Cameron",150,+9268,+5000,-0.456,+5000,-0.456,+4000,-0.562,+5500,-0.402,+6703,-0.274,,0.00,+4000,-0.562,+5000,-0.456,+4000,-0.562,+5000,-0.456,+4000,-0.562,,0.00,+5000,-0.456,+3500,-0.616,+6600,-0.285
"Hubbard, Mark",150,+9752,+9000,-0.076,+8000,-0.178,+6500,-0.330,+7000,-0.279,+9141,-0.062,,0.00,+6600,-0.320,+6600,-0.320,+8000,-0.178,+8000,-0.178,+6600,-0.320,,0.00,+7000,-0.279,+8000,-0.178,+6600,-0.320
"Taylor, Nick",150,+9850,+7500,-0.236,+7000,-0.286,+8000,-0.186,+4500,-0.538,+7673,-0.219,,0.00,+8000,-0.186,+6600,-0.327,+6000,-0.387,+6600,-0.327,+6600,-0.327,,0.00,+5000,-0.487,+6600,-0.327,+8000,-0.186
"Smotherman, Austin",150,+10889,+11000,0.010,+10000,-0.081,+10000,-0.081,+11000,0.010,+11172,0.026,,0.00,+10000,-0.081,+10000,-0.081,+9000,-0.172,+10000,-0.081,+10000,-0.081,,0.00,+10000,-0.081,+12500,0.147,+10000,-0.081
"Moore, Taylor",150,+11042,+11000,-0.004,+12500,0.131,+9500,-0.138,+15000,0.355,+14216,0.285,,0.00,+8000,-0.273,+15000,0.355,+12500,0.131,+12500,0.131,+12500,0.131,,0.00,+12500,0.131,+15000,0.355,+9000,-0.183
"Putnam, Andrew",150,+11168,+10000,-0.104,+8000,-0.281,+8000,-0.281,+10000,-0.104,+9410,-0.156,,0.00,+8000,-0.281,+8000,-0.281,+10000,-0.104,+10000,-0.104,+10000,-0.104,,0.00,+8000,-0.281,+8000,-0.281,+8000,-0.281
"Ryder, Sam",150,+11427,+12500,0.093,+9000,-0.211,+12000,0.050,+8000,-0.297,+12187,0.066,,0.00,+10000,-0.124,+12500,0.093,+13000,0.136,+12500,0.093,+12500,0.093,,0.00,+10000,-0.124,+12500,0.093,+9000,-0.211
"Gotterup, Chris",150,+11596,+12500,0.077,+8000,-0.307,+9500,-0.179,+13000,0.120,+13326,0.148,,0.00,+8000,-0.307,+8000,-0.307,,0.00,+10000,-0.136,+8000,-0.307,,0.00,+9000,-0.222,+12500,0.077,+8000,-0.307
"Piercy, Scott",150,+12284,+11000,-0.104,+10000,-0.184,+11000,-0.104,+13000,0.058,+12187,-0.008,,0.00,+10000,-0.184,+10000,-0.184,+10000,-0.184,+12500,0.017,+10000,-0.184,,0.00,+10000,-0.184,+12500,0.017,+10000,-0.184
"Frittelli, Dylan",150,+12322,+7000,-0.428,+6600,-0.461,+5000,-0.589,+6500,-0.469,+8126,-0.338,,0.00,+5000,-0.589,+8000,-0.348,+6000,-0.509,+8000,-0.348,+6600,-0.461,,0.00,+6600,-0.461,+6000,-0.509,+8000,-0.348
"Buckley, Hayden",150,+12518,+12500,-0.001,+12500,-0.001,+9500,-0.239,+15000,0.197,+14216,0.135,,0.00,+8000,-0.358,+10000,-0.200,+12500,-0.001,+10000,-0.200,+12500,-0.001,,0.00,+10000,-0.200,+10000,-0.200,+10000,-0.200
"Bramlett, Joseph",150,+12803,+14000,0.093,+12500,-0.023,+11000,-0.140,+20000,0.558,+19296,0.503,,0.00,+10000,-0.217,+15000,0.170,+15000,0.170,+12500,-0.023,+12500,-0.023,,0.00,+12500,-0.023,+12500,-0.023,+12500,-0.023
"Hickok, Kramer",150,+12845,+11000,-0.143,+12500,-0.027,+8000,-0.374,+20000,0.553,+19296,0.498,,0.00,+8000,-0.374,+15000,0.166,+12500,-0.027,+10000,-0.220,+10000,-0.220,,0.00,+10000,-0.220,+11000,-0.143,+12500,-0.027
"Sabbatini, Rory",150,+13189,+12500,-0.052,+12500,-0.052,+9500,-0.278,+13000,-0.014,+12187,-0.075,,0.00,+8000,-0.390,+10000,-0.240,+12500,-0.052,+12500,-0.052,+12500,-0.052,,0.00,+10000,-0.240,+15000,0.136,+8000,-0.390
"Hodges, Lee",150,+13599,+12500,-0.080,+10000,-0.263,+8000,-0.409,+15000,0.102,+14216,0.045,,0.00,+8000,-0.409,+8000,-0.409,+10000,-0.263,+10000,-0.263,+10000,-0.263,,0.00,+9000,-0.336,+12500,-0.080,+8000,-0.409
"Thompson, Michael",150,+13789,+10000,-0.273,+10000,-0.273,+9500,-0.309,+15000,0.087,+14216,0.031,,0.00,+8000,-0.417,+10000,-0.273,+10000,-0.273,+10000,-0.273,+10000,-0.273,,0.00,+10000,-0.273,+10000,-0.273,+10000,-0.273
"Johnson, Zach",150,+13886,+9000,-0.349,+9000,-0.349,+8000,-0.421,+10000,-0.278,+9648,-0.303,,0.00,+8000,-0.421,+10000,-0.278,+7500,-0.457,+10000,-0.278,+8000,-0.421,,0.00,+8000,-0.421,+8000,-0.421,+9000,-0.349
"Kizzire, Patton",150,+13985,+8000,-0.425,+8000,-0.425,+6500,-0.531,+8000,-0.425,+9141,-0.344,,0.00,+6600,-0.524,+9000,-0.354,+6600,-0.524,+8000,-0.425,+8000,-0.425,,0.00,+8000,-0.425,+8000,-0.425,+8000,-0.425
"Streb, Robert",150,+14135,+15000,0.061,+17500,0.236,+16000,0.131,+20000,0.412,+19296,0.363,,0.00,+15000,0.061,+15000,0.061,,0.00,+15000,0.061,+12500,-0.115,,0.00,+15000,0.061,+17500,0.236,+12500,-0.115
"Jaeger, Stephan",150,+14606,+11000,-0.245,+10000,-0.313,+11000,-0.245,+13000,-0.109,+12187,-0.164,,0.00,+10000,-0.313,+10000,-0.313,+10000,-0.313,+10000,-0.313,+10000,-0.313,,0.00,+10000,-0.313,+8000,-0.449,+10000,-0.313
"Sigg, Greyson",150,+14770,+15000,0.015,+12500,-0.153,+12000,-0.186,+20000,0.352,+19296,0.304,,0.00,+12500,-0.153,+12500,-0.153,+15000,0.015,+15000,0.015,+12500,-0.153,,0.00,+12500,-0.153,+17500,0.184,+10000,-0.321
"Garnett, Brice",150,+15167,+14000,-0.076,+12500,-0.175,+12000,-0.207,+20000,0.317,+19296,0.270,,0.00,+10000,-0.338,+12500,-0.175,+15000,-0.011,+12500,-0.175,+12500,-0.175,,0.00,+12500,-0.175,+15000,-0.011,+10000,-0.338
"Hahn, James",150,+15226,+12500,-0.178,+8000,-0.471,+8000,-0.471,+13000,-0.145,+14216,-0.066,,0.00,+8000,-0.471,+12500,-0.178,+7500,-0.504,+10000,-0.341,+15000,-0.015,,0.00,+10000,-0.341,+12500,-0.178,+15000,-0.015
"Seiffert, Chase",150,+15586,+14000,-0.101,+12500,-0.197,+16000,0.026,+15000,-0.037,+16248,0.042,,0.00,+15000,-0.037,+10000,-0.356,+12500,-0.197,+12500,-0.197,+15000,-0.037,,0.00,+12500,-0.197,+12500,-0.197,+15000,-0.037
"Ramey, Chad",150,+16361,+12500,-0.235,+10000,-0.386,+8000,-0.508,+15000,-0.083,+14216,-0.130,,0.00,+8000,-0.508,+10000,-0.386,+11000,-0.326,+12500,-0.235,+10000,-0.386,,0.00,+10000,-0.386,+15000,-0.083,+10000,-0.386
"Schwab, Matthias",150,+16429,+10000,-0.389,+10000,-0.389,+9500,-0.419,+11000,-0.328,+11172,-0.318,,0.00,+8000,-0.510,+10000,-0.389,+10000,-0.389,+10000,-0.389,+8000,-0.510,,0.00,+8000,-0.510,+8000,-0.510,+6600,-0.595
"Whaley, Vincent",150,+16636,+20000,0.201,+15000,-0.098,+16000,-0.038,+15000,-0.098,+19296,0.159,,0.00,+15000,-0.098,+12500,-0.247,,0.00,+15000,-0.098,+15000,-0.098,,0.00,+15000,-0.098,+15000,-0.098,+12500,-0.247
"Taylor, Vaughn",150,+16636,+16000,-0.038,+12500,-0.247,+16000,-0.038,+13000,-0.217,+16248,-0.023,,0.00,+15000,-0.098,+12500,-0.247,+12500,-0.247,+12500,-0.247,+15000,-0.098,,0.00,+15000,-0.098,+15000,-0.098,+15000,-0.098
"Lebioda, Hank",150,+17291,+10000,-0.419,+8000,-0.534,+7000,-0.592,+8000,-0.534,+9648,-0.439,,0.00,+6600,-0.615,+8000,-0.534,+10000,-0.419,+10000,-0.419,+10000,-0.419,,0.00,+8000,-0.534,+8000,-0.534,+9000,-0.477
"Malnati, Peter",150,+17837,+17500,-0.019,+15000,-0.158,+16000,-0.102,+15000,-0.158,+16248,-0.089,,0.00,+15000,-0.158,+17500,-0.019,+15000,-0.158,+15000,-0.158,+15000,-0.158,,0.00,+15000,-0.158,+17500,-0.019,+15000,-0.158
"Moore, Ryan",150,+18333,+11000,-0.398,+10000,-0.452,+8000,-0.561,+13000,-0.289,+11491,-0.371,,0.00,+8000,-0.561,+8000,-0.561,+7500,-0.588,+10000,-0.452,+10000,-0.452,,0.00,+10000,-0.452,+10000,-0.452,+10000,-0.452
"Hoffman, Charley",150,+19702,+12500,-0.364,+10000,-0.490,+6500,-0.667,+15000,-0.237,+14216,-0.277,,0.00,+6600,-0.662,+12500,-0.364,+10000,-0.490,+10000,-0.490,+12500,-0.364,,0.00,+10000,-0.490,+12500,-0.364,+12500,-0.364
"Tarren, Callum",150,+19900,+12500,-0.370,+15000,-0.245,+9500,-0.520,+20000,0.005,+19296,-0.030,,0.00,+8000,-0.595,+15000,-0.245,+12500,-0.370,+15000,-0.245,+15000,-0.245,,0.00,+12500,-0.370,+15000,-0.245,+15000,-0.245
"Byrd, Jonathan",150,+20001,+22500,0.124,+20000,-0.000,+16000,-0.199,+20000,-0.000,+25388,0.268,,0.00,+15000,-0.249,+22500,0.124,,0.00,+20000,-0.000,+20000,-0.000,,0.00,+20000,-0.000,+20000,-0.000,+17500,-0.124
"Redman, Doc",150,+20308,+15000,-0.260,+12500,-0.383,+11000,-0.456,+20000,-0.015,+18167,-0.105,,0.00,+10000,-0.505,+15000,-0.260,+10000,-0.505,+12500,-0.383,+12500,-0.383,,0.00,+12500,-0.383,+15000,-0.260,+12500,-0.383
"Novak, Andrew",150,+21405,+17500,-0.182,+12500,-0.414,+28000,0.307,+15000,-0.298,+25388,0.185,,0.00,+25000,0.167,+12500,-0.414,+12500,-0.414,+12500,-0.414,+15000,-0.298,,0.00,+15000,-0.298,+15000,-0.298,+12500,-0.414
"Wu, Brandon",150,+23292,+14000,-0.397,+10000,-0.568,+11000,-0.525,+15000,-0.354,+14216,-0.388,,0.00,+10000,-0.568,+12500,-0.461,+10000,-0.568,+12500,-0.461,+10000,-0.568,,0.00,+12500,-0.461,+15000,-0.354,+12500,-0.461
"Martin, Ben",150,+24142,+14000,-0.418,+12500,-0.480,+10000,-0.583,+15000,-0.377,+14216,-0.409,,0.00,+10000,-0.583,+10000,-0.583,+12500,-0.480,+12500,-0.480,+12500,-0.480,,0.00,+12500,-0.480,+12500,-0.480,+15000,-0.377
"Kraft, Kelly",150,+24591,+20000,-0.186,+15000,-0.388,+16000,-0.348,+15000,-0.388,+14761,-0.398,,0.00,+15000,-0.388,+15000,-0.388,,0.00,+15000,-0.388,+15000,-0.388,,0.00,+15000,-0.388,+17500,-0.287,+15000,-0.388
"Barjon, Paul",150,+24900,+22500,-0.096,+20000,-0.196,+16000,-0.356,+25000,0.004,+25388,0.020,,0.00,+15000,-0.396,+22500,-0.096,,0.00,+20000,-0.196,+20000,-0.196,,0.00,+20000,-0.196,+25000,0.004,+17500,-0.296
"Brown, Scott",150,+25216,+15000,-0.404,+12500,-0.502,+12000,-0.522,+13000,-0.483,+18002,-0.285,,0.00,+10000,-0.601,+12500,-0.502,+12500,-0.502,+12500,-0.502,+20000,-0.206,,0.00,+12500,-0.502,+15000,-0.404,+20000,-0.206
"Norlander, Henrik",150,+26044,+20000,-0.231,+17500,-0.327,+16000,-0.384,+25000,-0.040,+25388,-0.025,,0.00,+15000,-0.422,+25000,-0.040,,0.00,+15000,-0.422,+15000,-0.422,,0.00,+15000,-0.422,+20000,-0.231,+17500,-0.327
"Stuard, Brian",150,+26567,+17500,-0.340,+15000,-0.434,+16000,-0.396,+20000,-0.246,+19296,-0.273,,0.00,+15000,-0.434,+15000,-0.434,+15000,-0.434,+15000,-0.434,+15000,-0.434,,0.00,+15000,-0.434,+17500,-0.340,+15000,-0.434
"Snedeker, Brandt",150,+26567,+14000,-0.471,+12500,-0.528,+9500,-0.640,+20000,-0.246,+19296,-0.273,,0.00,+8000,-0.696,+12500,-0.528,+15000,-0.434,+10000,-0.621,+12500,-0.528,,0.00,+12500,-0.528,+15000,-0.434,+9000,-0.659
"Sloan, Roger",150,+28069,+30000,0.069,+20000,-0.286,+21000,-0.251,+25000,-0.109,,0.00,,0.00,+20000,-0.286,+25000,-0.109,,0.00,+20000,-0.286,+25000,-0.109,,0.00,+20000,-0.286,+25000,-0.109,+20000,-0.286
"Stroud, Chris",150,+28069,+27500,-0.020,+25000,-0.109,+28000,-0.002,+20000,-0.286,,0.00,,0.00,+25000,-0.109,+25000,-0.109,,0.00,+25000,-0.109,+25000,-0.109,,0.00,+25000,-0.109,+25000,-0.109,+25000,-0.109
"Mullinax, Trey",150,+29530,+17500,-0.406,+20000,-0.322,+16000,-0.457,+25000,-0.153,+25388,-0.140,,0.00,+15000,-0.490,+20000,-0.322,+15000,-0.490,+20000,-0.322,+20000,-0.322,,0.00,+20000,-0.322,+20000,-0.322,+20000,-0.322
"O'Hair, Sean",150,+30203,+17500,-0.419,+15000,-0.502,+16000,-0.469,+15000,-0.502,+19296,-0.360,,0.00,+15000,-0.502,+20000,-0.337,,0.00,+15000,-0.502,+15000,-0.502,,0.00,+15000,-0.502,+17500,-0.419,+15000,-0.502
"Lower, Justin",150,+30434,+17500,-0.424,+15000,-0.505,+16000,-0.473,+25000,-0.178,+25388,-0.165,,0.00,+15000,-0.505,+15000,-0.505,+15000,-0.505,+15000,-0.505,+15000,-0.505,,0.00,+15000,-0.505,+20000,-0.342,+12500,-0.587
"McGirt, William",150,+30908,+27500,-0.110,+20000,-0.352,+21000,-0.320,+25000,-0.191,+25388,-0.178,,0.00,+20000,-0.352,+25000,-0.191,,0.00,+20000,-0.352,+25000,-0.191,,0.00,+15000,-0.513,+20000,-0.352,+10000,-0.674
"Haas, Bill",150,+30908,+15000,-0.513,+12500,-0.594,+16000,-0.481,+20000,-0.352,+19296,-0.374,,0.00,+15000,-0.513,+15000,-0.513,,0.00,+12500,-0.594,+20000,-0.352,,0.00,+15000,-0.513,+20000,-0.352,+10000,-0.674
"Percy, Cameron",150,+31150,+25000,-0.197,+20000,-0.357,+16000,-0.485,+11000,-0.645,+25388,-0.184,,0.00,+15000,-0.517,+17500,-0.437,,0.00,+20000,-0.357,+20000,-0.357,,0.00,+15000,-0.517,+20000,-0.357,+20000,-0.357
"Gutschewski, Scott",150,+31646,+30000,-0.052,+20000,-0.367,+28000,-0.115,+40000,0.263,,0.00,,0.00,+25000,-0.209,+25000,-0.209,,0.00,+25000,-0.209,+25000,-0.209,,0.00,+20000,-0.367,+30000,-0.052,+12500,-0.603
"Wallace, Matt",150,+33798,+12500,-0.628,+10000,-0.702,+9500,-0.717,+13000,-0.614,+12187,-0.638,,0.00,+8000,-0.761,+9000,-0.732,+7500,-0.776,+8000,-0.761,+10000,-0.702,,0.00,+9000,-0.732,+8000,-0.761,+10000,-0.702
"Gligic, Michael",150,+34988,+30000,-0.142,+25000,-0.285,+32000,-0.085,+25000,-0.285,,0.00,,0.00,+30000,-0.142,+25000,-0.285,,0.00,+25000,-0.285,+30000,-0.142,,0.00,+25000,-0.285,+25000,-0.285,+20000,-0.427
"Tway, Kevin",150,+37995,+30000,-0.210,+25000,-0.341,+32000,-0.157,+30000,-0.210,,0.00,,0.00,+30000,-0.210,+20000,-0.472,,0.00,+25000,-0.341,+25000,-0.341,,0.00,+25000,-0.341,+25000,-0.341,+20000,-0.472
"Lingmerth, David",150,+40304,+22500,-0.441,+25000,-0.379,+25000,-0.379,+30000,-0.255,,0.00,,0.00,+25000,-0.379,+20000,-0.503,,0.00,+25000,-0.379,+25000,-0.379,,0.00,+25000,-0.379,+25000,-0.379,+25000,-0.379
"Murray, Grayson",150,+44344,+14000,-0.683,+10000,-0.773,+11000,-0.750,+15000,-0.660,+14216,-0.678,,0.00,+10000,-0.773,+15000,-0.660,+10000,-0.773,+12500,-0.717,+12500,-0.717,,0.00,+12500,-0.717,+15000,-0.660,+12500,-0.717
"Villegas, Camilo",150,+49283,+27500,-0.441,+25000,-0.492,+30000,-0.390,+40000,-0.188,,0.00,,0.00,+30000,-0.390,+25000,-0.492,,0.00,+25000,-0.492,+25000,-0.492,,0.00,+25000,-0.492,+25000,-0.492,+25000,-0.492
"Cook, Austin",150,+49900,+22500,-0.548,+20000,-0.598,+21000,-0.578,+30000,-0.398,,0.00,,0.00,+20000,-0.598,+20000,-0.598,,0.00,+20000,-0.598,+25000,-0.498,,0.00,+20000,-0.598,+17500,-0.648,+25000,-0.498
"Chappell, Kevin",150,+49900,+14000,-0.718,+12500,-0.748,+11000,-0.778,+15000,-0.698,+14216,-0.714,,0.00,+10000,-0.798,+12500,-0.748,+11000,-0.778,+12500,-0.748,+15000,-0.698,,0.00,+12500,-0.748,+15000,-0.698,+15000,-0.698
"Kodaira, Satoshi",150,+49900,+30000,-0.398,+30000,-0.398,+28000,-0.438,+25000,-0.498,,0.00,,0.00,+25000,-0.498,+30000,-0.398,,0.00,+30000,-0.398,+15000,-0.698,,0.00,+30000,-0.398,+30000,-0.398,+30000,-0.398
