,Name,week,TeamAbbrev,Salary,Own,FPTS,FPTS_vs_proj,sum_sd,opponent,def_pass_epa_rank,def_rank,cov_rank,grades_pass,grades_pass_multiplier,FPTS_dollar,ppo,name_salary_own
14,Drew Lock,17,DEN,5100,0.1,15.9,1,-0.612,LAC,27,19,17,54.9,0.75,0.00312,159,Drew Lock 5100 0.1
15,Ryan Tannehill,17,TEN,5900,0.7,13.5,0.8,-0.296,MIA,5,6,10,80.4,1.1,0.00229,19.3,Ryan Tannehill 5900 0.7
16,Zach Wilson,17,NYJ,5400,0.4,13.4,1,-1.572,TB,10,7,1,56,0.77,0.00248,33.5,Zach Wilson 5400 0.4
17,Jalen Hurts,17,PHI,6600,9,13,0.6,0.516,WAS,26,20,26,72.7,0.99,0.00197,1.4,Jalen Hurts 6600 9
18,Tyler Huntley,17,BAL,5600,4.8,12.3,0.7,-0.287,LAR,8,1,12,62.5,0.85,0.0022,2.6,Tyler Huntley 5600 4.8
19,Derek Carr,17,LV,5800,1.1,12.2,0.7,-0.124,IND,12,4,11,79.8,1.09,0.0021,11.1,Derek Carr 5800 1.1
20,Andy Dalton,17,CHI,5200,0.6,11.3,0.7,-0.379,NYG,16,25,21,70.3,0.96,0.00217,18.8,Andy Dalton 5200 0.6
21,Carson Wentz,17,IND,5700,0.7,10.9,0.7,-0.272,LV,22,22,20,69.7,0.95,0.00191,15.6,Carson Wentz 5700 0.7
22,Taylor Heinicke,17,WAS,5300,0.2,10.3,0.6,-0.344,PHI,17,12,14,58.9,0.8,0.00194,51.5,Taylor Heinicke 5300 0.2
23,Trevor Lawrence,17,JAX,5000,0.1,10.3,0.7,-1.068,NE,16,4,3,57,0.78,0.00206,103,Trevor Lawrence 5000 0.1
24,Davis Mills,17,HOU,5500,1.4,9.9,0.7,-0.709,SF,25,9,18,56.6,0.77,0.0018,7.1,Davis Mills 5500 1.4
25,Matt Ryan,17,ATL,5300,0.2,7.6,0.5,-0.982,BUF,2,8,2,77.8,1.06,0.00143,38,Matt Ryan 5300 0.2
26,Tua Tagovailoa,17,MIA,5800,1.7,6.3,0.4,-0.706,TEN,13,10,5,70.1,0.96,0.00109,3.7,Tua Tagovailoa 5800 1.7
27,Sam Darnold,17,CAR,5000,0.2,4,0.3,-1.477,NO,9,2,6,58.7,0.8,8.00E-04,20,Sam Darnold 5000 0.2
28,Cam Newton,17,CAR,5000,0,0.5,0.6,-1.787,NO,9,2,6,46.5,0.64,1.00E-04,Inf,Cam Newton 5000 0
29,Mike Glennon,17,NYG,5000,0,-1.7,-0.1,-0.799,CHI,21,28,26,41,0.56,-0.00034,#NAME?,Mike Glennon 5000 0
