Player,Roster Position,%Drafted,FPTS
Jalen Chatfield,D,0.25%,3
Jon Merrill,D,0.25%,9.3
Calen Addison,D,0.25%,1.5
Yegor Chinakhov,W,0.25%,2.8
Jon Lizotte,D,0.24%,0
Alex Galchenyuk,C,0.24%,0
Lawson Crouse,UTIL,0.24%,4.1
Joe Thornton,C,0.24%,10
Nic Dowd,C,0.22%,8
Alexandre Texier,W,0.22%,6
Niko Mikkola,D,0.22%,5.8
Garnet Hathaway,W,0.20%,2.8
Gavin Bayreuther,D,0.20%,1.5
Ryan Dzingel,UTIL,0.20%,0
Dennis Cholowski,D,0.19%,1.3
Tomas Nosek,C,0.17%,3
Vladislav Namestnikov,UTIL,0.17%,7.8
Mikey Anderson,D,0.17%,1.3
Tanner Jeannot,W,0.17%,10.6
Radek Faksa,C,0.15%,0
Michael Raffl,W,0.15%,0
Janne Kuokkanen,W,0.15%,4.3
Jesperi Kotkaniemi,C,0.13%,14.1
Nick Cousins,UTIL,0.13%,19
Noah Gregor,W,0.13%,19.5
Brendan Smith,D,0.13%,1.5
Jesper Fast,W,0.13%,3
Matt Benning,D,0.12%,5.8
Filip Hronek,D,0.12%,3
Trevor van Riemsdyk,D,0.12%,6.5
Michael Rasmussen,C,0.12%,2.6
Filip Zadina,W,0.12%,10
Luke Glendening,UTIL,0.12%,4.3
Nick Bjugstad,UTIL,0.12%,3
Trent Frederic,C,0.12%,0
Lias Andersson,C,0.10%,4.5
Joel Kiviranta,W,0.10%,1.3
Dmitry Kulikov,D,0.10%,6.5
Pierre-Edouard Bellemare,C,0.10%,1.5
Marc Staal,D,0.08%,14.1
Michael Sgarbossa,C,0.08%,0
Zach Fucale,G,0.08%,0
Brandon Duhaime,W,0.08%,3
Jake Oettinger,G,0.08%,0
Kevin Labanc,W,0.08%,1.5
Maxim Mamin,W,0.07%,4.3
Thomas Novak,C,0.07%,5
Tobias Bjornfot,D,0.07%,0
Josh Manson,D,0.07%,0
Trevor Moore,W,0.07%,3
Karson Kuhlman,W,0.07%,1.5
Connor Clifton,D,0.07%,0
Eetu Luostarinen,C,0.05%,19.8
Steven Lorentz,W,0.05%,4.5
Sam Steel,W,0.05%,1.3
Christian Fischer,UTIL,0.05%,4.5
Jordan Oesterle,D,0.05%,4.1
Givani Smith,UTIL,0.05%,1.5
Erik Haula,C,0.05%,4.5
Colton Sissons,C,0.05%,8
Adam Erne,W,0.05%,0
Rasmus Kupari,C,0.05%,1.5
Logan Brown,UTIL,0.05%,10
Boris Katchouk,W,0.05%,1.5
Patrik Laine,W,0.03%,0
Thomas Greiss,G,0.03%,0
Alexander Holtz,W,0.03%,0
Derek Grant,C,0.03%,0
Ville Husso,G,0.03%,0
Yakov Trenin,W,0.03%,11.5
Sam Gagner,W,0.03%,1.5
Ryan Lomberg,W,0.03%,26
Philip Tomasino,UTIL,0.03%,8
Jacob Peterson,W,0.03%,1.3
Marc-Edouard Vlasic,D,0.03%,9.1
Ilya Lyubushkin,D,0.03%,0
Olli Maatta,D,0.03%,0
Vinni Lettieri,W,0.02%,0
Trevor Carrick,D,0.02%,0
Danny DeKeyser,D,0.02%,0
Aleksander Barkov,C,0.02%,0
Alex Lyon,G,0.02%,0
Antti Raanta,G,0.02%,0
Nicklas Backstrom,C,0.02%,0
Anthony Duclair,W,0.02%,0
Gustav Forsling,D,0.02%,0
Andrew Peeke,D,0.02%,8.2
Marco Scandella,D,0.02%,4.3
Radim Simek,D,0.02%,9.1
Carl Hagelin,W,0.02%,6.5
Curtis Lazar,W,0.02%,1.5
Dereck Baribeau,G,0.02%,0
Dan Renouf,D,0.02%,0
Loui Eriksson,W,0.02%,1.5
Josh Mahura,D,0.02%,0
Matt Nieto,W,0.02%,4.3
Blake Lizotte,C,0.02%,0
Karel Vejmelka,G,0.02%,0
Simon Benoit,D,0.02%,1.3
Sam Carrick,W,0.02%,5.8
Nicolas Deslauriers,UTIL,0.02%,4.5
Dakota Joshua,W,0.02%,0
Andrej Sekera,D,0.02%,2.8
Sean Kuraly,C,0.02%,2.8
Andreas Athanasiou,W,0.02%,0
Oskar Steen,UTIL,0.02%,0
Santeri Hatakka,UTIL,0.02%,0
Christopher Gibson,G,0.02%,0
Jonathan Bernier,G,0.02%,0
David Rittich,G,0.02%,0
Taylor Raddysh,W,0.02%,13
Robert Bortuzzo,D,0.02%,4.3
