Player,Roster Position,%Drafted,FPTS
Chris Evans,RB,0.09%,0.4
Dez Fitzpatrick,FLEX,0.08%,0
Le'Veon Bell,FLEX,0.08%,0
Ryan Izzo,FLEX,0.07%,0
Blake Bell,FLEX,0.07%,0
Drew Sample,TE,0.06%,0
JaMycal Hasty,RB,0.06%,0
Marquez Valdes-Scantling,WR,0.05%,0
Trey Lance,QB,0.04%,0
Cody Hollister,FLEX,0.03%,0
Austin Fort,TE,0.03%,0
Racey McMath,FLEX,0.03%,0
Josh Gordon,WR,0.03%,0
Patrick Taylor,FLEX,0.03%,0
Ronald Jones II,RB,0.03%,0
Matt Breida,RB,0.03%,0
Travis Benjamin,WR,0.03%,0
Amari Rodgers,FLEX,0.02%,0
Landen Akers,FLEX,0.02%,0
Brycen Hopkins,TE,0.02%,0
Ben Skowronek,WR,0.02%,0
Marcus Kemp,FLEX,0.02%,0
Juwann Winfree,WR,0.02%,0
Trent Sherfield,FLEX,0.02%,0
Darrell Henderson Jr.,RB,0.02%,0
Mike Thomas,FLEX,0.02%,0
Jaelon Darden,FLEX,0.02%,0
Trent Taylor,FLEX,0.02%,0
Scotty Washington,TE,0.02%,0
Tommy Sweeney,TE,0.01%,0
Trey Sermon,RB,0.01%,0
Jacob Harris,FLEX,0.01%,0
Breshad Perriman,WR,0.01%,0
Noah Gray,FLEX,0.01%,3.4
Tyler Davis,TE,0.01%,0
Ross Dwelley,TE,0.01%,0
Elijah Holyfield,RB,0.01%,0
MyCole Pruitt,TE,0.01%,0
Mitchell Wilcox,TE,0.01%,0
Khari Blasingame,FLEX,0.01%,0
Chris Myarick,TE,0.01%,0
Chris Godwin,FLEX,0.01%,0
Dominique Dafney,TE,0.01%,0
Jordan Matthews,TE,0.01%,0
Trayveon Williams,RB,0.01%,0
Taiwan Jones,RB,0.01%,0
Jake Kumerow,WR,0.01%,0
Cornell Powell,FLEX,0.01%,0
Kenjon Barner,RB,0.01%,0
Reggie Gilliam,RB,0.01%,2.8
Javian Hawkins,RB,0.01%,0
Jake Funk,RB,0.01%,0
Bronson Kaufusi,TE,0.01%,0
Mason Kinsey,FLEX,0.01%,0
Raheem Mostert,RB,0.01%,0
Kendall Blanton,FLEX,0.01%,9.8
Michael Burton,RB,0.01%,0
Charlie Woerner,FLEX,0.01%,0
Gehrig Dieter,WR,0.01%,0
Robert Tonyan,FLEX,0.01%,0
Jordan Wilkins,RB,0.01%,0
Quintin Morris,FLEX,0.01%,0
Clark Harris,FLEX,0.00%,0
Darwin Thompson,FLEX,0.00%,0
J.J. Koski,WR,0.00%,0
Darrynton Evans,RB,0.00%,0
Ryan Griffin,QB,0.00%,0
Antonio Williams,RB,0.00%,0
Mohamed Sanu Sr.,WR,0.00%,0
Trenton Irwin,WR,0.00%,0
Brandon Powell,WR,0.00%,0
Darren Fells,FLEX,0.00%,0
David Moore,WR,0.00%,0
Jordan Love,QB,0.00%,0
Daurice Fountain,FLEX,0.00%,0
Pooka Williams Jr.,FLEX,0.00%,0
Kerrith Whyte Jr.,RB,0.00%,0
Stanley Morgan,WR,0.00%,0
John Hurst,FLEX,0.00%,0
Chad Henne,QB,0.00%,0
Robert Woods,WR,0.00%,0
Marcus Johnson,WR,0.00%,0
River Cracraft,FLEX,0.00%,0
Brian Hill,FLEX,0.00%,0
Tanner Gentry,FLEX,0.00%,0
Matt Bushman,TE,0.00%,0
Cameron Batson,WR,0.00%,0
Briley Moore-McKinney,TE,0.00%,0
Codey McElroy,TE,0.00%,0
Jody Fortson,FLEX,0.00%,0
Tanner Hudson,TE,0.00%,0
Richie James,WR,0.00%,0
Malik Taylor,WR,0.00%,0
Tutu Atwell,WR,0.00%,0
Connor Wedington,FLEX,0.00%,0
Marquez Stevenson,FLEX,0.00%,0
Auden Tate,FLEX,0.00%,0
Josh Malone,FLEX,0.00%,0
Johnny Mundt,FLEX,0.00%,0
Elijah McGuire,RB,0.00%,0
Shane Buechele,QB,0.00%,0
Kylin Hill,RB,0.00%,0
Trenton Cannon,RB,0.00%,0
Tory Carter,RB,0.00%,0
Nakia Griffin-Stewart,TE,0.00%,0
Blaine Gabbert,QB,0.00%,0
James Winchester,TE,0.00%,0
Tommy Hudson,FLEX,0.00%,0
Brandon Allen,QB,0.00%,0
Austin Mack,WR,0.00%,0
Isaiah Hodgins,WR,0.00%,0
Raymond Calais,RB,0.00%,0
Nate Sudfeld,QB,0.00%,0
Bryce Perkins,QB,0.00%,0
Christian Wade,FLEX,0.00%,0
Buddy Howell,RB,0.00%,0
