playerid,Name
20126,Dylan Carlson
19890,Emmanuel Rivera
18882,Brandon Lowe
12325,Jace Peterson
15491,J.P. Crawford
16930,Jonah Heim
5486,Abraham Almonte
19997,Santiago Espinal
15983,Jackson Frazier
8202,Josh Harrison
14221,Jorge Soler
10323,Rafael Ortega
16556,Ozzie Albies
14567,Franchy Cordero
11737,Nick Castellanos
2967,Tommy Pham
13359,Tyler Naquin
24400,Terrin Vavra
10264,Brandon Belt
20391,Luis Garcia
14523,Pedro Severino
25976,Riley Greene
10762,Corey Dickerson
20543,Elehuris Montero
17696,Kevin Newman
19780,Esteban Quiroz
12147,Nick Ahmed
27684,Michael Massey
20332,Luis Gonzalez
19252,Cavan Biggio
13324,Ildemaro Vargas
5038,Josh Donaldson
17423,Yermin Mercedes
15937,Aledmys Diaz
10028,Christian Bethancourt
16909,Colin Moran
19960,Taylor Trammell
19610,Keibert Ruiz
12144,Max Kepler
12037,Jon Berti
13757,Chris Taylor
19913,Jesus Sanchez
10324,Marcell Ozuna
18126,LaMonte Wade Jr.
15117,Hunter Dozier
15271,Austin Wynns
9256,A.J. Pollock
14553,Nomar Mazara
11489,Michael A. Taylor
20529,Nolan Jones
18900,Leody Taveras
15674,Reese McGuire
14691,Harold Castro
20202,Brandon Marsh
22209,Sam Huff
25816,Shea Langeliers
10950,Adam Duvall
12510,Curt Casali
18577,Ke'Bryan Hayes
11281,Whit Merrifield
21524,Joey Bart
25459,Peyton Burdick
22563,Gabriel Arias
17128,Ramon Laureano
19892,Pavin Smith
21304,Mark Kolozsvary
18289,Brian Anderson
13788,Matt Reynolds
16725,Jose Trevino
14350,Raimel Tapia
5297,Aaron Hicks
2434,Nelson Cruz
23359,Nelson Velazquez
19294,Nick Solak
9929,Darin Ruf
12979,Javier Baez
12180,Jorge Alfaro
12198,Jake Hager
11442,Gary Sanchez
15941,Austin Nola
14352,Lewis Brinson
26294,Bryson Stott
5343,Brandon Crawford
14968,Victor Caratini
13853,Joey Wendle
8203,Dee Strange-Gordon
11342,Jesus Aguilar
14894,Tony Kemp
24618,Ryan Jeffers
19966,Bobby Dalbec
11476,Odubel Herrera
24655,Owen Miller
26323,Spencer Steer
22117,Nick Pratto
18030,Harrison Bader
19318,Matt Thaiss
11038,Kevin Kiermaier
20325,Alex Kirilloff
21127,Alejo Lopez
14128,Joey Gallo
4892,Mike Moustakas
17338,Willi Castro
25845,Michael Toglia
20926,Dermis Garcia
16512,Isiah Kiner-Falefa
21558,Matt Vierling
21560,Alfonso Rivas
19198,Yuli Gurriel
11680,Elias Diaz
15998,Cody Bellinger
15487,Victor Reyes
24617,Jarren Duran
5254,Robbie Grossman
16313,Yairo Munoz
11339,Jake Marisnick
17062,Grayson Greiner
10556,Cesar Hernandez
5517,Kyle Higashioka
17321,Michael Chavis
23733,Ezequiel Duran
17022,Edmundo Sosa
18027,Hoy Park
13355,Luke Maile
17273,Jorge Mateo
22169,Calvin Mitchell
3298,Charlie Culberson
16424,Jordan Luplow
15191,Chad Pinder
19615,Luis Barrera
26299,Josh Jung
18564,Trent Grisham
15585,Mike Ford
19392,Zach McKinstry
10472,Enrique Hernandez
14566,Franmil Reyes
20233,Gilberto Celestino
18353,Daz Cameron
16403,Francisco Mejia
19928,Ryan McKenna
13836,Matt Duffy
14109,Albert Almora Jr.
12282,Rougned Odor
15104,Jonathan Davis
18607,Jared Walsh
14477,Jake Cave
23794,Jordan Groshans
18821,Jose Azocar
20220,Jo Adell
15351,Frank Schwindel
13621,Jeimer Candelario
12371,Tommy La Stella
19953,Josh Lowe
14950,Johan Camargo
1744,Miguel Cabrera
19514,Andrew Knizner
17992,David Fletcher
17232,Yoan Moncada
13620,Carson Kelly
22650,Jordan Diaz
22261,Bubba Thompson
22532,Tyler Freeman
15223,Adam Frazier
14773,Yu Chang
19906,Diego Castillo
27465,Spencer Torkelson
23792,Alek Thomas
16442,Ryan O'Hearn
19293,Nick Senzel
22505,Buddy Kennedy
19354,Luke Raley
9627,Yan Gomes
19878,Adam Haseley
11902,Hanser Alberto
13338,Omar Narvaez
16417,Sergio Alcantara
17452,Jose Siri
7802,Miguel Rojas
17684,Vimael Machin
20521,Nick Madrigal
25768,CJ Abrams
19262,Garrett Hampson
15482,Aristides Aquino
26368,J.J. Bleday
13546,Roman Quinn
16375,Oscar Mercado
13723,Jacob Stallings
19931,Luke Williams
21614,Kyle Isbel
13755,Tomas Nido
12981,Cam Gallagher
6887,Martin Maldonado
21562,Romy Gonzalez
16357,Pablo Reyes
19828,Cody Thomas
21837,Jonathan Aranda
11368,Yasmani Grandal
12775,Brad Miller
15958,Travis Demeritte
19422,Brian Serven
19896,Connor Wong
19458,Cooper Hummel
17910,Marcus Wilson
19964,Eguy Rosario
26396,Josh Smith
13408,Wynton Bernard
17723,Skye Bolt
15905,Luis Torrens
24064,Ezequiel Tovar
12179,Maikel Franco
17893,Tyler Nevin
19346,Eli White
11200,Kole Calhoun
18363,Victor Robles
26123,Brett Baty
13807,Kevin Plawecki
15124,Tim Locastro
5760,Avisail Garcia
12155,Eddie Rosario
10059,Max Stassi
20165,J.J. Matijevic
13367,Stephen Piscotty
24589,Richie Palacios
20308,Jake Meyers
22217,Luis Campusano
24703,Jonah Bride
17620,Myles Straw
5497,Marwin Gonzalez
22168,Akil Baddoo
15082,Adam Engel
17109,Meibrys Viloria
15653,Dominic Smith
8259,Kurt Suzuki
4940,Jason Heyward
19635,Sheldon Neuse
10200,Tucker Barnhart
22799,Geraldo Perdomo
19779,Dairon Blanco
22458,Taylor Walls
22184,Mark Vientos
12984,Jackie Bradley Jr.
6012,Didi Gregorius
3142,Robinson Chirinos
15170,Josh VanMeter
17954,Sam Hilliard
19339,Nicky Lopez
10071,Jonathan Villar
16947,Derek Hill
22871,Tucupita Marcano
18819,Andy Ibanez
5000,Stephen Vogt
17838,Willie Calhoun
19864,Riley Adams
19859,Rene Pinto
18690,Nick Plummer
13897,Tyler Heineman
16530,Mauricio Dubon
15878,Miguel Andujar
15730,Tyler Wade
5273,Sandy Leon
19844,Abraham Toro
18721,Guillermo Heredia
11265,Jonathan Schoop
19667,Zach Reks
19181,Zack Collins
27615,Alec Burleson
22277,Nick Allen
15608,Willians Astudillo
12859,James McCann
19806,Jason Delay
19644,Ben DeLuzio
6310,Alcides Escobar
16623,Greg Allen
18015,Paul DeJong
22164,Payton Henry
17736,Richie Martin
7226,Matt Davidson
20493,Seth Beer
25353,Michael Stefanic
11472,Dixon Machado
14196,Andrew Velazquez
19508,Kyle Lewis
17473,Narciso Crook
20805,Carlos Perez
22558,Jarred Kelenic
21871,Jerar Encarnacion
7007,Yadier Molina
5222,Justin Upton
20054,Bligh Madris
4418,Jed Lowrie
19563,Nate Mondou
20533,Mickey McDonald
12977,Michael Perez
16925,Aramis Garcia
18365,Lewin Diaz
13369,Erik Gonzalez
12394,Jason Krizan
20242,Kevin Smith
12976,Austin Hedges
19818,Josh Palacios
22411,Cal Stevenson
17161,Chad Wallach
15402,Jack Mayfield
19956,Mickey Moniak
18587,Brendon Davis
18142,Patrick Mazeika
8418,Ehire Adrianza
13768,Travis Jankowski
5913,Leury Garcia
14329,Anthony Alford
17276,Alex Jackson
17642,JT Riddle
27459,Yoshi Tsutsugo
20572,Kody Clemens
20536,Vidal Brujan
19842,Caleb Hamilton
13265,Mike Zunino
19873,Drew Ellis
25867,Ryan Kreidler
23003,Yainer Diaz
15214,Brandon Dixon
16042,Mark Payton
22093,Steele Walker
12719,Dillon Thomas
14735,Brett Phillips
17040,Jose Herrera
21853,Will Benson
9077,Lorenzo Cain
20352,Ernie Clement
17468,Kelvin Gutierrez
19314,Donovan Walton
19948,Cristian Pache
17719,Steven Duggar
10030,Chris Owings
10847,Andrelton Simmons
16285,Michael Hermosillo
5384,Juan Lagares
16221,Bradley Zimmer
19553,Simon Muzziotti
20178,Miguel Vargas
21386,Michael Papierski
19967,Ryan Aguilar
21634,Ford Proctor
21780,Esteury Ruiz
24765,Bryan Lavastida
20017,Miles Mastrobuoni
15055,Dom Nunez
13854,Anthony Bemboom
17023,Magneuris Sierra
14942,Andrew Knapp
5491,Austin Romine
20157,Matthew Batten
13750,Elier Hernandez
25543,Korey Lee
19245,Chris Okey
20122,Mark Contreras
12649,Alex Dickerson
2829,Manny Pina
19977,Tres Barrera
19627,Brent Rooker
22202,Jeter Downs
18371,Jermaine Palacios
8722,Jason Castro
23378,Jose Barrero
19625,David MacKinnon
12164,Miguel Sano
21735,Sebastian Rivero
19824,Chuckie Robinson
18603,Donny Sands
17326,Cole Tucker
3269,Robinson Cano
11602,Yolmer Sanchez
19768,Rylan Bannon
13769,Adalberto Mondesi
10953,Phil Gosselin
22896,Lenyn Sosa
17710,Matt Beaty
20275,Jonathan Arauz
17750,Max Schrock
19151,Estevan Florial
12434,Kevin Pillar
20599,Ivan Herrera
12399,Taylor Motter
22557,Mike Siani
12092,Niko Goodrum
15654,Billy McKinney
18083,Austin Allen
22515,Heliot Ramos
5667,Steven Souza Jr.
16959,Eddy Alvarez
16593,Kevin Padlo
19331,Jose Rojas
20002,Bryce Johnson
13658,Terrance Gore
19432,Yonny Hernandez
22906,Israel Pineda
4922,Ender Inciarte
19562,Zack Short
17278,Bobby Bradley
10199,Billy Hamilton
15808,Jose Godoy
24491,Travis Swaggerty
18899,Lucius Fox
7949,Tim Beckham
13472,Christian Lopes
11470,Tony Wolters
11982,Travis Shaw
12294,Cory Spangenberg
13325,Deven Marrero
14320,Wilmer Difo
14388,Ronald Guzman
17307,Luis Liberato
17737,Josh Lester
17766,D.J. Stewart
17807,Drew Jackson
17975,Scott Kingery
18136,Ka'ai Tom
18395,Travis Blankenhorn
18905,Yusniel Diaz
19533,Taylor Jones
19710,Ronnie Dawson
19938,Aaron Whitefield
20022,Kramer Robertson
20450,Brewer Hicklen
20510,Jack Larsen
21840,Freddy Fermin
21865,Bo Naylor
22254,Joe Perez
8700,Justin Verlander
19388,Tony Gonsolin
14765,Julio Urias
18525,Dylan Cease
26410,Alek Manoah
2036,Clayton Kershaw
18684,Sandy Alcantara
3137,Max Scherzer
17874,Nestor Cortes
13743,Max Fried
21483,Shane McClanahan
19291,Zac Gallen
12880,Tyler Anderson
17677,Jeffrey Springs
17606,Cristian Javier
27498,Spencer Strider
17295,Framber Valdez
10310,Zack Wheeler
25385,Drew Rasmussen
19427,Shane Bieber
16137,Carlos Rodon
6902,Martin Perez
17995,Logan Webb
19447,Patrick Sandoval
18000,Triston McKenzie
13273,Ross Stripling
11423,Jose Quintana
12970,Joe Musgrove
19361,Corbin Burnes
15689,Luis Castillo
16162,Brandon Woodruff
12768,Sonny Gray
13074,Yu Darvish
25377,Brady Singer
15890,Luis Severino
17312,Justin Steele
19665,Kyle Wright
22250,Logan Gilbert
19350,Dean Kremer
16149,Aaron Nola
6893,Johnny Cueto
9803,Miles Mikolas
19959,Jesus Luzardo
14078,Michael Wacha
14107,Kevin Gausman
11156,Merrill Kelly
13543,Blake Snell
19312,Cal Quantrill
25436,George Kirby
12304,Chris Bassitt
11760,Drew Smyly
16511,Jordan Montgomery
11836,Taijuan Walker
13125,Gerrit Cole
13431,Marcus Stroman
22267,Tarik Skubal
17282,Michael Kopech
21390,Joe Ryan
17277,Ranger Suarez
26378,Nick Lodolo
1943,Zack Greinke
19316,Eric Lauer
2233,Adam Wainwright
11486,Robbie Ray
23735,Luis Garcia
6562,Alex Cobb
17085,Pablo Lopez
27468,Reid Detmers
9132,Nathan Eovaldi
18413,Jose Urquidy
11674,Jameson Taillon
17594,Mitch Keller
14916,Jon Gray
6632,Carlos Carrasco
19244,Cole Irvin
2520,Lance Lynn
11762,Noah Syndergaard
13896,Chris Flexen
14309,Frankie Montas
13183,Zach Davies
15467,Marco Gonzales
19911,Jose Suarez
18331,James Kaprielian
12808,Mike Clevinger
20000,Tyler Wells
4806,Rich Hill
14739,Paul Blackburn
2429,Corey Kluber
19979,Zach Plesac
4676,Charlie Morton
16358,Tyler Mahle
6397,Jake Odorizzi
7593,Jordan Lyles
22182,Hunter Greene
19409,Dane Dunning
16256,Kyle Freeland
19206,Dakota Hudson
6345,Chris Archer
15454,Nick Pivetta
21366,Glenn Otto
17578,JT Brubaker
12718,Adrian Houser
5524,Madison Bumgarner
12917,Dylan Bundy
27552,Graham Ashcraft
24586,Kyle Bradish
15474,Lucas Giolito
15734,Brad Keller
15038,German Marquez
19951,Ian Anderson
24580,Josiah Gray
10123,Kyle Gibson
15873,Sean Manaea
13781,Alex Wood
21537,Daniel Lynch
16094,Zach Thompson
14168,Jose Berrios
22224,Jon Heasley
22286,Trevor Rogers
21455,Kris Bubic
14975,Chad Kuhl
17425,Erick Fedde
9323,Patrick Corbin
