player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Jordan Love,40306,QB,GB,12,11.95,0,454,12,68.4,326,352,11.4,2.9,5,22,5.9,58.0,204,140,8.5,397,87.4,19,137,,,,,59.8,79.6,41.9,78.0,60.0,,69.5,7,10,418,16.4,89.0,5.8,23,20,2,12,21,11,2.6,2581,7.3,67.4,279,301,9.9,2.62,5,18,5.7,58.1,175,100,6.9,337,74.2,13,104,,,,,73.2,76.2,37.8,75.3,,,66.0,5,7,355,19.0,83.6,5.6,19,15,2,10,15,8,2.3,1889,6.3,82.0,100,107,8.4,3.1,1,4,3.6,70.1,75,44,8.5,117,25.8,7,45,,,,,41.7,75.8,81.3,73.2,60.0,,71.8,2,3,123,9.1,108.7,3.4,4,5,0,4,7,3,2.4,977,9.1,0,88.7,53,56,-2.5,1.65,1,0,0.0,82.1,46,4,2.1,57,12.6,1,12,,,,,81.5,60.2,78.6,59.9,,,,0,0,60,0.0,93.8,0.0,0,0,0,2,1,0,0.0,285,5.1,2.85
Joshua Dobbs,11890,QB,MIN,12,4.99,0,452,18,69.9,335,359,9.2,3.1,5,11,2.9,61.8,222,163,5.1,414,91.6,12,131,,,,,52.0,65.4,73.3,59.1,58.9,,82.6,5,10,448,15.3,80.6,6.0,25,29,0,14,13,21,4.7,2283,6.4,70.0,273,289,8.4,2.92,3,8,2.6,62.6,181,128,5.2,331,73.2,10,105,,,,,53.1,67.9,70.9,60.5,,,85.3,4,9,352,14.8,77.6,5.7,19,21,0,9,10,17,4.8,1715,5.9,77.1,96,105,7.2,3.24,3,3,2.5,67.6,71,42,4.1,121,26.8,3,31,,,,,62.9,58.7,81.8,57.7,58.9,,63.5,1,1,138,14.3,91.2,5.0,6,9,0,5,3,4,2.9,686,6.5,0,91.2,34,35,-3.1,2.02,1,0,0.0,85.7,30,7,3.2,38,8.4,1,5,,,,,79.3,67.5,77.3,63.9,,,65.9,0,0,42,0.0,80.7,0.0,0,1,0,0,0,0,0.0,118,3.4,0.6
Bryce Young,123943,QB,CAR,11,1.1,0,449,5,71.6,296,342,8.2,3.01,4,11,3.0,58.8,201,180,5.2,409,91.1,11,107,,,,,27.0,50.7,42.8,48.0,,,74.0,5,7,440,24.4,74.4,10.8,44,22,0,37,9,17,3.9,1899,5.6,73.3,273,316,6.8,2.81,4,8,2.4,60.4,191,152,4.5,371,82.6,9,87,,,,,29.7,50.0,40.2,48.2,,,69.0,3,6,399,23.7,70.3,9.7,36,18,0,36,5,14,3.5,1557,4.9,75.0,56,65,8.1,3.22,1,3,4.5,61.5,40,32,4.8,78,17.4,2,26,,,,,27.1,53.6,79.8,49.8,,,75.4,2,3,83,25.0,86.6,10.3,8,4,0,6,4,4,4.8,498,7.7,0,90.9,33,39,-3.3,1.54,1,0,0.0,76.9,30,4,0.0,40,8.9,0,6,,,,,79.3,47.8,77.3,48.3,,,,0,2,42,0.0,61.5,0.0,0,0,0,5,0,1,2.4,156,4.0,2.73
Geno Smith,7820,QB,SEA,12,13.13,0,446,29,74.7,324,366,9.5,2.88,7,25,6.3,62.0,227,174,6.2,408,91.5,15,132,,,,,77.8,79.2,41.3,78.6,58.9,,62.3,7,9,440,15.5,86.9,6.6,27,15,4,24,14,19,4.3,2692,7.4,74.6,264,301,8.0,2.6,7,15,4.6,61.1,184,132,6.6,332,74.4,13,94,,,,,72.7,68.8,53.6,67.9,58.9,,62.2,6,8,356,17.4,81.3,6.9,23,8,4,20,11,17,4.8,1960,6.5,83.7,92,101,9.5,3.23,3,10,9.3,74.3,75,44,2.6,114,25.6,2,46,,,,,86.4,91.7,10.0,91.5,,,61.2,1,1,123,9.1,112.6,3.5,4,7,0,5,4,2,1.6,958,9.5,0,100.0,32,36,-3.3,1.44,3,0,0.0,88.9,32,2,0.0,38,8.5,0,8,,,,,78.9,64.1,77.1,63.6,,,,0,0,39,0.0,102.1,0.0,0,0,0,1,1,0,0.0,226,6.3,2.98
Tua Tagovailoa,60326,QB,MIA,12,1.27,0,428,17,75.8,314,337,10.5,2.5,6,27,7.7,65.3,220,92,7.6,365,85.3,18,149,,,,,52.0,90.3,72.3,91.5,60.0,,27.5,3,10,383,18.5,100.3,4.7,17,10,2,12,19,14,3.7,3026,9.0,77.4,261,273,7.1,2.13,6,19,6.7,69.6,190,63,5.9,293,68.5,12,109,,,,,42.4,79.5,70.1,84.3,60.0,,26.7,0,8,305,19.0,105.9,4.1,12,7,2,4,18,11,3.6,2359,8.6,85.1,114,127,10.7,2.71,2,8,6.0,70.9,90,30,7.2,135,31.5,7,59,,,,,87.4,93.3,81.9,92.3,,,59.2,3,2,143,16.7,107.6,3.7,5,3,0,8,6,3,2.1,1136,8.9,0,100.0,61,63,-3.6,1.24,2,0,0.0,95.2,60,1,1.6,63,14.7,1,19,,,,,81.9,72.4,78.9,71.3,,,,0,0,65,0.0,124.1,0.0,0,0,0,0,5,0,0.0,469,7.4,0.3
Derek Carr,8671,QB,NO,12,-2.74,0,426,20,72.8,335,358,9.8,2.67,3,16,4.3,64.2,230,141,5.7,390,91.5,14,115,,,,,44.3,69.1,70.7,69.4,,,47.0,5,6,407,17.0,88.1,6.2,24,8,0,15,10,12,2.9,2592,7.2,75.4,325,347,8.3,2.5,2,15,4.2,66.6,231,125,5.7,375,88.0,14,112,,,,,42.1,69.6,70.2,70.1,,,44.5,5,5,389,18.4,91.3,6.1,23,5,0,15,11,12,3.1,2429,7.0,70.5,44,47,10.7,3.12,1,1,2.0,63.8,30,17,3.2,51,12.0,1,15,,,,,80.9,63.9,78.4,63.2,,,61.3,0,1,54,5.9,75.8,2.0,1,3,0,2,0,0,0.0,332,7.1,0,94.1,34,36,-3.5,1.56,0,0,0.0,86.1,31,1,3.1,36,8.5,1,12,,,,,78.4,67.5,77.0,66.7,,,,0,0,36,0.0,95.5,0.0,0,0,0,2,1,0,0.0,169,4.7,0.06
Russell Wilson,7077,QB,DEN,12,-1.23,0,416,10,77.2,267,299,9.7,3.25,7,22,6.8,65.2,195,157,5.3,366,88.0,11,106,,,,,29.7,77.8,88.3,72.8,,,79.3,2,7,397,21.7,97.1,9.3,34,33,3,20,18,13,3.3,2178,7.3,79.0,243,271,7.0,3.0,5,12,4.2,67.9,184,123,4.2,325,78.1,8,88,,,,,39.9,71.9,88.0,66.4,,,78.4,2,6,348,22.0,93.2,8.3,27,26,3,18,13,11,3.2,1805,6.7,81.8,66,75,10.7,3.46,3,10,12.2,66.7,50,41,7.4,91,21.9,4,30,,,,,33.4,85.3,80.5,82.9,,,68.7,0,1,100,22.0,120.6,9.9,9,7,0,6,8,2,2.0,594,7.9,0,95.2,42,47,-4.8,2.01,1,0,0.0,83.0,39,7,2.5,50,12.0,1,12,,,,,80.5,64.9,78.0,64.3,,,,0,0,51,28.6,107.5,4.0,2,0,0,4,3,0,0.0,221,4.7,1.26
Matthew Stafford,4924,QB,LA,11,4.13,0,413,26,69.5,308,337,9.7,2.72,4,24,6.7,57.9,195,136,8.9,369,89.3,19,125,,,,64.7,91.2,84.2,72.1,82.0,90.6,,62.2,3,9,395,14.0,84.5,5.1,19,13,3,19,14,8,2.0,2546,7.6,70.8,284,304,7.9,2.48,2,14,4.3,59.9,182,110,9.5,333,80.6,19,98,,,,,91.0,74.4,71.0,72.4,,,67.4,2,8,355,16.4,83.9,5.4,18,10,3,13,14,7,2.0,2006,6.6,79.0,62,75,9.9,3.15,4,10,12.3,64.0,48,29,2.0,80,19.4,1,36,,,,64.7,83.9,93.7,80.0,92.8,90.6,,50.1,1,1,86,6.9,101.1,2.5,2,3,0,8,2,1,1.2,762,10.2,0,94.7,38,42,-3.4,1.68,2,0,0.0,83.3,35,3,2.8,44,10.7,1,9,,,,,79.9,65.7,77.7,65.1,,,,0,0,46,33.3,104.6,2.3,1,0,0,2,2,0,0.0,222,5.3,3.56
Lamar Jackson,46416,QB,BLT,12,9.05,0,409,3,74.1,266,285,10.8,3.25,5,17,5.5,64.6,184,140,6.6,358,87.5,13,119,,,,,31.0,87.1,73.4,83.1,,,79.4,4,5,388,20.0,99.0,7.8,28,45,1,9,13,11,2.8,2408,8.4,74.9,223,239,9.1,3.03,4,14,5.4,65.7,157,111,6.0,298,72.9,10,86,,,,,43.4,81.6,71.8,77.1,,,78.0,4,5,324,21.6,92.2,8.1,24,34,1,7,10,9,2.8,1729,7.2,83.3,90,95,7.6,3.11,1,3,2.9,74.7,71,35,5.3,111,27.1,4,41,,,,,25.2,84.7,81.2,81.9,,,71.0,0,0,119,14.3,113.9,4.5,5,11,0,4,3,3,2.5,889,9.4,0,95.7,47,49,-3.2,1.67,0,0,0.0,89.8,44,6,2.2,51,12.5,1,8,,,,,28.9,60.5,78.3,60.2,,,,0,0,55,16.7,84.5,2.0,1,0,0,2,0,1,1.8,210,4.3,2.13
Joe Burrow,28022,QB,CIN,10,-1.86,0,403,7,73.9,291,315,8.4,2.61,6,17,5.1,62.9,198,120,7.9,353,87.6,17,110,,,,,84.9,77.9,12.1,77.0,,,68.8,6,6,372,20.0,89.7,6.8,24,14,1,11,15,9,2.4,2066,6.6,75.6,271,287,6.7,2.41,4,13,4.3,67.2,193,99,5.9,320,79.4,12,89,,,,,83.1,72.3,7.5,72.5,,,61.7,4,5,336,23.2,89.4,7.2,23,10,1,7,11,8,2.4,1776,6.2,81.2,69,78,7.4,2.68,2,4,4.9,65.4,51,24,8.9,83,20.6,5,33,,,,,83.9,86.1,80.0,81.5,,,78.7,2,1,86,4.2,96.7,1.2,1,4,0,5,4,1,1.2,532,6.8,0,93.9,49,50,-2.2,1.47,0,0,0.0,92.0,46,3,0.0,50,12.4,0,12,,,,,80.4,66.9,78.0,66.2,,,,0,0,50,0.0,86.8,0.0,0,0,0,1,0,0,0.0,242,4.8,0.63
Zach Wilson,82096,QB,NYJ,10,4.6,0,382,22,68.9,257,281,9.3,3.02,5,8,2.7,57.7,162,154,8.5,341,89.3,15,86,,,,,52.6,56.0,87.3,53.8,58.4,,65.7,5,7,360,24.0,71.9,10.9,37,23,3,11,5,9,2.5,1769,6.3,71.7,233,259,8.2,2.86,4,7,2.5,58.3,151,131,9.6,311,81.4,16,72,,,,,36.4,54.2,87.1,52.1,58.4,,64.1,5,7,328,22.9,67.5,9.6,30,22,3,14,4,9,2.7,1426,5.5,73.7,57,62,6.7,3.19,2,1,1.5,62.9,39,31,7.1,71,18.6,3,21,,,,,82.9,65.4,79.5,63.7,,,66.4,0,0,75,25.8,100.1,11.3,8,1,0,3,2,1,1.3,518,8.4,0,97.0,33,40,-2.7,2.09,1,0,0.0,70.0,28,8,12.5,41,10.7,4,7,,,,,28.8,61.5,77.4,61.2,,,,0,0,43,12.5,87.0,2.4,1,0,0,6,1,1,2.3,175,4.4,2.84
