player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_grades_coverage_defense,less_grades_defense,less_grades_defense_penalty,less_grades_hands_drop,less_grades_hands_fumble,less_grades_offense,less_grades_offense_penalty,less_grades_pass,less_grades_pass_route,less_grades_pass_rush_defense,less_grades_run,less_grades_run_defense,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_grades_coverage_defense,more_grades_defense,more_grades_defense_penalty,more_grades_hands_drop,more_grades_hands_fumble,more_grades_offense,more_grades_offense_penalty,more_grades_pass,more_grades_pass_route,more_grades_pass_rush_defense,more_grades_run,more_grades_run_defense,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Derek Carr,8671,QB,LV,10,2.74,2.66,3.58,5.14,375,23,76.3,156,166,5.1,1.97,3,2,1.1,67.5,112,32,5.9,167,44.5,7,50,,,,,89.2,56.8,82.7,56.8,,,,,1,1,178,3.1,91.7,0.6,1,0,0,6,6,4,2.2,952,5.7,68.1,160,181,13.2,3.38,2,12,6.3,57.5,104,97,4.6,207,55.2,5,66,,,,,56.9,71.9,39.5,69.2,,,81.7,,7,4,221,19.6,91.2,9.2,19,7,0,12,9,10,4.5,1471,8.1
Jacoby Brissett,10725,QB,CLV,10,2.94,2.74,3.54,5.6,369,8,80.1,146,151,6.6,2.0,4,5,3.2,70.9,107,22,8.5,153,41.5,10,52,,,,,88.2,86.0,82.3,83.7,,,,,1,1,158,9.1,99.7,1.3,2,0,0,0,7,1,0.6,938,6.2,70.7,157,177,11.8,3.61,1,13,6.5,59.9,106,99,4.5,216,58.5,5,76,,,,,29.5,71.0,83.9,65.0,,,86.8,,2,4,240,18.2,84.5,8.3,18,21,0,17,4,13,5.4,1460,8.2
Davis Mills,52269,QB,HST,10,2.52,2.42,3.25,4.7,365,13,73.2,183,190,5.3,1.93,5,4,2.1,67.4,128,46,4.5,198,54.2,6,50,,,,,89.9,65.7,83.2,65.0,,,,,1,6,200,17.4,79.3,4.0,8,0,0,1,6,3,1.5,1083,5.7,67.2,125,139,11.0,3.23,2,7,4.5,54.7,76,97,9.5,166,45.5,8,43,,,,,69.8,61.4,82.9,59.9,,,68.5,,6,5,185,20.6,76.5,12.0,20,7,0,6,5,5,2.7,1061,7.6
Geno Smith,7820,QB,SEA,10,2.78,2.57,3.7,5.24,358,29,82.1,162,165,6.3,1.97,2,6,3.4,78.8,130,37,2.3,169,47.2,3,60,,,,,89.3,78.0,82.8,76.3,,,,,0,2,181,10.8,100.3,2.4,4,0,0,1,4,6,3.3,1210,7.3,74.6,138,151,10.0,3.5,2,15,9.0,66.2,100,82,2.9,189,52.8,3,67,,,,,72.2,87.4,39.2,81.7,,,88.0,,0,2,206,24.4,115.4,10.6,20,18,0,11,13,7,3.4,1265,8.4
Jared Goff,10635,QB,DET,10,2.7,2.6,3.39,5.31,352,11,80.8,156,163,4.9,1.96,6,5,3.0,73.0,119,28,5.6,164,46.6,7,55,,,,,88.7,74.5,82.5,73.2,,,,,1,1,168,3.6,105.4,0.6,1,0,0,0,8,4,2.4,1121,6.9,69.7,145,163,11.5,3.37,1,5,2.8,55.2,90,85,10.9,187,53.1,11,67,,,,,36.9,47.9,83.4,48.7,,,55.7,,1,6,210,16.5,80.8,7.5,14,10,0,16,7,14,6.7,1321,8.1
Russell Wilson,7077,QB,DEN,9,2.86,2.73,3.26,4.39,348,10,74.5,141,144,6.8,1.9,3,4,2.6,66.0,95,23,9.5,152,43.7,10,44,,,,,88.3,65.7,82.3,65.0,,,,,0,2,159,34.8,87.6,5.3,8,0,0,0,4,3,1.9,935,6.5,70.0,130,156,12.8,3.6,5,8,4.7,53.8,84,96,7.7,196,56.3,7,52,,,,,56.0,58.9,83.5,58.4,,,60.8,,2,3,217,25.0,79.9,12.2,24,16,0,19,3,8,3.7,1293,8.3
Daniel Jones,39395,QB,NYG,10,3.15,2.87,3.72,4.9,347,21,83.5,97,99,3.8,1.9,2,0,0.0,72.7,72,23,11.1,102,29.4,9,30,,,,,85.6,56.8,80.9,56.8,,,,,0,1,111,13.0,89.0,2.9,3,0,0,0,2,2,1.8,565,5.7,76.9,156,182,8.9,3.68,5,3,1.5,61.0,111,131,7.5,245,70.6,9,85,,,,,33.1,73.2,84.3,68.3,,,78.3,,3,3,266,19.8,90.4,10.6,26,37,0,18,7,10,3.8,1376,7.6
Jalen Hurts,40291,QB,PHI,10,2.89,2.58,3.95,5.08,345,24,88.7,151,160,3.6,1.9,7,1,0.6,77.5,124,32,7.5,163,47.2,10,65,,,,,88.8,84.6,82.5,82.5,,,,,1,1,169,9.4,109.3,1.8,3,0,0,1,7,1,0.6,1176,7.4,69.0,113,130,13.4,3.79,0,10,6.9,56.9,74,81,5.1,181,52.5,4,58,,,,,71.2,82.6,83.1,79.8,,,72.3,,1,2,198,25.9,102.9,11.6,21,30,0,16,8,5,2.5,1226,9.4
Matthew Stafford,4924,QB,LA,9,2.58,2.48,3.35,5.2,338,26,76.1,159,162,3.5,1.82,1,4,2.4,72.2,117,21,3.3,163,48.2,4,52,,,,,67.5,67.4,82.5,66.6,,,,,0,4,166,4.8,90.2,0.6,1,0,0,2,7,3,1.8,925,5.7,72.9,129,141,11.3,3.31,2,11,7.5,63.1,89,86,5.3,174,51.5,5,56,,,,,50.2,66.8,33.5,66.5,,,62.4,,0,4,180,32.6,84.4,16.1,28,5,0,10,3,9,5.0,1167,8.3
Lamar Jackson,46416,QB,BLT,10,3.12,2.81,4.44,5.91,333,3,85.7,133,140,4.6,1.88,6,4,2.7,73.6,103,10,9.6,141,42.3,11,48,,,,,87.7,75.5,82.0,74.0,,,,,0,3,147,10.0,104.7,0.7,1,0,0,1,9,2,1.4,969,6.9,63.9,133,149,13.1,4.03,2,10,6.4,54.4,81,98,4.7,192,57.7,4,55,,,,,41.4,65.4,83.3,61.8,,,74.8,,2,4,204,23.5,80.0,12.0,23,20,0,12,7,7,3.4,1008,6.8
Justin Fields,82118,QB,CHI,11,3.44,2.89,4.1,5.31,324,6,75.9,87,93,2.6,1.7,5,0,0.0,66.7,62,14,6.1,96,29.6,4,17,,,,,85.1,38.9,80.7,40.1,,,,,0,2,104,21.4,75.9,3.1,3,0,0,1,2,3,2.9,447,4.8,66.4,119,135,15.1,4.19,4,9,6.1,54.8,74,138,6.3,227,70.1,5,83,,,,,28.8,77.7,45.6,62.7,,,92.5,,2,6,243,26.8,93.3,16.3,37,55,0,10,11,13,5.3,1195,8.9
Marcus Mariota,9435,QB,ATL,11,3.08,2.83,3.62,4.88,299,2,78.4,111,114,5.6,1.88,3,0,0.0,74.6,85,20,2.3,122,40.8,2,40,,,,,86.6,65.2,81.4,64.5,,,,,0,1,126,40.0,106.2,6.6,8,0,0,0,7,3,2.4,688,6.0,57.9,126,133,14.8,3.91,0,7,4.7,53.4,71,88,2.7,177,59.2,2,61,,,,,27.0,63.6,83.0,63.8,,,58.4,,0,6,192,20.5,80.1,10.2,18,26,0,7,6,11,5.7,1190,8.9
Jimmy Garoppolo,8697,QB,SF,9,2.49,2.43,3.16,4.13,285,28,82.4,142,153,4.5,1.86,9,2,1.3,73.9,113,30,3.4,155,54.4,4,63,,,,,88.3,73.7,82.3,72.4,,,,,1,1,160,6.7,113.4,1.3,2,0,0,1,8,2,1.3,1286,8.4,65.1,106,113,11.3,3.24,3,10,8.2,57.5,65,48,5.8,130,45.6,4,37,,,,,47.8,64.1,81.9,62.5,,,68.8,,1,3,143,29.2,91.8,10.8,14,3,0,3,7,6,4.2,872,7.7
Kenny Pickett,60515,QB,PIT,7,2.9,2.66,3.67,5.11,274,25,78.6,112,113,6.1,1.96,1,4,3.3,76.1,86,10,2.3,115,42.0,2,40,,,,,86.5,57.0,81.4,56.9,,,,,0,3,125,20.0,86.6,1.7,2,0,0,0,2,5,4.0,711,6.3,70.4,108,123,9.8,3.57,1,3,2.2,56.1,69,76,9.2,159,58.0,7,39,,,,,68.4,64.8,28.8,60.7,,,78.6,,1,5,174,23.7,58.8,11.3,18,18,0,13,1,5,2.9,715,5.8
Carson Wentz,10636,QB,WAS,6,2.61,2.43,3.38,4.68,266,32,75.4,130,135,4.7,1.94,2,2,1.4,68.1,92,30,6.1,139,52.3,6,44,,,,,87.5,55.4,81.9,55.5,,,,,2,4,144,13.3,83.4,2.9,4,0,0,1,6,4,2.8,714,5.3,72.0,82,97,13.6,3.33,5,10,8.9,53.6,52,59,11.9,127,47.7,7,27,,,,,63.4,70.6,81.9,66.8,,,76.5,,1,2,143,32.2,85.2,15.0,19,11,0,9,4,6,4.2,775,8.0
Tua Tagovailoa,60326,QB,MIA,8,2.51,2.44,3.09,5.15,263,17,80.7,135,139,7.6,1.85,1,5,3.4,73.4,102,18,6.4,140,53.2,7,63,,,,,87.7,92.6,82.0,91.5,,,,,0,0,147,5.6,126.5,0.7,1,0,0,3,11,2,1.4,1231,8.9,79.2,101,109,12.0,3.29,1,8,6.9,67.9,74,41,7.5,122,46.4,6,47,,,,,62.2,83.0,81.5,83.8,,,47.5,,2,3,130,17.1,108.1,5.7,7,6,0,5,7,8,6.2,1034,9.5
Andy Dalton,6187,QB,NO,8,2.54,2.44,3.36,5.03,261,20,81.8,132,139,6.5,1.94,3,3,2.1,74.8,104,21,3.7,142,54.4,4,56,,,,,87.5,83.2,81.9,81.2,,,,,1,4,145,14.3,114.0,2.1,3,0,0,3,12,4,2.8,1094,7.9,72.4,87,103,11.6,3.27,1,6,5.5,56.3,58,51,7.9,119,45.6,5,32,,,,,60.7,77.9,81.4,76.7,,,62.2,,4,3,126,19.6,72.7,8.4,10,6,0,11,2,2,1.6,725,7.0
Baker Mayfield,46518,QB,CAR,7,2.72,2.53,4.06,5.5,236,5,72.7,99,104,5.2,1.82,5,2,1.9,65.4,68,8,5.6,107,45.3,4,25,,,,,57.3,60.5,80.9,60.2,,,,,0,2,111,37.5,84.9,2.8,3,0,0,0,3,4,3.6,667,6.4,64.7,85,102,8.5,3.55,5,1,0.9,50.0,51,60,7.3,126,53.4,4,27,,,,,87.0,50.3,81.7,50.1,,,60.9,,2,4,136,26.7,63.6,12.7,16,8,0,10,3,3,2.2,646,6.3
Ryan Tannehill,7014,QB,TEN,8,2.64,2.54,3.29,5.34,232,31,81.1,95,100,5.5,1.94,4,3,2.9,71.0,71,30,7.8,102,44.0,6,36,,,,,57.1,66.6,80.8,65.8,,,,,1,1,107,6.7,100.0,2.0,2,0,0,0,5,3,2.8,629,6.3,76.0,96,108,10.4,3.22,1,6,5.0,60.2,65,59,11.0,129,55.6,8,45,,,,,87.4,73.2,81.8,71.5,,,65.6,,4,3,141,27.1,96.8,12.4,16,5,0,7,5,5,3.5,1056,9.8
Mac Jones,60323,QB,NE,7,2.73,2.5,3.35,4.81,231,19,76.9,91,95,3.3,1.78,1,0,0.0,72.6,69,12,1.4,98,42.4,1,13,,,,,84.9,45.1,1.6,46.9,,,,,0,2,101,25.0,79.6,3.1,3,0,0,3,2,2,2.0,428,4.5,71.3,94,100,12.1,3.42,1,7,6.7,65.0,65,59,3.0,133,57.6,2,49,,,,,63.4,58.4,81.8,57.3,,,62.9,,0,5,140,30.5,82.0,13.5,18,15,0,5,2,8,5.7,958,9.6
Zach Wilson,82096,QB,NYJ,7,3.09,2.93,3.68,5.24,218,22,79.1,86,90,5.0,1.93,3,0,0.0,71.1,64,13,5.9,92,42.2,4,33,,,,,84.6,71.2,80.4,70.2,,,,,1,2,96,15.4,92.2,2.2,2,0,0,0,3,1,1.0,626,7.0,56.6,76,98,12.3,4.0,3,3,2.9,40.8,40,68,7.0,124,56.9,3,28,,,,,61.3,30.8,81.5,29.2,,,71.7,,2,3,129,20.6,54.5,11.3,14,12,0,17,1,12,9.3,652,6.7
Cooper Rush,12324,QB,DAL,7,2.44,2.4,2.81,5.3,170,9,70.3,74,81,5.5,1.9,5,0,0.0,61.7,50,23,3.8,83,48.8,2,21,,,,,50.0,57.8,79.9,57.8,,,,,2,0,85,8.7,85.5,2.4,2,0,0,0,2,1,1.2,462,5.7,69.6,69,79,12.4,2.99,2,3,3.4,55.7,44,31,8.3,86,50.6,4,31,,,,,84.5,56.4,80.3,57.2,,,54.2,,1,3,94,16.1,76.4,5.8,5,2,0,7,3,7,7.4,589,7.5
Taylor Heinicke,9896,QB,WAS,5,2.97,2.8,3.28,5.45,166,32,82.0,50,51,5.0,1.93,1,1,1.9,80.4,41,14,0.0,52,31.3,0,17,,,,,80.8,72.7,78.2,71.6,,,,,0,1,53,7.1,99.4,1.9,1,0,0,0,2,1,1.9,341,6.7,62.0,79,95,10.2,3.47,4,2,2.0,51.6,49,57,0.0,113,68.1,0,36,,,,,58.5,38.2,81.2,39.4,,,54.1,,2,3,118,14.0,72.7,7.1,8,10,0,10,3,10,8.5,690,7.3
Joe Flacco,4332,QB,NYJ,3,2.63,2.59,3.04,4.8,165,22,82.9,70,76,5.4,1.91,3,0,0.0,67.1,51,18,12.1,78,47.3,7,25,,,,,83.6,66.7,79.8,66.0,,,,,2,2,83,11.1,86.6,2.6,2,0,0,1,4,0,0.0,401,5.3,65.6,64,79,11.5,3.27,1,3,3.7,50.6,40,43,4.8,87,52.7,2,24,,,,,23.5,45.0,80.1,45.0,,,63.3,,5,1,90,16.3,69.6,8.0,7,1,0,9,1,6,6.7,500,6.3
Dak Prescott,10769,QB,DAL,5,2.59,2.47,3.34,5.88,163,9,84.3,70,73,4.3,1.82,1,0,0.0,76.7,56,8,5.1,75,46.0,3,23,,,,,83.1,68.3,79.6,67.4,,,,,1,0,76,25.0,100.9,2.7,2,0,0,1,2,1,1.3,452,6.2,67.6,71,79,11.7,3.25,0,6,7.1,59.5,47,37,2.1,88,54.0,1,31,,,,,84.6,69.1,80.3,68.8,,,57.8,,3,4,95,13.5,91.7,5.7,5,4,0,5,6,5,5.3,680,8.6
Mitchell Trubisky,11757,QB,PIT,5,2.74,2.58,4.29,4.23,140,25,66.2,65,69,7.3,1.97,2,2,2.7,59.4,41,13,4.7,69,49.3,2,16,,,,,82.8,73.1,79.4,71.9,,,,,1,2,73,0.0,73.4,0.0,0,0,0,1,3,1,1.4,321,4.7,68.4,57,58,13.5,3.49,0,5,7.9,63.8,37,30,5.1,71,50.7,2,25,,,,,83.2,67.7,79.6,68.0,,,55.9,,1,0,77,30.0,88.7,12.7,9,4,0,0,0,3,3.9,466,8.0
Jameis Winston,9434,QB,NO,3,2.68,2.53,3.45,5.6,127,20,79.3,58,60,7.2,1.94,2,2,3.2,73.3,44,12,4.3,63,49.6,2,17,,,,,82.0,76.2,78.9,74.7,,,,,0,1,65,25.0,100.9,4.8,3,0,0,0,3,2,3.1,403,6.7,62.5,48,53,17.9,3.41,0,5,8.5,54.7,29,28,3.3,64,50.4,1,18,,,,,43.1,57.9,79.2,58.1,,,58.1,,1,4,70,28.6,58.3,12.5,8,3,0,4,1,5,7.1,455,8.6
P.J. Walker,12134,QB,CAR,6,2.27,2.25,2.83,4.7,119,5,74.6,67,69,3.1,1.67,2,2,2.9,68.1,47,8,6.0,71,59.7,3,18,,,,,82.7,50.7,79.3,51.2,,,,,0,1,72,25.0,78.5,2.8,2,0,0,0,0,2,2.8,425,6.2,50.0,36,37,18.1,3.44,0,7,17.5,43.2,16,14,11.1,44,37.0,2,13,,,,,80.1,74.5,77.8,72.2,,,67.5,,0,2,48,28.6,77.1,9.1,4,3,0,1,3,4,8.3,306,8.3
Bailey Zappe,60396,QB,NE,4,2.77,2.69,3.27,6.9,99,19,87.5,40,43,3.0,1.94,2,0,0.0,76.7,33,6,5.7,43,43.4,2,13,,,,,80.0,76.8,77.7,75.3,,,,,0,1,47,0.0,92.5,0.0,0,0,0,1,1,0,0.0,293,6.8,73.3,45,49,11.3,3.41,1,1,1.9,65.3,32,20,3.0,56,56.6,1,24,,,,,39.3,69.6,0.0,69.0,,,66.4,,0,2,62,30.0,108.2,10.7,6,1,0,3,4,2,3.2,488,10.0
Colt McCoy,5609,QB,ARZ,2,2.23,2.05,3.4,5.37,80,1,81.8,55,55,4.9,1.8,0,2,3.6,78.2,43,11,4.4,57,71.3,2,15,,,,,81.3,75.6,78.5,74.2,,,,,0,0,58,18.2,101.9,3.5,2,0,0,0,1,0,0.0,385,7.0,76.9,13,16,8.2,3.44,0,1,5.9,43.8,7,11,30.0,22,27.5,3,6,,,,,75.9,72.4,75.2,74.2,,,56.5,,0,1,23,27.3,30.7,13.6,3,3,0,3,0,0,0.0,70,4.4
Sam Ehlinger,60555,QB,IND,2,3.08,2.75,3.4,4.99,70,14,75.0,20,20,5.5,1.91,0,0,0.0,70.0,14,6,6.7,23,32.9,1,4,,,,,76.1,36.4,75.3,38.0,,,,,0,1,24,50.0,60.2,13.0,3,0,0,0,0,1,4.2,99,5.0,66.7,30,32,8.6,3.65,1,2,6.1,56.3,18,25,10.0,47,67.1,2,9,,,,,31.2,60.0,78.0,56.8,,,66.6,,0,0,51,32.0,75.7,17.0,8,7,0,1,0,2,3.9,205,6.4
Teddy Bridgewater,8667,QB,MIA,4,3.06,2.9,3.22,7.55,68,17,80.0,25,27,7.4,1.95,1,0,0.0,70.4,19,9,5.0,28,41.2,1,14,,,,,77.4,77.4,76.1,75.9,,,,,0,2,30,11.1,96.2,3.6,1,0,0,1,2,2,6.7,270,10.0,65.5,29,33,11.5,3.84,0,0,0.0,54.5,18,26,5.3,40,58.8,1,11,,,,,79.0,64.0,0.0,61.5,,,75.6,,2,1,40,19.2,76.8,12.5,5,2,0,2,1,2,5.0,252,7.6
Skylar Thompson,60417,QB,MIA,3,2.66,2.61,2.93,4.2,51,17,87.5,24,26,5.8,1.9,1,1,3.6,69.2,18,10,14.3,26,51.0,3,7,,,,,77.0,78.9,75.9,77.3,,,,,1,0,28,0.0,88.9,0.0,0,0,0,0,0,1,3.6,182,7.0,57.9,19,21,10.6,3.45,0,1,4.0,42.9,9,17,18.2,25,49.0,2,6,,,,,26.0,63.5,76.1,58.5,,,74.4,,0,1,30,17.6,35.8,12.0,3,1,0,2,0,1,3.3,90,4.3
Brett Rypien,46487,QB,DEN,1,2.74,2.7,4.2,3.1,48,10,70.0,20,20,5.7,2.0,0,0,0.0,60.0,12,2,14.3,20,41.7,2,3,,,,,75.4,63.7,74.9,63.3,,,,,0,0,21,0.0,70.2,0.0,0,0,0,0,0,0,0.0,87,4.4,50.0,24,26,15.3,3.27,0,0,0.0,46.2,12,14,0.0,28,58.3,0,7,,,,,25.7,31.7,76.0,35.0,,,55.7,,0,1,29,7.1,46.6,3.6,1,1,0,2,0,3,10.3,138,5.3
Malik Willis,60341,QB,TEN,3,3.61,3.09,5.4,4.45,42,31,61.5,13,13,9.5,1.89,0,2,14.3,53.8,7,4,12.5,13,31.0,1,4,,,,,73.2,71.7,73.5,70.7,,,,,0,0,14,0.0,76.4,0.0,0,0,0,0,0,0,0.0,92,7.1,41.7,12,17,9.8,4.39,0,1,5.6,29.4,5,17,0.0,29,69.0,0,3,,,,,77.4,34.3,76.1,28.2,,,71.0,,0,1,30,35.3,15.1,20.7,6,6,0,5,0,1,3.3,49,2.9
John Wolford,46454,QB,LA,1,2.81,2.78,3.23,,39,26,84.6,13,14,3.8,1.99,1,0,0.0,78.6,11,5,0.0,14,35.9,0,4,,,,,73.2,30.3,73.5,32.4,,,,,0,0,14,0.0,93.2,0.0,0,0,0,0,0,1,7.1,89,6.4,61.9,21,22,8.6,3.27,1,1,4.3,59.1,13,15,0.0,25,64.1,0,8,,,,,76.3,55.5,75.6,55.7,,,,,0,1,26,20.0,70.8,12.0,3,0,0,0,1,0,0.0,123,5.6
