player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_run,no_screen_grades_run_defense,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_run,npa_grades_run_defense,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_run,pa_grades_run_defense,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_run,screen_grades_run_defense,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Justin Fields,82118,QB,PIT,6,-2.51,0,195,25,77.6,134,147,8.6,3.15,1,6,3.8,64.6,95,74,8.7,180,92.3,9,47,,,,60.0,70.7,34.4,67.0,,73.1,,3,1,197,20.3,92.0,8.3,15,18,1,8,4,6,3.0,1054,7.2,79.0,105,115,8.7,2.87,1,6,4.9,67.0,77,49,7.2,134,68.7,6,39,,,,51.8,74.3,27.2,68.3,,80.0,,3,1,145,20.4,100.4,7.5,10,8,1,5,5,5,3.4,873,7.6,78.0,41,45,4.9,3.56,1,0,0.0,64.4,29,28,9.4,61,31.3,3,12,,,,82.2,59.6,79.0,61.5,,55.2,,0,0,67,17.9,77.4,8.2,5,11,0,3,0,1,1.5,233,5.2,0,91.7,12,13,-2.9,2.21,1,0,0.0,84.6,11,3,0.0,15,7.7,0,4,,,,73.2,70.7,73.7,64.1,,65.9,,0,0,15,0.0,109.0,0.0,0,1,0,0,1,0,0.0,52,4.0,-2.41
Jacoby Brissett,10725,QB,NE,6,4.63,0,186,19,68.0,125,142,8.8,3.0,1,5,3.3,56.3,80,81,5.9,169,90.9,5,43,,,,32.5,58.8,85.1,58.2,,56.7,,5,1,180,22.2,72.5,10.7,18,9,1,10,2,6,3.3,741,5.2,70.7,116,132,7.6,2.85,1,5,3.5,58.3,77,70,6.1,155,83.3,5,36,,,,29.6,59.2,84.9,58.3,,57.9,,5,1,164,21.4,70.9,9.7,15,8,1,9,1,6,3.7,660,5.0,72.0,25,27,6.6,3.11,0,0,0.0,63.0,17,12,5.6,31,16.7,1,9,,,,78.1,60.6,76.6,61.2,,58.3,,0,0,34,25.0,92.8,9.7,3,1,0,2,1,0,0.0,168,6.2,0,93.8,16,17,-3.1,1.88,0,0,0.0,82.4,14,1,6.7,17,9.1,1,2,,,,74.5,64.1,74.3,63.6,,,,0,0,18,0.0,88.0,0.0,0,0,0,1,0,0,0.0,87,5.1,1.22
Andy Dalton,6187,QB,CAR,6,1.58,0,175,5,77.4,137,145,8.0,2.63,2,6,3.9,65.5,95,47,10.4,158,90.3,11,49,,,,69.2,72.4,84.7,71.6,,58.0,,0,5,168,14.9,82.5,4.4,7,6,0,6,6,7,4.2,919,6.3,79.8,104,111,6.8,2.53,2,6,5.0,65.8,73,34,12.0,123,70.3,10,36,,,,47.6,76.5,84.2,76.0,,58.0,,0,4,133,11.8,85.9,3.3,4,6,0,5,6,5,3.8,692,6.2,72.3,47,49,7.2,2.56,1,0,0.0,67.3,33,16,2.9,52,29.7,1,16,,,,80.6,46.6,78.1,47.4,,,,0,2,52,18.8,73.3,5.8,3,0,0,1,1,3,5.8,297,6.1,0,78.6,14,15,-3.4,1.72,1,0,0.0,73.3,11,3,0.0,17,9.7,0,3,,,,25.6,31.9,74.1,33.6,,,,0,1,17,0.0,77.1,0.0,0,0,0,0,1,1,5.9,70,4.7,-0.17
Anthony Richardson,124393,QB,IND,6,18.62,0,155,14,51.9,108,122,14.8,3.12,1,10,7.8,40.2,49,54,12.5,144,92.9,7,39,,,,24.3,47.9,49.9,48.5,,53.0,,9,7,150,16.7,52.0,6.3,9,13,2,2,4,8,5.3,862,7.1,52.6,78,89,13.5,2.92,0,7,7.7,38.2,34,35,17.1,105,67.7,7,23,,,,22.0,44.1,44.4,45.1,,50.3,,8,4,107,22.9,40.7,7.6,8,8,2,1,1,6,5.6,464,5.2,62.5,40,44,13.0,3.23,1,3,6.3,56.8,25,20,0.0,50,32.3,0,19,,,,80.9,62.8,78.3,61.1,,65.7,,1,3,54,5.0,90.5,2.0,1,5,0,2,3,2,3.7,494,11.2,0,100.0,10,11,-2.2,1.82,0,0,0.0,90.9,10,1,0.0,11,7.1,0,3,,,,71.9,65.9,72.6,65.3,,,,0,0,11,0.0,103.0,0.0,0,0,0,1,0,0,0.0,96,8.7,6.02
Will Levis,83542,QB,TEN,5,9.79,0,152,31,69.8,96,101,11.1,2.93,1,2,1.9,62.4,63,54,6.0,128,84.2,4,35,,,,34.7,42.4,83.9,38.0,,69.0,,2,7,136,27.8,66.7,11.7,15,12,0,2,5,7,5.1,607,6.0,71.8,85,91,9.0,2.73,1,2,2.1,63.7,58,42,4.9,114,75.0,3,28,,,,29.8,36.2,83.6,31.0,,67.6,,2,6,120,28.6,60.6,10.5,12,11,0,3,3,7,5.8,477,5.2,81.3,32,34,7.5,2.94,0,0,0.0,73.5,25,15,3.8,38,25.0,1,11,,,,79.0,73.1,77.2,71.1,,62.6,,0,1,40,20.0,97.9,7.9,3,1,0,2,2,0,0.0,222,6.5,0,95.2,21,24,-3.0,2.01,0,0,0.0,83.3,20,3,0.0,24,15.8,0,4,,,,76.1,66.3,75.3,65.7,,,,0,0,24,0.0,82.6,0.0,0,0,0,3,0,0,0.0,92,3.8,1.29
Derek Carr,8671,QB,NO,5,-16.67,0,138,20,78.1,105,113,11.1,2.75,3,7,5.7,69.9,79,46,3.7,121,87.7,3,40,,,,87.2,90.0,50.0,90.0,,57.2,,0,3,130,10.9,103.2,4.1,5,3,0,5,7,4,3.1,902,8.0,78.7,89,92,9.0,2.26,2,5,5.0,75.0,69,32,1.4,98,71.0,1,29,,,,85.8,81.0,46.9,80.4,,61.4,,0,3,106,9.4,95.4,3.1,3,1,0,1,4,4,3.8,661,7.2,80.0,30,36,10.6,3.35,1,2,5.4,58.3,21,16,12.5,40,29.0,3,13,,,,79.2,90.4,77.3,90.4,,54.5,,0,1,41,12.5,114.1,5.0,2,2,0,5,4,0,0.0,328,9.1,0,85.7,14,15,-3.6,1.29,0,0,0.0,73.3,11,2,8.3,17,12.3,1,2,,,,74.2,56.6,74.1,56.7,,,,0,1,17,0.0,81.8,0.0,0,0,0,1,1,0,0.0,87,5.8,1.93
Spencer Rattler,97408,QB,NO,3,20.37,0,119,20,75.0,76,87,9.1,2.9,2,1,1.1,57.5,50,44,12.3,107,89.9,7,23,,,,23.7,55.2,82.6,54.7,,58.4,,3,2,115,31.8,68.2,13.1,14,6,0,6,1,5,4.3,500,5.7,72.2,72,82,6.5,2.56,2,0,0.0,56.1,46,33,11.5,95,79.8,6,14,,,,24.8,49.9,82.2,50.7,,51.6,,3,1,100,30.3,60.6,10.5,10,3,0,5,0,4,4.0,332,4.0,87.5,16,17,11.1,3.69,0,1,5.6,76.5,13,12,7.1,24,20.2,1,11,,,,28.9,72.9,75.8,70.3,,66.6,,0,1,27,33.3,113.0,16.7,4,3,0,1,1,1,3.7,239,14.1,0,75.0,12,12,-3.8,1.81,0,0,0.0,75.0,9,1,0.0,12,10.1,0,2,,,,72.4,63.0,72.9,62.7,,,,0,0,12,0.0,89.2,0.0,0,0,0,0,0,0,0.0,71,5.9,10.01
Bryce Young,123943,QB,CAR,5,3.2,0,119,5,61.0,77,86,10.0,3.02,2,3,3.2,53.5,46,38,2.1,103,86.6,1,24,,,,85.7,38.6,0.0,42.9,,48.1,,0,5,110,23.7,52.3,8.7,9,8,0,7,2,5,4.5,456,5.3,66.7,78,86,8.3,2.79,2,3,3.2,59.3,51,32,1.9,99,83.2,1,23,,,,85.4,46.7,0.0,50.4,,51.4,,0,3,106,25.0,67.8,8.1,8,5,0,6,2,3,2.8,477,5.5,66.7,15,16,4.7,3.22,0,0,0.0,62.5,10,7,0.0,20,16.8,0,2,,,,75.1,29.6,74.7,31.2,,52.2,,0,2,20,14.3,27.1,5.0,1,3,0,1,0,2,10.0,46,2.9,0,93.8,16,16,-3.1,1.83,0,0,0.0,93.8,15,1,0.0,16,13.4,0,1,,,,73.9,64.8,73.9,64.3,,,,0,0,16,0.0,84.1,0.0,0,0,0,0,0,0,0.0,67,4.2,-2.67
Joe Flacco,4332,QB,IND,3,-4.27,0,118,14,70.7,92,97,10.5,2.7,1,3,2.9,64.9,63,28,3.1,106,89.8,2,38,,,,86.0,72.2,82.9,71.0,,61.6,,0,1,113,21.4,105.9,5.7,6,3,0,4,7,3,2.7,697,7.2,71.0,69,73,9.2,2.46,1,2,2.5,67.1,49,17,0.0,80,67.8,0,26,,,,84.1,70.3,82.3,69.2,60.0,61.6,,0,0,86,17.6,106.8,3.8,3,3,0,3,5,1,1.2,454,6.2,75.0,32,35,9.3,2.8,0,1,2.8,62.9,22,11,8.3,38,32.2,2,12,,,,78.9,68.2,77.1,67.3,,,,0,1,39,27.3,92.8,7.9,3,0,0,3,2,2,5.1,262,7.5,0,88.9,9,11,-3.8,1.43,0,0,0.0,72.7,8,0,0.0,12,10.2,0,0,,,,72.4,56.7,73.2,57.3,60.0,,,0,0,12,,75.2,0.0,0,0,0,2,0,0,0.0,19,1.7,1.27
Tua Tagovailoa,60326,QB,MIA,3,-9.45,0,113,17,71.8,71,76,9.7,2.6,3,6,7.6,60.5,46,16,9.8,85,75.2,5,31,,,,27.8,66.7,82.5,64.5,,66.4,,0,3,89,31.3,70.0,5.9,5,4,0,2,1,3,3.4,539,7.1,79.0,62,66,4.9,2.08,2,3,4.5,71.2,47,12,4.1,77,68.1,2,28,,,,47.7,68.9,82.2,66.5,,66.4,,0,2,79,25.0,85.4,3.9,3,4,0,2,2,1,1.3,419,6.3,75.8,33,34,9.3,2.69,1,3,8.1,61.8,21,7,16.0,36,31.9,4,10,,,,28.0,60.6,77.1,60.4,,,,0,1,39,28.6,87.6,5.6,2,0,0,0,1,2,5.1,298,8.8,0,95.8,24,24,-3.4,1.29,0,0,0.0,91.7,22,3,4.3,28,24.8,1,7,,,,77.2,63.7,76.0,63.2,,,,0,0,29,0.0,125.3,0.0,0,0,0,0,2,0,0.0,178,7.4,2.41
Drake Maye,143969,QB,NE,4,7.26,0,106,19,68.7,67,72,9.1,3.05,0,4,5.1,59.7,43,37,6.5,94,88.7,3,36,,,,55.7,64.6,23.7,59.8,,77.5,,2,1,102,24.3,99.4,9.6,9,13,0,3,5,5,4.9,522,7.3,68.7,67,71,7.6,2.83,0,3,3.9,62.0,44,33,4.3,88,83.0,2,33,,,,53.1,62.2,20.6,58.2,,76.6,,2,2,93,21.2,91.0,8.0,7,10,0,2,4,5,5.4,515,7.3,83.3,12,13,5.0,3.21,0,1,6.3,69.2,9,6,10.0,18,17.0,1,3,,,,75.6,73.0,75.0,69.9,,67.1,,0,0,22,33.3,101.1,11.1,2,3,0,1,1,0,0.0,49,3.8,0,83.3,12,12,-3.9,1.69,0,0,0.0,83.3,10,2,0.0,12,11.3,0,0,,,,72.8,66.5,73.2,65.9,,,,0,1,13,0.0,46.5,0.0,0,0,0,0,0,0,0.0,42,3.5,-3.48
Mason Rudolph,46569,QB,TEN,3,-0.47,0,104,31,68.8,80,86,8.9,2.72,0,2,2.2,58.1,50,37,9.1,95,91.3,5,31,,,,56.2,54.1,83.2,53.9,,52.1,,1,3,102,13.5,70.0,5.3,5,4,2,3,2,4,3.9,541,6.3,69.4,62,66,8.6,2.52,0,2,2.7,59.1,39,25,9.3,71,68.3,4,20,,,,49.4,59.3,82.8,61.2,,39.7,,1,1,79,12.0,70.4,4.2,3,2,2,1,0,1,1.3,402,6.1,73.1,26,29,5.3,2.95,1,0,0.0,58.6,17,15,10.5,33,31.7,2,12,,,,77.9,46.3,76.6,42.1,,73.8,,0,2,34,13.3,68.8,6.1,2,2,0,2,2,3,8.8,164,5.7,0,87.5,8,9,-4.4,1.9,1,0,0.0,66.7,6,3,14.3,9,8.7,1,1,,,,71.9,60.7,73.1,60.5,,,,0,0,11,0.0,70.1,0.0,0,0,0,0,0,0,0.0,25,2.8,-0.43
Aidan O'Connell,60516,QB,LV,4,8.76,0,85,23,66.2,65,73,8.5,2.91,1,1,1.3,58.9,43,25,0.0,76,89.4,0,24,,,,83.5,45.9,80.8,46.4,,,,3,2,81,12.0,72.6,3.9,3,0,0,4,2,3,3.7,415,5.7,69.1,68,75,7.2,2.81,1,1,1.3,62.7,47,24,0.0,78,91.8,0,23,,,,83.4,50.8,80.8,51.0,,,,3,2,80,12.5,74.8,3.8,3,0,0,3,2,3,3.8,409,5.5,83.3,6,7,5.3,2.44,0,0,0.0,71.4,5,2,0.0,7,8.2,0,3,,,,71.4,41.8,72.3,43.1,,,,0,0,10,0.0,89.0,0.0,0,0,0,1,0,0,0.0,46,6.6,0,100.0,9,9,-3.0,1.64,0,0,0.0,100.0,9,1,0.0,9,10.6,0,2,,,,70.9,67.2,71.9,66.5,,,,0,0,9,0.0,85.2,0.0,0,0,0,0,0,0,0.0,40,4.4,1.12
Tyler Huntley,46448,QB,MIA,3,-2.31,0,82,17,69.2,52,58,11.4,2.91,2,1,1.5,53.4,31,24,13.9,71,86.6,5,21,,,,84.3,62.4,82.6,56.8,,73.4,,1,1,79,29.2,64.5,9.9,7,6,0,3,0,5,6.3,349,6.0,73.0,37,40,8.2,2.48,1,1,2.2,60.0,24,13,11.1,50,61.0,3,11,,,,82.3,65.1,82.1,59.5,,70.7,,1,1,56,23.1,69.7,6.0,3,5,0,1,1,2,3.6,189,4.7,73.9,23,26,11.5,3.05,1,0,0.0,57.7,15,12,11.8,32,39.0,2,11,,,,78.3,57.1,76.7,55.8,,64.1,,0,0,35,33.3,80.3,12.5,4,2,0,2,0,3,8.6,188,7.2,0,100.0,8,8,-2.6,1.38,0,0,0.0,100.0,8,1,0.0,11,13.4,0,1,,,,71.9,60.5,72.9,62.5,,58.3,,0,0,12,0.0,120.8,0.0,0,1,0,0,1,0,0.0,28,3.5,2.5
Russell Wilson,7077,QB,PIT,2,8.18,0,65,25,70.8,48,53,10.9,3.09,1,3,5.5,62.3,33,23,2.9,60,92.3,1,22,,,,41.9,66.9,81.5,71.9,,37.4,,1,0,62,17.4,113.2,6.7,4,3,1,2,3,1,1.6,514,9.7,67.7,31,35,10.8,2.65,1,2,5.6,60.0,21,16,0.0,41,63.1,0,12,,,,29.7,63.7,80.9,68.6,,40.8,,1,0,42,18.8,112.4,7.3,3,2,1,1,3,1,2.4,267,7.6,76.2,21,22,8.8,3.53,0,1,4.2,68.2,15,7,6.3,24,36.9,1,12,,,,76.6,66.5,75.6,68.5,,55.3,,0,0,26,14.3,111.0,4.2,1,1,0,1,0,0,0.0,275,12.5,0,75.0,4,4,-0.8,1.58,0,0,0.0,75.0,3,0,0.0,5,7.7,0,2,,,,68.9,53.1,70.6,53.5,,,,0,0,6,,93.8,0.0,0,0,0,0,0,0,0.0,28,7.0,4.87
Jameis Winston,9434,QB,CLV,3,-0.96,0,56,8,72.7,44,47,13.2,2.55,3,3,6.0,63.8,30,11,6.3,50,89.3,2,20,,,,39.3,84.8,80.2,81.3,,72.5,,0,0,53,27.3,118.9,6.0,3,0,0,0,4,3,5.7,398,8.5,73.0,37,40,10.2,2.32,3,2,4.8,62.5,25,10,7.4,43,76.8,2,14,,,,34.1,79.6,79.8,75.9,,72.5,,0,0,45,30.0,107.3,7.0,3,0,0,0,3,2,4.4,270,6.8,72.7,11,13,17.6,2.8,1,1,7.1,61.5,8,2,0.0,13,23.2,0,7,,,,73.2,81.3,73.5,79.4,,,,0,0,14,0.0,126.1,0.0,0,0,0,1,1,1,7.1,147,11.3,0,75.0,4,6,-2.3,1.38,1,0,0.0,50.0,3,1,0.0,6,10.7,0,1,,,,68.9,59.7,70.6,59.6,,,,0,0,6,0.0,56.9,0.0,0,0,0,1,0,0,0.0,19,3.2,4.56
Malik Willis,60341,QB,GB,4,-26.86,0,53,12,81.5,27,28,10.3,3.35,0,1,3.6,71.4,20,16,9.1,40,75.5,2,18,,,,80.6,80.0,82.0,76.3,,71.9,,0,0,40,31.3,133.5,12.5,5,7,0,1,2,0,0.0,323,11.5,87.5,24,25,7.0,2.91,0,1,3.7,84.0,21,12,0.0,35,66.0,0,12,,,,80.2,78.5,81.9,77.2,,67.7,,0,0,37,33.3,115.8,11.4,4,6,0,1,1,0,0.0,215,8.6,78.6,14,14,4.5,2.89,0,0,0.0,57.1,8,5,27.3,18,34.0,3,7,,,,74.8,66.9,74.5,63.6,,66.4,,0,0,19,20.0,138.4,5.6,1,2,0,0,2,0,0.0,165,11.8,0,90.9,11,11,-4.2,1.54,0,0,0.0,81.8,9,1,10.0,13,24.5,1,1,,,,73.9,60.2,73.9,62.0,,57.9,,0,0,16,0.0,118.6,0.0,0,1,0,0,1,0,0.0,57,5.2,3.19
Skylar Thompson,60417,QB,MIA,2,34.62,0,40,17,69.2,26,28,9.7,2.88,0,0,0.0,64.3,18,16,0.0,35,87.5,0,7,,,,19.3,37.1,78.3,39.3,,55.3,,1,0,36,37.5,79.8,17.1,6,1,0,1,0,3,8.3,162,5.8,63.2,19,20,8.0,2.66,0,0,0.0,50.0,10,10,16.7,24,60.0,2,4,,,,22.8,31.0,77.4,33.5,,55.3,,0,0,25,30.0,62.7,12.5,3,1,0,1,0,2,8.0,91,4.6,91.7,12,13,7.1,2.95,0,0,0.0,84.6,11,7,0.0,16,40.0,0,4,,,,21.6,61.9,73.9,61.6,,,,1,0,16,42.9,97.4,18.8,3,0,0,0,0,1,6.3,96,7.4,0,100.0,5,5,-3.2,2.08,0,0,0.0,60.0,3,1,40.0,5,12.5,2,1,,,,68.0,65.0,69.9,64.5,,,,0,0,5,0.0,72.9,0.0,0,0,0,0,0,0,0.0,25,5.0,2.83
Jake Haener,60596,QB,NO,4,1.85,0,36,20,59.3,27,28,9.7,2.92,0,2,6.7,46.4,13,17,18.8,34,94.4,3,8,,,,79.1,61.1,78.1,60.2,,61.2,,1,0,36,11.8,78.6,5.9,2,4,0,0,1,0,0.0,174,6.2,61.5,26,27,9.7,2.82,0,2,6.9,48.1,13,16,18.8,34,94.4,3,8,,,,79.1,61.6,78.2,60.7,,61.2,,1,0,36,12.5,81.4,5.9,2,4,0,0,1,0,0.0,174,6.4,50.0,2,2,3.0,2.2,0,0,0.0,50.0,1,1,0.0,2,5.6,0,0,,,,63.6,56.1,66.9,56.5,,,,0,0,2,0.0,56.3,0.0,0,0,0,0,0,0,0.0,3,1.5,0,100.0,1,1,-2.0,0.6,0,0,0.0,100.0,1,0,0.0,2,5.6,0,0,,,,63.6,58.9,68.2,58.9,,,,0,0,2,,79.2,0.0,0,0,0,0,0,0,0.0,3,3.0,-4.94
Marcus Mariota,9435,QB,WAS,2,-21.8,0,29,32,81.8,22,23,11.8,3.52,0,3,12.0,69.6,16,7,11.1,26,89.7,2,14,,,,79.4,81.9,79.0,88.5,,53.9,,0,0,28,14.3,125.6,3.8,1,2,0,1,2,0,0.0,202,8.8,78.9,19,19,9.6,3.14,0,3,13.6,78.9,15,4,0.0,20,69.0,0,9,,,,78.6,75.8,78.7,81.4,,55.1,,0,0,23,0.0,116.7,0.0,0,1,0,0,1,0,0.0,148,7.8,100.0,6,7,10.8,3.79,0,0,0.0,57.1,4,3,33.3,9,31.0,2,5,,,,71.4,82.0,72.3,83.3,,58.3,,0,0,10,33.3,122.0,11.1,1,1,0,1,1,0,0.0,55,7.9,0,100.0,3,3,-4.0,1.83,0,0,0.0,100.0,3,0,0.0,3,10.3,0,0,,,,68.0,62.2,69.9,61.9,,,,0,0,5,,79.2,0.0,0,0,0,0,0,0,0.0,1,0.3,0.07
Tim Boyle,21956,QB,MIA,2,-8.33,0,29,17,57.1,21,23,9.0,2.52,0,0,0.0,52.2,12,7,0.0,26,89.7,0,7,,,,76.8,56.2,77.6,54.9,,62.1,,0,0,27,14.3,68.4,3.8,1,2,1,1,0,0,0.0,126,5.5,60.9,23,24,7.3,2.14,0,0,0.0,58.3,14,6,0.0,26,89.7,0,7,,,,76.8,59.3,77.6,57.0,,63.3,,0,0,27,16.7,75.0,3.8,1,1,1,0,0,0,0.0,140,5.8,100.0,1,2,10.0,4.33,0,0,0.0,50.0,1,1,0.0,3,10.3,0,1,,,,66.9,53.6,69.2,56.4,,58.3,,0,0,4,0.0,70.8,0.0,0,1,0,1,0,0,0.0,13,6.5,0,100.0,3,3,-3.7,1.0,0,0,0.0,100.0,3,0,0.0,3,10.3,0,1,,,,66.9,64.8,69.2,64.3,,,,0,0,4,,104.2,0.0,0,0,0,0,0,0,0.0,27,9.0,0.67
Dorian Thompson-Robinson,83574,QB,CLV,1,-37.78,0,26,8,56.3,16,21,7.4,2.61,1,0,0.0,38.1,8,9,11.1,23,88.5,1,3,,,,25.8,39.1,76.6,30.6,,81.5,,1,2,25,11.1,7.1,4.3,1,0,0,3,0,2,8.0,65,3.1,81.8,11,15,5.3,2.26,1,0,0.0,60.0,9,4,0.0,16,61.5,0,2,,,,75.4,62.9,75.6,51.0,,81.5,,1,1,17,0.0,44.0,0.0,0,0,0,2,0,1,5.9,71,4.7,37.5,8,9,6.0,2.83,0,0,0.0,22.2,2,5,33.3,10,38.5,1,1,,,,19.8,29.9,72.9,28.2,,65.9,,0,1,12,20.0,0.0,10.0,1,0,0,1,0,1,8.3,11,1.2,0,100.0,3,3,-4.0,1.5,0,0,0.0,100.0,3,0,0.0,3,11.5,0,0,,,,66.9,75.2,69.2,63.3,,65.9,,0,0,4,,90.3,0.0,0,0,0,0,0,0,0.0,17,5.7,-3.51
Davis Mills,52269,QB,HST,2,50.0,0,14,13,63.6,11,11,8.9,2.43,0,0,0.0,54.5,6,3,14.3,12,85.7,1,3,,,,72.4,63.8,73.5,63.3,,,,0,0,12,33.3,68.0,8.3,1,0,0,0,0,0,0.0,54,4.9,63.6,11,12,8.9,2.35,1,0,0.0,50.0,6,3,14.3,13,92.9,1,3,,,,72.8,62.8,73.7,62.3,,,,0,0,13,33.3,62.5,7.7,1,0,0,0,0,0,0.0,54,4.5,100.0,1,1,-2.0,1.5,0,0,0.0,100.0,1,0,0.0,1,7.1,0,1,,,,60.4,60.3,64.6,60.1,,,,0,0,1,,118.8,0.0,0,0,0,0,0,0,0.0,25,25.0,0,100.0,1,2,-2.0,1.45,1,0,0.0,50.0,1,0,0.0,2,14.3,0,1,,,,63.6,58.9,66.9,59.0,,,,0,0,2,,95.8,0.0,0,0,0,0,0,0,0.0,25,12.5,20.5
