Player,Roster Position,%Drafted,FPTS,
Jaden Bray,WR,1.47%,8.2,
Ta'Zhawn Henry,RB,1.28%,2.3,
Shocky Jacques-Louis,FLEX,1.16%,3.2,
Roman Wilson,WR,1.14%,16.2,
Drew Estrada,WR,1.09%,15.3,
Charles McClelland,RB,0.98%,0,
Tyler Scott,WR,0.97%,9.5,
John Paul Richardson,FLEX,0.94%,8.3,
Levi Lewis,QB,0.91%,22.7,
Justin McGriff,FLEX,0.91%,13.2,
Trey Sanders,RB,0.89%,2.1,
Jahleel Billingsley,WR,0.87%,4.7,
Cameron Latu,FLEX,0.86%,2.3,
Ben Sims,FLEX,0.86%,13.4,
Rashod Owens,S-FLEX,0.81%,0,
Kenny McIntosh,RB,0.80%,5.7,
Elijah Kothe,WR,0.77%,5.2,
Christian Beal-Smith,RB,0.76%,4,
Xavier Williams,WR,0.72%,0,
Donovan Edwards,RB,0.71%,18.1,
Slade Bolden,S-FLEX,0.67%,10.4,
Spencer Petras,S-FLEX,0.64%,4.48,
Christian Turner,FLEX,0.63%,3.4,
Adonai Mitchell,WR,0.63%,1.8,
Jaden Nixon,RB,0.63%,0,
Erick All,WR,0.63%,12.3,
Keagan Johnson,WR,0.60%,2.3,
Daylen Baldwin,FLEX,0.59%,0,
Isaac Vance,FLEX,0.56%,0,
Brian Robinson Jr.,RB,0.55%,9.1,
Quinton Cooley,RB,0.45%,2.6,
Ryan Montgomery,FLEX,0.43%,4.4,
Luke Schoonmaker,FLEX,0.43%,6.9,
Kaegun Williams,S-FLEX,0.43%,1.5,
Kyren Lacy,WR,0.42%,0,
Daniel Bellinger,WR,0.41%,0,
Andrel Anthony,WR,0.40%,1.6,
Jordan Byrd,FLEX,0.40%,0.3,
Seth Green,FLEX,0.37%,3.3,
Taysir Mack,WR,0.37%,0,
Jake Herslow,S-FLEX,0.37%,16.7,
Gerry Bohanon,QB,0.36%,0,
Anderson Castle,RB,0.34%,0,
Elelyon Noa,S-FLEX,0.34%,4.7,
Dominic Richardson,FLEX,0.34%,9,
Miles Joiner,WR,0.32%,0,
Christian Trahan,WR,0.30%,0,
Peter LeBlanc,WR,0.30%,10.7,
John Stephens, Jr.,WR,0.28%,0
Ja'Corey Brooks,WR,0.28%,1.9,
Dezmon Jackson,FLEX,0.26%,14,
Ke'Shawn Williams,WR,0.24%,2.1,
Blake Whiteheart,WR,0.24%,0,
Charlie Jones,S-FLEX,0.23%,6.7,
Bryan Bradford,RB,0.23%,0.9,
Michael Jefferson,WR,0.22%,12.1,
A.J. Henning,WR,0.21%,2.9,
Daniel Bangura,FLEX,0.20%,0,
Taye McWilliams,RB,0.19%,0,
Neal Johnson,FLEX,0.18%,0,
BJ Busbee,FLEX,0.18%,6.4,
Leonard Taylor,WR,0.16%,7.8,
Christian Leary,S-FLEX,0.13%,0,
Drake Dabney,WR,0.13%,1.5,
Darnell Washington,WR,0.13%,7.5,
Daijun Edwards,RB,0.12%,0,
Arland Bruce IV,WR,0.11%,3.2,
Kearis Jackson,WR,0.11%,1.4,
Evan Prater,QB,0.10%,0,
Kris Leach,FLEX,0.09%,0,
Collin Schlee,S-FLEX,0.09%,14.92,
Harrison Waylee,RB,0.08%,0,
Javon Baker,FLEX,0.08%,0,
Daetrich Harrington,RB,0.08%,1.5,
John Gentry,S-FLEX,0.08%,0,
Mike Sainristil,FLEX,0.08%,1.1,
Dontae Fleming,WR,0.08%,2,
Nick Patti,QB,0.08%,0,
A.J. Davis Jr.,RB,0.08%,0,
Tyrice Richie,WR,0.08%,0,
Jalen Virgil,WR,0.08%,0,
Shane Illingworth,QB,0.07%,0,
Chandler Smith,FLEX,0.07%,1.2,
Gavin Williams,RB,0.06%,6.5,
Bryson Green,FLEX,0.06%,0,
Justice Ellison,RB,0.05%,0.5,
Nico Ragaini,FLEX,0.05%,0,
Brandon Chapman,WR,0.05%,0,
Jonathan Bennett,RB,0.05%,0,
Messiah Travis,WR,0.05%,2.2,
Brett Seither,FLEX,0.04%,0,
Ethan Hampton,QB,0.04%,0,
J.J. Mccarthy,S-FLEX,0.04%,1.54,
Logan Carter,RB,0.04%,0,
Tyrone Tracy Jr.,WR,0.04%,0,
Tre Tipton,S-FLEX,0.04%,0,
Ethan Dedeaux,WR,0.04%,0,
Chance Bell,RB,0.03%,3.9,
Traeshon Holden,FLEX,0.03%,4.1,
Michael Kern,QB,0.03%,0,
Noah Davis,FLEX,0.03%,0,
Braden Cassity,S-FLEX,0.03%,0,
Paul Tyson,S-FLEX,0.03%,0,
T.J. Wisham,RB,0.03%,0,
Jaylen Erwin,WR,0.03%,0,
Isaiah Richardson,WR,0.03%,0,
TJ Sullivan,WR,0.03%,0,
Tyrell Shavers,WR,0.03%,0,
Jalen Williams,S-FLEX,0.03%,0,
Jahmal Banks,WR,0.03%,0,
Jaden Bradley,WR,0.03%,2.5,
Mohamed Toure,WR,0.03%,2,
Kendall Milton,RB,0.03%,0,
Alex Padilla,S-FLEX,0.03%,0.52,
Cooper Legas,S-FLEX,0.03%,0,
Fabian McCray,WR,0.03%,0,
Dominick Blaylock,WR,0.03%,0,
Tristen Tewes,WR,0.03%,0,
Melquise Stovall,WR,0.02%,0,
Marcus Rosemy-Jacksaint,FLEX,0.02%,0,
Cameron Hite,WR,0.02%,0,
Michael Young Jr.,WR,0.02%,0,
Mason Blakemore,RB,0.02%,0.4,
Chandler Fields,QB,0.02%,0,
Jordan Nathan,WR,0.02%,6,
JT Daniels,QB,0.02%,0,
Carson Terrell,FLEX,0.02%,1.4,
John FitzPatrick,WR,0.02%,3.2,
Melvin Billingsley,WR,0.01%,0,
Hal Presley,FLEX,0.01%,0,
Carson Beck,S-FLEX,0.01%,0,
Lucas Johnson,S-FLEX,0.01%,0,
Jacob Huesman,QB,0.01%,0,
Cooper Bishop,RB,0.01%,0,
Kendall Randolph,WR,0.01%,0,
Steven Brown,WR,0.01%,0,
Luke Floriea,WR,0.01%,7.4,
Elijah Crockett,RB,0.01%,0,
Walker Ferguson,WR,0.01%,0,
Ike Ogbogu,S-FLEX,0.01%,0,
LD Brown,S-FLEX,0.01%,0,
Ethan Bullock,S-FLEX,0.01%,0,
Joachim Bangda,FLEX,0.01%,0,
Errol Rogers, Jr.,FLEX,0.01%,8.9
Mulbah Car,FLEX,0.01%,0,
Agiye Hall,WR,0.01%,0,
Ethan Wright,FLEX,0.01%,0,
Jay Rudolph,WR,0.01%,0,
Jase McClellan,RB,0.01%,0,
Pailate Makakona,RB,0.01%,0,
Jordan Jones,S-FLEX,0.01%,0,
Jalen Milroe,S-FLEX,0.01%,0,
Matt Polk,WR,0.01%,0,
Jonathan Shepherd,FLEX,0.01%,0,
Ty Moore,WR,0.01%,0,
Ivory Kelly-Martin,RB,0.01%,0,
Jadon Thompson,FLEX,0.01%,0,
Josh Fleeks,FLEX,0.01%,0,
Dustin Fletcher,QB,0.01%,0,
Javaughn Williams,WR,0.01%,0,
