player,player_id,position,team_name,player_game_count,avg_time_to_throw,avg_ttt_attempts,avg_ttt_sacks,avg_ttt_scrambles,dropbacks,franchise_id,less_accuracy_percent,less_aimed_passes,less_attempts,less_avg_depth_of_target,less_avg_time_to_throw,less_bats,less_big_time_throws,less_btt_rate,less_completion_percent,less_completions,less_def_gen_pressures,less_drop_rate,less_dropbacks,less_dropbacks_percent,less_drops,less_first_downs,less_hit_as_threw,less_interceptions,less_passing_snaps,less_pressure_to_sack_rate,less_qb_rating,less_sack_percent,less_sacks,less_scrambles,less_spikes,less_thrown_aways,less_touchdowns,less_turnover_worthy_plays,less_twp_rate,less_yards,less_ypa,more_accuracy_percent,more_aimed_passes,more_attempts,more_avg_depth_of_target,more_avg_time_to_throw,more_bats,more_big_time_throws,more_btt_rate,more_completion_percent,more_completions,more_def_gen_pressures,more_drop_rate,more_dropbacks,more_dropbacks_percent,more_drops,more_first_downs,more_hit_as_threw,more_interceptions,more_passing_snaps,more_pressure_to_sack_rate,more_qb_rating,more_sack_percent,more_sacks,more_scrambles,more_spikes,more_thrown_aways,more_touchdowns,more_turnover_worthy_plays,more_twp_rate,more_yards,more_ypa
Cole Snyder,97617,QB,BUFFALO,5,2.37,2.16,3.42,4.42,206,126,73.8,122,126,7.5,1.78,2,5,3.8,69.8,88,18,2.2,128,62.1,2,49,0,2,134,11.1,94.2,1.6,2,0,0,2,5,4,3.0,827,6.6,45.8,48,55,15.8,3.34,2,2,3.5,38.2,21,38,4.5,78,37.9,1,17,0,1,80,28.9,74.1,14.1,11,12,0,5,3,5,6.3,391,7.1
Jason Shelley,60581,QB,MO STATE,5,3.05,2.68,3.73,5.51,205,230,78.0,82,85,6.7,1.87,2,4,4.5,70.6,60,11,6.3,88,42.9,4,33,0,0,92,27.3,128.4,3.4,3,0,0,1,8,1,1.1,737,8.7,71.6,67,79,11.2,3.94,1,4,4.9,55.7,44,59,8.3,117,57.1,4,36,1,2,120,32.2,83.8,16.2,19,19,0,10,3,6,5.0,629,8.0
Layne Hatcher,82068,QB,TEXAS ST,5,2.67,2.59,3.43,5.13,205,314,73.1,93,96,6.2,1.81,1,2,2.1,68.8,66,14,2.9,97,47.3,2,26,0,3,98,7.1,84.7,1.0,1,0,0,2,4,5,5.1,563,5.9,65.0,80,90,14.1,3.5,1,8,8.6,52.2,47,44,9.6,106,51.7,5,24,0,3,111,27.3,88.2,11.3,12,4,0,9,7,7,6.3,661,7.3
Seth Henigan,144267,QB,MEMPHIS,5,2.91,2.62,3.6,4.78,204,218,85.0,80,82,6.5,1.93,1,2,2.3,73.2,60,16,11.8,85,41.7,8,33,0,0,90,18.8,117.3,3.5,3,0,0,1,4,1,1.1,748,9.1,60.8,79,85,13.3,3.64,1,3,3.2,52.9,45,47,6.3,118,57.8,3,25,0,1,126,21.3,86.8,8.5,10,23,0,5,5,3,2.4,528,6.2
Hayden Wolff,98362,QB,DOMINION,5,2.57,2.45,3.19,4.54,202,263,77.4,93,99,6.5,1.94,5,2,1.9,65.7,65,18,9.7,100,49.5,7,31,1,2,104,5.6,92.6,1.0,1,0,0,0,6,2,1.9,571,5.8,55.0,80,81,13.9,3.2,0,13,14.8,44.4,36,45,18.2,102,50.5,8,23,1,0,109,31.1,86.4,13.7,14,7,0,0,3,7,6.4,680,8.4
Kurtis Rourke,97998,QB,OHIO,5,2.9,2.8,3.6,4.8,201,259,87.5,72,74,5.5,1.98,1,1,1.3,83.8,62,13,1.6,76,37.8,1,26,1,1,80,15.4,116.9,2.6,2,0,0,0,6,3,3.8,513,6.9,67.9,106,111,12.2,3.45,1,8,6.8,57.7,64,49,11.1,125,62.2,8,44,1,1,134,16.3,99.1,6.4,8,6,0,3,5,4,3.0,1004,9.0
Drake Maye,143969,QB,N CAROLINA,5,2.8,2.5,3.57,4.58,200,245,83.7,86,87,6.0,1.89,0,3,3.1,78.2,68,14,5.6,89,44.5,4,33,0,0,99,14.3,119.2,2.2,2,0,0,1,5,1,1.0,697,8.0,71.0,69,77,17.3,3.56,0,12,15.6,59.7,46,60,6.1,110,55.0,3,48,2,1,113,13.3,134.1,7.3,8,25,0,6,13,2,1.8,888,11.5
Clayton Tune,77652,QB,HOUSTON,5,3.16,2.74,4.25,5.53,199,182,87.7,73,76,2.7,1.85,3,1,1.3,78.9,60,9,6.3,76,38.2,4,28,0,0,78,0.0,131.4,0.0,0,0,0,0,7,2,2.6,620,8.2,65.8,73,84,12.3,4.01,0,6,6.5,52.4,44,61,8.3,122,61.3,4,34,0,3,134,24.6,67.2,12.3,15,23,0,11,2,5,3.7,572,6.8
Michael Penix Jr.,82134,QB,WASHINGTON,5,2.46,2.42,2.6,4.16,199,340,83.7,104,105,5.6,1.88,1,2,1.8,75.2,79,14,9.2,105,52.8,8,48,0,1,109,0.0,125.8,0.0,0,0,0,0,9,1,0.9,918,8.7,63.4,82,87,15.7,3.11,1,9,9.5,54.0,47,29,9.6,94,47.2,5,37,1,2,102,6.9,103.3,2.1,2,5,0,3,7,2,2.0,814,9.4
Jack Plummer,83543,QB,CAL,5,2.76,2.63,2.73,5.44,197,130,76.1,88,93,6.6,1.82,2,1,1.0,67.7,63,11,6.0,94,47.7,4,29,2,2,104,9.1,88.0,1.1,1,0,0,1,4,3,2.9,537,5.8,70.6,68,79,13.3,3.62,0,6,7.2,57.0,45,60,6.3,103,52.3,3,34,1,0,108,25.0,103.9,14.6,15,9,0,10,4,1,0.9,711,9.0
Chase Cunningham,78533,QB,MIDDLE TN,5,2.58,2.41,3.57,5.19,196,224,84.3,108,109,5.8,1.73,1,5,4.3,78.0,85,19,6.6,110,56.1,6,34,0,1,116,5.3,104.9,0.9,1,0,0,0,3,3,2.6,859,7.9,73.6,53,67,9.0,3.71,1,5,6.8,52.2,35,48,10.3,85,43.4,4,19,3,2,91,20.8,89.7,11.8,10,8,0,10,5,5,5.5,509,7.6
Holton Ahlers,77651,QB,E CAROLINA,5,2.37,2.22,2.88,4.34,195,156,78.0,118,121,7.3,1.69,3,8,6.3,73.6,89,21,3.3,123,63.1,3,55,0,1,128,9.5,127.4,1.6,2,0,0,0,11,2,1.6,1078,8.9,68.0,50,55,11.9,3.52,0,1,1.7,56.4,31,36,8.8,72,36.9,3,23,1,2,76,16.7,92.8,8.3,6,11,0,4,4,3,3.9,458,8.3
Gunnar Watson,83570,QB,TROY,5,2.62,2.47,3.08,5.4,194,318,78.4,88,92,6.9,2.03,2,3,3.2,68.5,63,18,8.7,96,49.5,6,37,1,5,99,22.2,80.3,4.2,4,0,0,1,3,6,6.1,727,7.9,69.3,75,78,10.0,3.19,1,3,3.7,60.3,47,44,9.6,98,50.5,5,27,0,1,103,31.8,94.1,14.3,14,6,0,2,2,3,2.9,722,9.3
Davis Brin,77642,QB,TULSA,5,2.56,2.4,3.44,4.13,194,320,72.8,92,94,8.4,1.91,1,5,5.0,62.8,59,22,11.9,100,51.5,8,33,0,0,107,27.3,109.3,6.0,6,0,0,1,7,1,0.9,679,7.2,64.3,70,74,18.2,3.25,0,7,8.4,56.8,42,40,6.7,94,48.5,3,38,4,3,103,32.5,104.3,13.8,13,7,0,0,5,5,4.9,876,11.8
Quinton Williams,102366,QB,HOWARD,5,2.57,2.31,3.74,5.02,193,184,74.3,105,108,6.3,1.81,2,1,0.9,65.7,71,18,9.0,109,56.5,7,33,0,3,114,5.6,73.4,0.9,1,0,0,1,2,3,2.6,569,5.3,67.9,56,58,16.4,3.61,0,7,11.1,62.1,36,35,5.3,83,43.0,2,31,0,2,91,34.3,101.5,14.5,12,13,0,2,3,5,5.5,624,10.8
Kobe Tracy,141317,QB,UTAHTC,4,3.01,2.83,3.21,4.85,193,1285,70.6,68,69,6.1,1.94,1,2,2.7,63.8,44,17,8.3,69,35.8,4,19,0,1,74,0.0,96.5,0.0,0,0,0,0,4,1,1.4,463,6.7,58.0,88,98,19.3,3.61,0,8,7.7,42.9,42,55,17.6,124,64.2,9,37,4,2,130,20.0,79.2,8.9,11,15,0,6,5,5,3.8,774,7.9
JT Daniels,83578,QB,W VIRGINIA,5,2.39,2.33,3.36,4.25,192,343,79.8,109,110,5.3,1.79,0,0,0.0,73.6,81,12,6.9,112,58.3,6,40,0,2,116,16.7,98.0,1.8,2,0,0,1,6,3,2.6,632,5.7,56.7,67,72,15.4,3.23,1,6,7.5,47.2,34,33,10.5,80,41.7,4,24,4,0,89,18.2,84.1,7.5,6,2,0,0,2,3,3.4,577,8.0
Ben Bryant,77655,QB,CINCINNATI,5,2.46,2.27,3.21,4.72,188,138,70.4,98,101,6.7,1.8,0,3,2.9,65.3,66,14,4.3,103,54.8,3,34,1,4,107,14.3,87.8,1.9,2,0,0,2,7,3,2.8,598,5.9,77.4,62,65,16.0,3.24,1,11,16.2,66.2,43,36,10.4,85,45.2,5,31,2,0,88,30.6,139.1,12.9,11,9,0,0,6,2,2.3,798,12.3
Ian Corwin,109017,QB,DRAKE,5,3.32,2.89,4.66,5.13,188,153,57.1,70,72,9.6,1.99,2,3,4.2,45.8,33,10,17.5,73,38.8,7,19,0,2,73,10.0,53.8,1.4,1,0,0,0,1,5,6.8,354,4.9,52.2,69,77,15.5,4.17,0,7,8.6,44.2,34,54,5.6,115,61.2,2,33,1,3,121,24.1,77.2,11.3,13,25,0,7,6,7,5.8,529,6.9
Caleb Williams,144622,QB,USC,5,3.24,2.76,5.39,6.36,187,326,83.3,72,73,5.1,1.77,1,1,1.3,79.5,58,10,3.3,75,40.1,2,33,0,1,77,20.0,128.7,2.7,2,0,0,0,7,1,1.3,627,8.6,69.6,79,86,12.5,4.23,0,5,5.3,57.0,49,56,10.9,112,59.9,6,44,0,0,120,16.1,106.5,8.0,9,17,0,7,5,3,2.5,775,9.0
Brady Meitz,149729,QB,STETSON,4,2.5,2.35,3.19,4.59,185,302,69.0,100,104,8.2,1.94,2,7,6.6,65.4,68,21,1.4,108,58.4,1,34,2,2,110,19.0,91.5,3.7,4,0,0,0,3,4,3.6,832,8.0,69.8,53,59,11.4,3.33,0,2,3.2,61.0,36,34,2.7,76,41.1,1,19,1,1,79,26.5,102.2,11.8,9,8,0,5,4,3,3.8,478,8.1
Devin Leary,77628,QB,NC STATE,5,2.5,2.39,3.39,5.53,185,248,86.3,95,98,2.7,1.75,1,0,0.0,74.5,73,6,11.0,98,53.0,9,38,2,1,99,0.0,103.8,0.0,0,0,0,0,6,1,1.0,552,5.6,55.1,69,74,17.3,3.35,0,7,8.2,47.3,35,32,7.9,87,47.0,3,24,1,2,98,28.1,81.1,10.3,9,4,0,4,4,6,6.1,583,7.9
Jaren Hall,82094,QB,BYU,5,2.81,2.58,4.27,5.39,184,128,81.9,72,76,5.3,1.77,2,2,2.6,76.3,58,7,1.7,78,42.4,1,27,1,0,80,28.6,112.3,2.6,2,0,0,1,4,0,0.0,530,7.0,74.4,82,90,13.2,3.58,0,8,8.0,65.6,59,35,3.3,106,57.6,2,40,0,1,117,14.3,123.5,4.7,5,11,0,8,8,4,3.4,903,10.0
Carlos Davis,139131,QB,W CAROLINA,4,3.02,2.63,3.99,5.25,184,344,85.5,69,71,5.4,1.88,1,4,5.4,77.5,55,13,6.8,73,39.7,4,27,1,1,76,7.7,108.5,1.4,1,1,0,0,4,1,1.3,493,6.9,66.2,74,81,14.9,3.78,0,9,10.5,60.5,49,54,0.0,111,60.3,0,38,2,7,117,14.8,91.0,7.2,8,22,0,5,8,4,3.4,808,10.0
Doug Brumfield,128348,QB,UNLV,5,2.83,2.35,4.4,5.26,183,325,84.9,86,89,5.7,1.79,0,3,3.3,75.3,67,14,8.2,91,49.7,6,36,3,1,93,14.3,118.3,2.2,2,0,0,0,7,2,2.2,682,7.7,77.2,57,60,12.0,3.86,0,3,4.9,63.3,38,40,13.6,92,50.3,6,32,1,1,95,27.5,90.7,12.0,11,21,0,2,1,1,1.1,536,8.9
Shedeur Sanders,131396,QB,JACKSON ST,4,2.56,2.29,3.83,5.12,183,194,89.0,109,111,5.4,1.77,1,2,1.8,84.7,94,11,3.1,111,60.7,3,47,0,0,114,0.0,137.3,0.0,0,0,0,1,12,0,0.0,921,8.3,63.0,46,50,14.5,3.82,0,5,8.9,54.0,27,25,6.9,71,38.8,2,23,2,1,79,32.0,90.8,11.3,8,13,0,2,2,2,2.5,465,9.3
Carter Bradley,77685,QB,S ALABAMA,5,2.36,2.21,3.78,3.94,183,288,80.0,105,110,4.4,1.81,4,4,3.5,69.1,76,19,9.5,112,61.2,8,44,1,1,116,10.5,106.0,1.8,2,0,0,0,7,1,0.9,764,6.9,57.1,49,55,15.7,3.27,1,6,9.8,43.6,24,20,14.3,70,38.3,4,22,0,3,76,20.0,70.9,5.7,4,11,0,5,3,5,6.6,488,8.9
Austin Aune,83528,QB,N TEXAS,6,2.65,2.55,3.98,5.0,183,251,74.3,101,102,10.1,1.99,0,8,7.4,64.7,66,11,12.0,103,56.3,9,46,0,4,109,9.1,113.4,1.0,1,0,0,1,10,4,3.7,1005,9.9,53.1,64,71,16.0,3.51,2,4,5.4,45.1,32,30,5.9,80,43.7,2,22,1,3,83,13.3,73.9,5.0,4,5,0,4,5,6,7.2,484,6.8
Phil Jurkovec,83533,QB,BOSTON COL,5,2.89,2.67,3.3,5.15,182,121,80.3,66,68,2.9,1.88,1,2,2.9,76.5,52,19,1.9,72,39.6,1,20,1,4,74,21.1,90.4,5.6,4,0,0,0,5,3,4.1,401,5.9,69.7,76,84,13.9,3.58,0,2,2.3,52.4,44,56,17.0,109,59.9,9,30,1,2,114,21.4,92.7,11.0,12,13,0,7,5,4,3.5,746,8.9
Aidan O'Connell,60516,QB,PURDUE,4,2.42,2.36,3.25,4.6,181,273,72.4,105,108,7.7,1.84,1,4,3.5,66.7,72,13,5.3,108,59.7,4,32,0,0,115,0.0,95.9,0.0,0,0,0,2,4,4,3.5,673,6.2,69.5,59,66,11.8,3.28,0,3,4.3,62.1,41,29,0.0,73,40.3,0,23,3,3,77,13.8,88.3,5.5,4,3,0,4,4,4,5.2,526,8.0
Max Brosmer,105568,QB,NEW HAMP,5,2.69,2.5,3.68,4.37,180,240,72.2,79,82,7.3,1.95,3,2,2.4,65.9,54,12,5.3,84,46.7,3,28,0,2,86,16.7,94.0,2.4,2,0,0,0,6,1,1.2,448,5.5,62.9,70,74,11.7,3.36,0,7,9.1,55.4,41,36,6.8,95,52.8,3,32,0,2,99,25.0,81.6,9.5,9,12,0,4,3,5,5.1,552,7.5
James Blackman,60382,QB,ARK STATE,5,2.71,2.59,2.84,4.92,179,113,82.1,78,78,4.0,1.95,0,1,1.2,80.8,63,22,1.6,84,46.9,1,27,0,0,87,27.3,114.7,7.1,6,0,0,0,4,0,0.0,580,7.4,67.6,68,79,11.4,3.43,0,4,4.8,57.0,45,45,2.2,94,52.5,1,29,3,1,99,13.3,89.8,6.4,6,9,0,8,3,0,0.0,624,7.9
Payton Thorne,101629,QB,MICH STATE,5,2.85,2.65,3.51,5.5,179,223,87.3,79,82,4.6,1.85,3,0,0.0,74.4,61,5,11.6,82,45.8,8,30,0,1,89,0.0,100.9,0.0,0,0,0,0,3,0,0.0,584,7.1,61.3,75,80,12.4,3.69,0,4,4.6,53.8,43,33,6.5,97,54.2,3,28,1,5,104,21.2,69.7,7.2,7,10,0,4,5,7,6.7,538,6.7
Jayden Daniels,97993,QB,LSU,5,3.01,2.45,4.05,4.86,179,211,82.9,76,76,4.1,1.77,0,1,1.3,77.6,59,10,6.3,79,44.1,4,30,0,0,82,30.0,105.3,3.8,3,0,0,0,2,0,0.0,545,7.2,69.2,52,56,11.1,3.99,1,1,1.7,53.6,30,41,16.7,100,55.9,6,32,0,0,104,34.1,98.1,14.0,14,30,0,3,4,1,1.0,370,6.6
Jeff Sims,122496,QB,GA TECH,5,2.58,2.27,2.59,5.05,179,176,69.7,89,91,3.9,1.82,1,1,1.1,63.7,58,27,6.5,98,54.7,4,22,1,0,101,25.9,75.1,7.1,7,0,0,0,0,4,4.0,434,4.8,57.1,49,52,16.8,3.55,1,4,7.5,44.2,23,38,17.9,80,44.7,5,21,1,2,82,23.7,74.7,11.3,9,19,0,1,3,6,7.3,406,7.8
Tanner Mordecai,77656,QB,SMU,4,2.53,2.42,3.9,4.6,178,287,71.0,93,94,7.4,1.81,0,6,5.8,62.8,59,11,10.6,94,52.8,7,38,0,3,103,0.0,102.8,0.0,0,0,0,1,9,2,1.9,673,7.2,62.5,64,71,14.7,3.38,0,7,9.5,52.1,37,20,7.5,83,46.6,3,26,1,2,86,30.0,89.1,7.2,6,6,0,6,3,3,3.5,702,9.9
