"Player","Finals Count","Alive Team Rates"
"Mack Hollins","3","1.28%"
"Logan Thomas","3","1.28%"
"Rhamondre Stevenson","3","1.28%"
"Zach Evans","2","0.85%"
"Israel Abanikanda","2","0.85%"
"Jelani Woods","2","0.85%"
"Corey Davis","2","0.85%"
"Joshua Kelley","2","0.85%"
"Richie James Jr.","2","0.85%"
"Kyle Trask","2","0.85%"
"Jalen Tolbert","2","0.85%"
"Michael Wilson","2","0.85%"
"Mark Andrews","1","0.43%"
"Ryan Tannehill","1","0.43%"
"Kendrick Bourne","1","0.43%"
"Eric Gray","1","0.43%"
"Greg Dortch","1","0.43%"
"Ja'Marr Chase","1","0.43%"
"Tutu Atwell","1","0.43%"
"Tucker Kraft","1","0.43%"
"Robert Tonyan","1","0.43%"
"Terrace Marshall Jr.","1","0.43%"
"Malik Davis","1","0.43%"
"DeVante Parker","1","0.43%"
"Luke Schoonmaker","1","0.43%"
"Nelson Agholor","1","0.43%"
"Kayshon Boutte","1","0.43%"
"Cedric Tillman","1","0.43%"
"Foster Moreau","1","0.43%"
"Calvin Austin III","1","0.43%"
"Josh Oliver","1","0.43%"
"Quez Watkins","1","0.43%"
"Cole Turner","1","0.43%"
