Player,Roster Position,%Drafted,FPTS
Mike Sainristil,S-FLEX,0.05%,4.4
J.J. Mccarthy,QB,0.05%,2.44
Traeshon Holden,WR,0.05%,0
Mike Brown-Stephens,S-FLEX,0.05%,1.8
Aaron Young,RB,0.05%,10.9
Anthony Gould,WR,0.05%,2
Brett Seither,FLEX,0.05%,0
Iraken Armstead,S-FLEX,0.05%,0
Adonicas Sanders,S-FLEX,0.04%,0
Champ Flemings,S-FLEX,0.04%,2.2
Henry Colombi,S-FLEX,0.04%,0
Mycah Pittman,S-FLEX,0.04%,0
John Samuel Shenker,WR,0.04%,5.2
Alec Sinkfield,RB,0.04%,3.9
Darnell Washington,WR,0.04%,2.8
Rick Wells,WR,0.04%,4.9
JJ Jefferson,FLEX,0.04%,0
Daniel Jackson,WR,0.04%,4.6
Spencer Webb,FLEX,0.03%,1.5
Ja'Quavion Fraziars,FLEX,0.03%,0
John Lovett,RB,0.03%,-1
Malik McClain,S-FLEX,0.03%,2.1
Dontae Smith,RB,0.03%,5.9
Miles Marshall,WR,0.03%,7.2
J.J. Sparkman,FLEX,0.03%,0
Dylan Wright,WR,0.03%,3.7
Jalen Nailor,WR,0.03%,0
Jack Plummer,QB,0.03%,0.48
Ko Kieft,WR,0.03%,0
Tyler Hunt,WR,0.02%,0
Kyle McCord,QB,0.02%,0
Evan Pryor,RB,0.02%,0
Chubba Purdy,S-FLEX,0.02%,0
Jordan Wilson,FLEX,0.02%,2.3
Jeff Sims,S-FLEX,0.02%,0
Jovani Haskins,WR,0.02%,1.7
Casey Washington,WR,0.02%,8.8
Luke Moseley,WR,0.02%,0
Brandon Chapman,WR,0.02%,3.4
Artie Henry,WR,0.02%,0
Sam Noyer,QB,0.02%,0
Preston Jelen,S-FLEX,0.02%,0
Stephan Bracey,FLEX,0.02%,0
Charlie Spegal,RB,0.02%,3.7
Luke Musgrave,WR,0.02%,21.5
Garrett Miller,WR,0.02%,1.1
Donny Navarro III,WR,0.02%,0
Demick Starling,S-FLEX,0.02%,0
Keon Zipperer,WR,0.02%,4.2
Deshaun Fenwick,S-FLEX,0.02%,0
Andrew Clair,RB,0.02%,3.3
Jahmal Banks,WR,0.01%,0
Travis Koontz,WR,0.01%,25.7
Cade Stover,FLEX,0.01%,0
Chris Childers,RB,0.01%,0.5
Christoph Henle,FLEX,0.01%,0
Roman Hemby,RB,0.01%,0
Paul Tyson,QB,0.01%,0
Corey Dyches,WR,0.01%,17.6
Myles Price,WR,0.01%,0
Reggie Love III,RB,0.01%,0.8
Luke Ford,WR,0.01%,0
Dylan Downing,RB,0.01%,11.1
Jalen Berger,RB,0.01%,0
Ryan Hilinski,QB,0.01%,9.02
Jacoby Clarke,RB,0.01%,0
Trey Pugh,WR,0.01%,0
Devin Darrington,RB,0.01%,5.3
Agiye Hall,S-FLEX,0.01%,0
Brandon Sanders,WR,0.01%,0
Ta'Quan Roberson,QB,0.01%,0
Sean Jackson,FLEX,0.01%,0
Malick Meiga,FLEX,0.01%,0
Josh Fleeks,WR,0.01%,0
Dylan Leonard,WR,0.01%,6.3
Xavier White,FLEX,0.01%,7
Tyler Fromm,WR,0.01%,0
Malachi Fields,WR,0.01%,2.8
Marcus Rosemy-Jacksaint,WR,0.01%,4
Christian Leary,WR,0.01%,0
Dont'e Thornton,S-FLEX,0.01%,1.9
Cam Sullivan-Brown,WR,0.01%,0
Anthony Tyus III,RB,0.01%,0
Javon Swinton,WR,0.01%,2.8
