"","name","slotName","oct04","july27","delta","percent_change","projectedPoints","teamName"
"90","Owen Tippett","W",90.4,187,96.6,51.7,393.5,"Philadelphia Flyers"
"91","Sebastian Aho","C",90.7,34,-56.7,-166.8,676.5,"Carolina Hurricanes"
"92","Jacob Markstrom","G",90.7,116,25.3,21.8,724.8,"Calgary Flames"
"93","Sebastian Aho","D",90.7,NA,NA,NA,419.9,"New York Islanders"
"94","Josh Morrissey","D",92.6,106,13.4,12.6,499.7,"Winnipeg Jets"
"95","Quinn Hughes","D",92.8,89,-3.8,-4.3,518.8,"Vancouver Canucks"
"96","Joonas Korpisalo","G",93.6,152,58.4,38.4,428.8,"Ottawa Senators"
"97","Devon Levi","G",93.9,130,36.1,27.8,0,"Buffalo Sabres"
"98","Pavel Buchnevich","W",95.4,55,-40.4,-73.5,592.2,"St. Louis Blues"
"99","Dylan Larkin","C",95.9,57,-38.9,-68.2,607.6,"Detroit Red Wings"
"100","Sergei Bobrovsky","G",98.3,100,1.7,1.7,652.5,"Florida Panthers"
"101","Valeri Nichushkin","W",98.5,124,25.5,20.6,522.5,"Colorado Avalanche"
"102","Vladimir Tarasenko","W",99.4,98,-1.40000000000001,-1.4,600.6,""
"103","Alex Pietrangelo","D",101.8,134,32.2,24,589.4,"Vegas Golden Knights"
"104","Andrei Kuzmenko","W",102.2,NA,NA,NA,188.2,"Vancouver Canucks"
"105","Troy Terry","W",104.8,164,59.2,36.1,463,"Anaheim Ducks"
"106","Jordan Kyrou","C",105.3,80,-25.3,-31.6,514.1,"St. Louis Blues"
"107","Jordan Binnington","G",105.3,NA,NA,NA,667.2,"St. Louis Blues"
"108","Brandon Hagel","W",107.3,125,17.7,14.2,441.5,"Tampa Bay Lightning"
"109","Brandon Montour","D",108,95,-13,-13.7,398,"Florida Panthers"
"110","Tyler Bertuzzi","W",108.1,90,-18.1,-20.1,537.9,"Toronto Maple Leafs"
"111","Adrian Kempe","C",108.2,76,-32.2,-42.4,551.4,"Los Angeles Kings"
"112","Mats Zuccarello","W",109.8,87,-22.8,-26.2,519.4,"Minnesota Wild"
"113","Ville Husso","G",112.2,161,48.8,30.3,578.7,"Detroit Red Wings"
"114","Jamie Benn","W",112.8,77,-35.8,-46.5,493,"Dallas Stars"
"115","Charlie McAvoy","D",113.7,83,-30.7,-37,473.9,"Boston Bruins"
"116","Frederik Andersen","G",114.8,154,39.2,25.5,664.1,"Carolina Hurricanes"
"117","Jacob Trouba","D",114.8,NA,NA,NA,571.3,"New York Rangers"
"118","Jake DeBrusk","W",117.9,70,-47.9,-68.4,449.2,"Boston Bruins"
"119","John Gibson","G",118.1,178,59.9,33.7,614.1,"Anaheim Ducks"
"120","Viktor Arvidsson","W",118.2,156,37.8,24.2,538.5,"Los Angeles Kings"
"121","Darnell Nurse","D",119.6,145,25.4,17.5,649.2,"Edmonton Oilers"
"122","Zach Werenski","D",119.7,163,43.3,26.6,555.7,"Columbus Blue Jackets"
"123","Evgeni Malkin","C",120.6,69,-51.6,-74.8,512,"Pittsburgh Penguins"
"124","Taylor Hall","W",121.1,110,-11.1,-10.1,523.2,"Chicago Blackhawks"
"125","Carter Verhaeghe","C",123.5,63,-60.5,-96,488.6,"Florida Panthers"
"126","Adin Hill","G",124.2,190,65.8,34.6,604.6,"Vegas Golden Knights"
"127","Carter Hart","G",125.5,123,-2.5,-2,581.3,"Philadelphia Flyers"
"128","Kris Letang","D",127,165,38,23,628.4,"Pittsburgh Penguins"
"129","Artturi Lehkonen","W",127.5,153,25.5,16.7,453.6,"Colorado Avalanche"
"130","Mark Scheifele","C",130.7,102,-28.7,-28.1,639.9,"Winnipeg Jets"
"131","Lucas Raymond","W",130.9,NA,NA,NA,404.4,"Detroit Red Wings"
"132","Jakob Chychrun","D",131,147,16,10.9,579.5,"Ottawa Senators"
"133","Mark Stone","W",131.6,65,-66.6,-102.5,533.6,"Vegas Golden Knights"
"134","Noah Dobson","D",132.3,NA,NA,NA,552,"New York Islanders"
"135","Joel Eriksson Ek","C",133.9,72,-61.9,-86,517.9,"Minnesota Wild"
"136","Philipp Grubauer","G",134.1,170,35.9,21.1,545.8,"Seattle Kraken"
"137","Shea Theodore","D",134.3,189,54.7,28.9,589.8,"Vegas Golden Knights"
"138","Seth Jones","D",134.5,150,15.5,10.3,594,"Chicago Blackhawks"
"139","Anders Lee","W",135.9,135,-0.900000000000006,-0.7,497,"New York Islanders"
"140","Joe Pavelski","C",137.1,60,-77.1,-128.5,615.4,"Dallas Stars"
"141","Karel Vejmelka","G",138.7,NA,NA,NA,321,"Arizona Coyotes"
"142","Dylan Cozens","C",140.1,113,-27.1,-24,397.4,"Buffalo Sabres"
"143","Bryan Rust","W",140.7,NA,NA,NA,592.5,"Pittsburgh Penguins"
"144","David Perron","W",143.5,NA,NA,NA,577.1,"Detroit Red Wings"
"145","Tom Wilson","W",143.6,144,0.400000000000006,0.3,390,"Washington Capitals"
"146","Vince Dunn","D",145.2,138,-7.19999999999999,-5.2,432.2,"Seattle Kraken"
"147","Elias Lindholm","C",146.5,128,-18.5,-14.5,659.8,"Calgary Flames"
"148","Patrick Kane","W",146.8,NA,NA,NA,714.7,""
"149","Justin Faulk","D",147.4,NA,NA,NA,516.7,"St. Louis Blues"
"150","Logan Thompson","G",148.1,NA,NA,NA,420.4,"Vegas Golden Knights"
"151","Bo Horvat","C",149,96,-53,-55.2,582.9,"New York Islanders"
"152","Brock Boeser","W",149.4,166,16.6,10,526.7,"Vancouver Canucks"
"153","Jeremy Swayman","G",149.6,86,-63.6,-74,553.7,"Boston Bruins"
"154","Morgan Rielly","D",153.8,183,29.2,16,597,"Toronto Maple Leafs"
"155","Elvis Merzlikins","G",154.8,NA,NA,NA,612.1,"Columbus Blue Jackets"
"156","Thomas Chabot","D",155,NA,NA,NA,588.3,"Ottawa Senators"
"157","Sam Reinhart","C",155.2,104,-51.2,-49.2,589.5,"Florida Panthers"
"158","Martin Necas","C",156.6,61,-95.6,-156.7,446.4,"Carolina Hurricanes"
"159","Reilly Smith","W",156.6,NA,NA,NA,471.1,"Pittsburgh Penguins"
"160","Nazem Kadri","C",158.9,129,-29.9,-23.2,601.3,"Calgary Flames"
"161","Devon Toews","D",159.3,NA,NA,NA,541.4,"Colorado Avalanche"
"162","Ryan Hartman","W",160.6,NA,NA,NA,544.7,"Minnesota Wild"
"163","Jordan Eberle","W",161,NA,NA,NA,429.7,"Seattle Kraken"
"164","Cam Talbot","G",165.3,179,13.7,7.7,714.3,"Los Angeles Kings"
"165","Anze Kopitar","C",165.7,47,-118.7,-252.6,593.4,"Los Angeles Kings"
"166","Rasmus Andersson","D",166.1,NA,NA,NA,486.4,"Calgary Flames"
"167","Oliver Bjorkstrand","W",166.2,NA,NA,NA,561.5,"Seattle Kraken"
"168","Drew Doughty","D",169.6,136,-33.6,-24.7,535.7,"Los Angeles Kings"
"169","Marc-Andre Fleury","G",170.2,167,-3.19999999999999,-1.9,729.9,"Minnesota Wild"
"170","Akira Schmid","G",170.2,192,21.8,11.4,6.5,"New Jersey Devils"
"171","Lawson Crouse","W",170.2,NA,NA,NA,477.4,"Arizona Coyotes"
"172","Matty Beniers","C",172.2,107,-65.2,-60.9,373.8,"Seattle Kraken"
"173","Jakub Vrana","W",173.9,142,-31.9,-22.5,515.6,"St. Louis Blues"
"174","Alexis Lafreniere","W",176.1,NA,NA,NA,422.7,"New York Rangers"
"175","Luke Hughes","D",176.7,182,5.30000000000001,2.9,0,"New Jersey Devils"
"176","Pheonix Copley","G",176.7,NA,NA,NA,0,"Los Angeles Kings"
"177","John Klingberg","D",177.3,NA,NA,NA,463.1,"Toronto Maple Leafs"
"178","Connor Brown","W",177.4,NA,NA,NA,406.9,"Edmonton Oilers"
"179","Michael Bunting","W",178.3,NA,NA,NA,449.6,"Carolina Hurricanes"
"180","Brock Nelson","C",179.5,84,-95.5,-113.7,539.5,"New York Islanders"
"181","Adam Fantilli","C",180.3,NA,NA,NA,NA,"Columbus Blue Jackets"
"182","Jack Campbell","G",181.5,NA,NA,NA,659.8,"Edmonton Oilers"
"183","Trevor Zegras","C",181.9,141,-40.9,-29,552.5,"Anaheim Ducks"
"184","Vincent Trocheck","C",182.6,101,-81.6,-80.8,562.9,"New York Rangers"
"185","Michael Matheson","D",183.1,NA,NA,NA,381.3,"Montreal Canadiens"
"186","Jonathan Drouin","W",183.1,NA,NA,NA,370.7,"Colorado Avalanche"
"187","Lukas Reichel","W",183.9,NA,NA,NA,157.8,""
"188","Nick Suzuki","C",184.6,143,-41.6,-29.1,585.4,"Montreal Canadiens"
"189","Sam Montembeault","G",185.2,NA,NA,NA,266.1,"Montreal Canadiens"
"190","Gustav Forsling","D",185.5,NA,NA,NA,434.1,"Florida Panthers"
"191","Blake Wheeler","W",185.8,119,-66.8,-56.1,561.4,"New York Rangers"
"192","Jason Zucker","W",186,NA,NA,NA,388.6,"Arizona Coyotes"
"193","Sean Durzi","D",186.4,NA,NA,NA,334.2,"Arizona Coyotes"
"194","Jake Sanderson","D",186.5,NA,NA,NA,144.1,"Ottawa Senators"
"195","Andrew Mangiapane","W",186.6,NA,NA,NA,499.1,"Calgary Flames"
"196","Josh Norris","C",187.9,91,-96.9,-106.5,622.7,"Ottawa Senators"
"197","Anthony Duclair","W",188.3,NA,NA,NA,293.4,"San Jose Sharks"
"198","Andre Burakovsky","W",188.5,140,-48.5,-34.6,475.6,"Seattle Kraken"
"199","Jonas Johansson","G",188.5,NA,NA,NA,0,"Tampa Bay Lightning"
"200","Aaron Ekblad","D",188.6,NA,NA,NA,574.5,"Florida Panthers"
"201","Matthew Knies","W",188.7,177,-11.7,-6.6,0,"Toronto Maple Leafs"
"202","Pavel Zacha","C",188.8,160,-28.8,-18,457,"Boston Bruins"
"203","Tomas Hertl","C",189,NA,NA,NA,566,"San Jose Sharks"
"204","Nino Niederreiter","W",190,NA,NA,NA,453.3,"Winnipeg Jets"
"205","Mathew Barzal","C",190.2,115,-75.2,-65.4,539.1,"New York Islanders"
"206","Anthony Beauvillier","W",190.2,NA,NA,NA,425.4,"Vancouver Canucks"
"207","Logan Couture","C",190.4,NA,NA,NA,511.7,"San Jose Sharks"
"208","Logan Cooley","C",190.4,NA,NA,NA,27.9,""
"209","Spencer Knight","G",190.5,185,-5.5,-3,573.4,"Florida Panthers"
"210","Alex Killorn","W",190.5,NA,NA,NA,477.4,"Anaheim Ducks"
"211","K'Andre Miller","D",190.5,NA,NA,NA,390.3,"New York Rangers"
"212","Kaapo Kakko","W",190.6,NA,NA,NA,338.5,"New York Rangers"
"213","Antti Raanta","G",190.7,NA,NA,NA,565.7,"Carolina Hurricanes"
"214","Arthur Kaliyev","W",190.7,NA,NA,NA,282.2,"Los Angeles Kings"
"215","Mackenzie Blackwood","G",190.8,NA,NA,NA,515.9,"San Jose Sharks"
"216","Thomas Novak","C",190.9,148,-42.9,-29,85.2,"Nashville Predators"
"217","Owen Power","D",190.9,176,-14.9,-8.5,436.9,"Buffalo Sabres"
"218","Boone Jenner","C",191,149,-42,-28.2,489.7,"Columbus Blue Jackets"
"219","MacKenzie Weegar","D",191,NA,NA,NA,548.9,"Calgary Flames"
"220","Kirill Marchenko","W",191,NA,NA,NA,NA,"Columbus Blue Jackets"
"221","Chandler Stephenson","C",191.2,114,-77.2,-67.7,461.1,"Vegas Golden Knights"
"222","Jared Spurgeon","D",191.2,NA,NA,NA,469.6,"Minnesota Wild"
"223","Marcus Johansson","W",191.2,NA,NA,NA,221.3,"Minnesota Wild"
"224","Barrett Hayton","C",191.3,127,-64.3,-50.6,347.2,"Arizona Coyotes"
"225","Joseph Woll","G",191.3,NA,NA,NA,22.2,""
"226","Matt Coronato","W",191.3,NA,NA,NA,0,"Calgary Flames"
"227","Wyatt Johnston","C",191.4,157,-34.4,-21.9,0,"Dallas Stars"
"228","Sam Bennett","C",191.4,162,-29.4,-18.1,558,"Florida Panthers"
"229","Juraj Slafkovsky","W",191.4,186,-5.40000000000001,-2.9,23.5,"Montreal Canadiens"
"230","Tanner Jeannot","W",191.4,NA,NA,NA,489.3,"Tampa Bay Lightning"
"231","Shayne Gostisbehere","D",191.4,NA,NA,NA,450,"Detroit Red Wings"
"232","Gabriel Vilardi","C",191.5,139,-52.5,-37.8,236.2,"Winnipeg Jets"
"233","Ivan Barbashev","C",191.5,146,-45.5,-31.2,403.2,"Vegas Golden Knights"
"234","Pyotr Kochetkov","G",191.5,184,-7.5,-4.1,0,"Carolina Hurricanes"
"235","Dawson Mercer","C",191.6,88,-103.6,-117.7,314.3,"New Jersey Devils"
"236","Matias Maccelli","W",191.6,172,-19.6,-11.4,108.8,"Arizona Coyotes"
"237","Kaapo Kahkonen","G",191.6,NA,NA,NA,562.9,"San Jose Sharks"
"238","Neal Pionk","D",191.6,NA,NA,NA,513.3,"Winnipeg Jets"
"239","Joel Farabee","W",191.6,NA,NA,NA,409.2,"Philadelphia Flyers"
"240","Seth Jarvis","C",191.6,NA,NA,NA,347.5,"Carolina Hurricanes"
"241","JJ Peterka","W",191.6,NA,NA,NA,15.7,"Buffalo Sabres"
"242","Hampus Lindholm","D",191.7,121,-70.7,-58.4,353.2,"Boston Bruins"
"243","Max Pacioretty","W",191.7,159,-32.7,-20.6,73,"Washington Capitals"
"244","Eeli Tolvanen","W",191.7,NA,NA,NA,444.4,"Seattle Kraken"
"245","Adam Larsson","D",191.7,NA,NA,NA,395.7,"Seattle Kraken"
"246","Jamie Drysdale","D",191.7,NA,NA,NA,380.5,"Anaheim Ducks"
"247","Rasmus Sandin","D",191.7,NA,NA,NA,318.9,"Washington Capitals"
"248","Brandt Clarke","D",191.7,NA,NA,NA,0,""
"249","Dominik Kubalik","W",191.8,NA,NA,NA,484.5,"Ottawa Senators"
"250","Torey Krug","D",191.8,NA,NA,NA,466.6,"St. Louis Blues"
"251","Cam York","D",191.8,NA,NA,NA,259.1,"Philadelphia Flyers"
"252","Nick Schmaltz","C",191.9,118,-73.9,-62.6,486.9,"Arizona Coyotes"
"253","Bowen Byram","D",191.9,126,-65.9,-52.3,367.3,"Colorado Avalanche"
"254","Robert Thomas","C",191.9,137,-54.9,-40.1,456.3,"St. Louis Blues"
"255","Mason McTavish","C",191.9,169,-22.9,-13.6,297,"Anaheim Ducks"
"256","Petr Mrazek","G",191.9,NA,NA,NA,561.7,"Chicago Blackhawks"
"257","Cam Atkinson","W",191.9,NA,NA,NA,519.4,"Philadelphia Flyers"
"258","Tony DeAngelo","D",191.9,NA,NA,NA,508.3,"Carolina Hurricanes"
"259","Jake Allen","G",191.9,NA,NA,NA,479.3,"Montreal Canadiens"
"260","Anthony Mantha","W",191.9,NA,NA,NA,443.3,"Washington Capitals"
"261","Vladislav Gavrikov","D",191.9,NA,NA,NA,409.8,"Los Angeles Kings"
"262","Marco Rossi","C",191.9,NA,NA,NA,376.1,"Minnesota Wild"
"263","Corey Perry","W",191.9,NA,NA,NA,332.7,"Chicago Blackhawks"
"264","Nicklas Backstrom","C",191.9,NA,NA,NA,308.3,"Washington Capitals"
"265","Calen Addison","D",191.9,NA,NA,NA,193.9,"Minnesota Wild"
"266","Daniel Sprong","W",191.9,NA,NA,NA,170.3,"Detroit Red Wings"
"267","Joel Hofer","G",191.9,NA,NA,NA,14.9,""
"268","Logan Stankoven","W",191.9,NA,NA,NA,0,""
"269","Brock Faber","D",191.9,NA,NA,NA,0,"Minnesota Wild"
"270","Luke Evangelista","W",191.9,NA,NA,NA,0,""
"271","Zach Benson","W",191.9,NA,NA,NA,NA,"Buffalo Sabres"
"272","Semyon Varlamov","G",192,NA,NA,NA,653.9,"New York Islanders"
"273","Pavel Francouz","G",192,NA,NA,NA,628.4,"Colorado Avalanche"
"274","Anton Forsberg","G",192,NA,NA,NA,553.4,"Ottawa Senators"
"275","Sean Couturier","C",192,NA,NA,NA,530.2,"Philadelphia Flyers"
"276","Ondrej Palat","W",192,NA,NA,NA,490.6,"New Jersey Devils"
"277","T.J. Oshie","W",192,NA,NA,NA,458.7,"Washington Capitals"
"278","Mike Hoffman","W",192,NA,NA,NA,452.2,"Montreal Canadiens"
"279","Josh Anderson","W",192,NA,NA,NA,430.9,"Montreal Canadiens"
"280","Tomas Tatar","W",192,NA,NA,NA,390.2,""
"281","Filip Chytil","C",192,NA,NA,NA,351.2,"New York Rangers"
"282","Juuso Valimaki","D",192,NA,NA,NA,283,"Arizona Coyotes"
"283","Alexander Holtz","W",192,NA,NA,NA,279.7,"New Jersey Devils"
"284","Lukas Dostal","G",192,NA,NA,NA,6.2,"Anaheim Ducks"
"285","Rafael Harvey-Pinard","W",192,NA,NA,NA,0,""
