player,player_id,position,team_name,player_game_count,comp_pct_diff,declined_penalties,dropbacks,franchise_id,no_screen_accuracy_percent,no_screen_aimed_passes,no_screen_attempts,no_screen_avg_depth_of_target,no_screen_avg_time_to_throw,no_screen_bats,no_screen_big_time_throws,no_screen_btt_rate,no_screen_completion_percent,no_screen_completions,no_screen_def_gen_pressures,no_screen_drop_rate,no_screen_dropbacks,no_screen_dropbacks_percent,no_screen_drops,no_screen_first_downs,no_screen_grades_coverage_defense,no_screen_grades_defense,no_screen_grades_defense_penalty,no_screen_grades_hands_drop,no_screen_grades_hands_fumble,no_screen_grades_offense,no_screen_grades_offense_penalty,no_screen_grades_pass,no_screen_grades_pass_route,no_screen_grades_pass_rush_defense,no_screen_grades_run,no_screen_hit_as_threw,no_screen_interceptions,no_screen_passing_snaps,no_screen_pressure_to_sack_rate,no_screen_qb_rating,no_screen_sack_percent,no_screen_sacks,no_screen_scrambles,no_screen_spikes,no_screen_thrown_aways,no_screen_touchdowns,no_screen_turnover_worthy_plays,no_screen_twp_rate,no_screen_yards,no_screen_ypa,npa_accuracy_percent,npa_aimed_passes,npa_attempts,npa_avg_depth_of_target,npa_avg_time_to_throw,npa_bats,npa_big_time_throws,npa_btt_rate,npa_completion_percent,npa_completions,npa_def_gen_pressures,npa_drop_rate,npa_dropbacks,npa_dropbacks_percent,npa_drops,npa_first_downs,npa_grades_coverage_defense,npa_grades_defense,npa_grades_defense_penalty,npa_grades_hands_drop,npa_grades_hands_fumble,npa_grades_offense,npa_grades_offense_penalty,npa_grades_pass,npa_grades_pass_route,npa_grades_pass_rush_defense,npa_grades_run,npa_hit_as_threw,npa_interceptions,npa_passing_snaps,npa_pressure_to_sack_rate,npa_qb_rating,npa_sack_percent,npa_sacks,npa_scrambles,npa_spikes,npa_thrown_aways,npa_touchdowns,npa_turnover_worthy_plays,npa_twp_rate,npa_yards,npa_ypa,pa_accuracy_percent,pa_aimed_passes,pa_attempts,pa_avg_depth_of_target,pa_avg_time_to_throw,pa_bats,pa_big_time_throws,pa_btt_rate,pa_completion_percent,pa_completions,pa_def_gen_pressures,pa_drop_rate,pa_dropbacks,pa_dropbacks_percent,pa_drops,pa_first_downs,pa_grades_coverage_defense,pa_grades_defense,pa_grades_defense_penalty,pa_grades_hands_drop,pa_grades_hands_fumble,pa_grades_offense,pa_grades_offense_penalty,pa_grades_pass,pa_grades_pass_route,pa_grades_pass_rush_defense,pa_grades_run,pa_hit_as_threw,pa_interceptions,pa_passing_snaps,pa_pressure_to_sack_rate,pa_qb_rating,pa_sack_percent,pa_sacks,pa_scrambles,pa_spikes,pa_thrown_aways,pa_touchdowns,pa_turnover_worthy_plays,pa_twp_rate,pa_yards,pa_ypa,penalties,screen_accuracy_percent,screen_aimed_passes,screen_attempts,screen_avg_depth_of_target,screen_avg_time_to_throw,screen_bats,screen_big_time_throws,screen_btt_rate,screen_completion_percent,screen_completions,screen_def_gen_pressures,screen_drop_rate,screen_dropbacks,screen_dropbacks_percent,screen_drops,screen_first_downs,screen_grades_coverage_defense,screen_grades_defense,screen_grades_defense_penalty,screen_grades_hands_drop,screen_grades_hands_fumble,screen_grades_offense,screen_grades_offense_penalty,screen_grades_pass,screen_grades_pass_route,screen_grades_pass_rush_defense,screen_grades_run,screen_hit_as_threw,screen_interceptions,screen_passing_snaps,screen_pressure_to_sack_rate,screen_qb_rating,screen_sack_percent,screen_sacks,screen_scrambles,screen_spikes,screen_thrown_aways,screen_touchdowns,screen_turnover_worthy_plays,screen_twp_rate,screen_yards,screen_ypa,ypa_diff
Trevor Lawrence,77632,QB,JAX,11,-0.35,0,427,15,73.3,288,308,10.3,2.73,9,24,7.1,63.3,195,113,7.6,359,84.1,16,114,,,,,54.3,86.5,56.7,83.6,,,76.3,4,7,388,21.2,90.9,6.7,24,27,0,7,12,13,3.4,2409,7.8,76.3,266,279,7.8,2.37,9,16,5.3,67.4,188,80,7.4,321,75.2,15,90,,,,,49.5,83.3,54.6,81.0,60.0,,73.1,1,4,344,23.8,93.5,5.9,19,19,0,3,11,9,2.6,1881,6.7,79.0,81,91,8.3,2.99,3,8,8.2,67.0,61,39,4.7,106,24.8,3,40,,,,,85.7,80.7,81.0,77.8,,,70.9,3,3,112,15.4,87.9,5.7,6,9,0,4,1,4,3.6,875,9.6,0,94.9,59,62,-3.5,1.43,3,0,0.0,87.1,54,6,3.6,68,15.9,2,16,,,,,82.2,66.8,79.2,67.0,60.0,,58.3,0,0,68,16.7,90.0,1.5,1,1,0,0,0,0,0.0,347,5.6,2.88
Jalen Hurts,40291,QB,PHI,11,-5.11,0,420,24,75.6,287,318,10.3,3.33,2,23,6.9,64.5,205,162,5.5,380,90.5,12,130,,,,,53.1,82.2,58.4,81.1,,,70.4,5,9,398,17.9,94.6,7.6,29,33,0,24,17,12,3.0,2498,7.9,79.0,243,264,8.5,3.07,1,17,6.1,68.9,182,118,5.2,303,72.1,10,97,,,,,45.6,77.7,54.9,78.2,,,65.2,3,7,320,13.6,96.7,5.3,16,23,0,17,13,10,3.1,2017,7.6,74.7,83,94,9.4,3.36,2,6,6.2,63.8,60,45,3.2,117,27.9,2,40,,,,,86.2,86.8,81.2,80.8,,,84.7,2,3,120,28.9,89.8,11.1,13,10,0,7,5,2,1.7,680,7.2,0,94.9,39,40,-2.5,1.47,1,0,0.0,92.5,37,1,0.0,40,9.5,0,7,,,,,79.3,75.1,77.3,73.9,,,,0,1,42,0.0,85.3,0.0,0,0,0,0,1,0,0.0,199,5.0,-0.41
Jordan Love,40306,QB,GB,11,10.62,0,415,12,68.0,300,324,11.4,2.88,5,18,5.3,57.4,186,124,8.8,366,88.2,18,122,,,,,56.8,74.9,54.5,73.6,60.0,,66.0,7,10,386,16.9,85.9,5.7,21,19,2,10,18,11,2.8,2356,7.3,67.3,260,280,9.9,2.62,5,15,5.1,57.9,162,89,7.4,314,75.7,13,97,,,,,71.4,74.2,51.5,73.1,,,64.6,5,7,331,19.1,81.5,5.4,17,15,2,8,13,8,2.4,1758,6.3,81.2,85,92,8.6,3.14,1,3,3.1,68.5,63,39,8.7,101,24.3,6,36,,,,,35.9,67.4,80.8,66.0,60.0,,65.6,2,3,107,10.3,105.4,4.0,4,4,0,4,6,3,2.8,841,9.1,0,88.9,45,48,-2.5,1.74,1,0,0.0,81.3,39,4,2.5,49,11.8,1,11,,,,,80.6,59.9,78.1,59.6,,,,0,0,52,0.0,94.7,0.0,0,0,0,2,1,0,0.0,243,5.1,2.86
Bryce Young,123943,QB,CAR,10,-0.37,0,414,5,72.7,271,314,7.8,3.02,4,9,2.7,59.6,187,162,5.1,377,91.1,10,100,,,,,27.8,50.2,38.2,48.1,,,71.1,5,6,405,24.7,76.3,10.6,40,22,0,34,9,14,3.5,1730,5.5,75.1,253,293,6.4,2.82,4,7,2.2,61.8,181,136,4.7,346,83.6,9,82,,,,,28.9,50.4,35.8,48.9,,,67.3,3,5,372,25.0,72.6,9.8,34,18,0,33,5,12,3.2,1442,4.9,72.0,50,57,8.0,3.22,1,2,3.4,61.4,35,28,2.8,68,16.4,1,24,,,,,44.6,50.5,79.3,47.6,,,72.0,2,3,72,21.4,86.5,8.8,6,4,0,4,4,3,4.2,435,7.6,0,90.6,32,36,-3.4,1.51,1,0,0.0,80.6,29,2,0.0,37,8.9,0,6,,,,,78.9,48.2,77.1,48.7,,,,0,2,39,0.0,60.5,0.0,0,0,0,3,0,1,2.6,147,4.1,2.71
Lamar Jackson,46416,QB,BLT,12,9.05,0,409,3,74.1,266,285,10.8,3.25,5,17,5.5,64.6,184,140,6.6,358,87.5,13,119,,,,,31.0,87.1,73.4,83.1,,,79.4,4,5,388,20.0,99.0,7.8,28,45,1,9,13,11,2.8,2408,8.4,74.9,223,239,9.1,3.03,4,14,5.4,65.7,157,111,6.0,298,72.9,10,86,,,,,43.4,81.6,71.8,77.1,,,78.0,4,5,324,21.6,92.2,8.1,24,34,1,7,10,9,2.8,1729,7.2,83.3,90,95,7.6,3.11,1,3,2.9,74.7,71,35,5.3,111,27.1,4,41,,,,,25.2,84.7,81.2,81.9,,,71.0,0,0,119,14.3,113.9,4.5,5,11,0,4,3,3,2.5,889,9.4,0,95.7,47,49,-3.2,1.67,0,0,0.0,89.8,44,6,2.2,51,12.5,1,8,,,,,28.9,60.5,78.3,60.2,,,,0,0,55,16.7,84.5,2.0,1,0,0,2,0,1,1.8,210,4.3,2.13
Tua Tagovailoa,60326,QB,MIA,11,2.05,0,404,17,75.7,296,318,10.4,2.48,6,25,7.5,65.1,207,87,7.6,346,85.6,17,139,,,,,49.8,88.0,71.1,90.6,60.0,,27.5,2,10,363,19.5,97.3,4.9,17,10,2,12,17,14,3.9,2764,8.7,77.0,243,255,7.0,2.11,6,17,6.4,69.0,176,58,5.9,275,68.1,11,102,,,,,39.4,75.4,68.7,80.7,60.0,,26.7,0,8,286,20.7,102.1,4.4,12,7,2,4,16,11,3.8,2123,8.3,85.3,109,121,10.6,2.72,2,8,6.3,71.1,86,29,7.5,129,31.9,7,56,,,,,87.1,93.5,81.7,92.6,,,59.2,2,2,137,17.2,108.6,3.9,5,3,0,8,6,3,2.2,1092,9.0,0,100.0,56,58,-3.7,1.21,2,0,0.0,94.8,55,0,1.8,58,14.4,1,19,,,,,81.4,72.0,78.6,71.0,,,,0,0,60,,127.8,0.0,0,0,0,0,5,0,0.0,451,7.8,0.69
Joe Burrow,28022,QB,CIN,10,-1.86,0,403,7,73.9,291,315,8.4,2.61,6,17,5.1,62.9,198,120,7.9,353,87.6,17,110,,,,,84.9,77.9,12.1,77.0,,,68.8,6,6,372,20.0,89.7,6.8,24,14,1,11,15,9,2.4,2066,6.6,75.6,271,287,6.7,2.41,4,13,4.3,67.2,193,99,5.9,320,79.4,12,89,,,,,83.1,72.3,7.5,72.5,,,61.7,4,5,336,23.2,89.4,7.2,23,10,1,7,11,8,2.4,1776,6.2,81.2,69,78,7.4,2.68,2,4,4.9,65.4,51,24,8.9,83,20.6,5,33,,,,,83.9,86.1,80.0,81.5,,,78.7,2,1,86,4.2,96.7,1.2,1,4,0,5,4,1,1.2,532,6.8,0,93.9,49,50,-2.2,1.47,0,0,0.0,92.0,46,3,0.0,50,12.4,0,12,,,,,80.4,66.9,78.0,66.2,,,,0,0,50,0.0,86.8,0.0,0,0,0,1,0,0,0.0,242,4.8,0.63
Derek Carr,8671,QB,NO,11,-3.17,0,402,20,71.7,314,337,9.9,2.66,3,15,4.2,63.5,214,129,4.9,367,91.3,11,106,,,,,41.4,67.1,69.4,67.3,,,48.7,5,5,384,17.1,87.1,6.0,22,8,0,15,9,12,3.1,2379,7.1,74.6,307,329,8.3,2.49,2,14,4.1,66.0,217,114,5.2,355,88.3,12,104,,,,,39.4,68.0,68.9,68.4,,,46.4,5,5,369,18.4,89.4,5.9,21,5,0,15,10,12,3.3,2256,6.9,67.5,40,43,11.1,3.06,1,1,2.2,62.8,27,16,0.0,47,11.7,0,13,,,,,80.4,61.5,78.1,60.9,,,61.3,0,0,50,6.3,81.4,2.1,1,3,0,2,0,0,0.0,279,6.5,0,93.9,33,35,-3.5,1.55,0,0,0.0,85.7,30,1,3.2,35,8.7,1,11,,,,,78.3,67.3,76.9,66.6,,,,0,0,35,0.0,94.8,0.0,0,0,0,2,1,0,0.0,156,4.5,-0.37
Zach Wilson,82096,QB,NYJ,10,4.6,0,382,22,68.9,257,281,9.3,3.02,5,8,2.7,57.7,162,154,8.5,341,89.3,15,86,,,,,52.6,56.0,87.3,53.8,58.4,,65.7,5,7,360,24.0,71.9,10.9,37,23,3,11,5,9,2.5,1769,6.3,71.7,233,259,8.2,2.86,4,7,2.5,58.3,151,131,9.6,311,81.4,16,72,,,,,36.4,54.2,87.1,52.1,58.4,,64.1,5,7,328,22.9,67.5,9.6,30,22,3,14,4,9,2.7,1426,5.5,73.7,57,62,6.7,3.19,2,1,1.5,62.9,39,31,7.1,71,18.6,3,21,,,,,82.9,65.4,79.5,63.7,,,66.4,0,0,75,25.8,100.1,11.3,8,1,0,3,2,1,1.3,518,8.4,0,97.0,33,40,-2.7,2.09,1,0,0.0,70.0,28,8,12.5,41,10.7,4,7,,,,,28.8,61.5,77.4,61.2,,,,0,0,43,12.5,87.0,2.4,1,0,0,6,1,1,2.3,175,4.4,2.84
Russell Wilson,7077,QB,DEN,11,-2.23,0,381,10,78.5,246,276,9.1,3.25,7,18,6.0,66.3,183,144,5.2,334,87.7,10,100,,,,,28.6,78.2,87.9,73.6,,,78.2,2,4,364,21.5,102.3,9.3,31,27,3,18,17,11,3.0,2017,7.3,80.6,227,254,6.7,3.0,5,11,4.1,68.9,175,113,4.4,302,79.3,8,86,,,,,35.8,74.9,87.7,70.3,,,77.1,2,3,324,22.1,100.2,8.3,25,22,3,17,13,9,2.8,1741,6.9,81.0,58,66,9.2,3.47,3,7,9.6,66.7,44,38,6.4,79,20.7,3,25,,,,,29.5,77.6,80.1,75.2,,,68.6,0,1,88,21.1,116.5,10.1,8,5,0,5,7,2,2.3,472,7.2,0,94.9,39,44,-4.8,2.03,1,0,0.0,81.8,36,7,2.7,47,12.3,1,11,,,,,80.1,64.3,77.8,63.7,,,,0,0,48,28.6,108.0,4.3,2,0,0,4,3,0,0.0,196,4.5,0.3
Mac Jones,60323,QB,NE,11,2.17,0,379,19,68.2,280,294,9.3,2.57,3,11,3.6,60.5,178,118,6.8,328,86.5,13,94,,,,,48.1,50.9,15.9,50.8,,,61.3,4,12,343,18.6,72.8,6.7,22,12,0,7,10,22,6.4,1828,6.2,72.0,264,276,7.7,2.4,3,8,2.8,64.5,178,102,6.3,305,80.5,12,81,,,,,57.4,53.5,13.1,53.5,,,61.4,4,8,318,18.6,77.9,6.2,19,10,0,5,8,18,5.7,1621,5.9,73.4,64,69,6.1,2.52,2,3,4.2,66.7,46,17,2.1,74,19.5,1,23,,,,,46.3,51.9,79.6,51.9,,,60.2,0,4,77,17.6,73.3,4.1,3,2,0,3,2,5,6.5,499,7.2,0,95.8,48,51,-3.6,1.44,2,0,0.0,90.2,46,1,0.0,51,13.5,0,10,,,,,80.6,64.8,78.1,64.2,,,,0,0,52,0.0,90.5,0.0,0,0,0,1,0,1,1.9,292,5.7,1.36
