Player,Roster Position,%Drafted,FPTS
Tage Thompson,C,2.16%,6.5
Pavel Zacha,W,2.13%,3
Andreas Johnsson,W,2.05%,1.5
Josh Morrissey,D,2.04%,17.1
Tim Stuetzle,W,1.99%,6.3
John Gibson,G,1.98%,29.6
Kaapo Kakko,W,1.97%,0
Rudolfs Balcers,W,1.94%,16
Jonathan Drouin,W,1.93%,1.3
Pius Suter,C,1.90%,1.5
Christian Dvorak,C,1.83%,18.7
Andrew Mangiapane,W,1.82%,5
Joe Veleno,W,1.80%,0
Connor Brown,W,1.80%,5
Nate Schmidt,D,1.77%,14.3
Tyler Pitlick,W,1.76%,1.5
Adam Lowry,UTIL,1.72%,4.1
Justin Braun,D,1.70%,7.8
Trevor Zegras,C,1.70%,0
Karel Vejmelka,G,1.70%,14.7
Jasper Weatherby,UTIL,1.68%,7.8
Ryan Getzlaf,C,1.61%,32
Filip Forsberg,W,1.60%,11.5
Jonas Brodin,UTIL,1.60%,10.8
Nicolas Roy,C,1.60%,4.3
Filip Zadina,W,1.57%,4.1
Matt Duchene,W,1.53%,19.3
Nick Ritchie,W,1.49%,4.1
Mikael Granlund,C,1.47%,11.5
Christopher Tanev,UTIL,1.47%,8
Mark Pysyk,D,1.46%,4.3
Jeff Skinner,W,1.42%,30.3
Rasmus Ristolainen,D,1.41%,1.5
Ryan Suter,D,1.41%,4.3
Travis Sanheim,D,1.38%,8
Tanner Pearson,UTIL,1.38%,5.8
Evgeny Svechnikov,W,1.37%,0
Nils Hoglander,W,1.35%,6
Tomas Tatar,W,1.31%,4.5
Dmitrij Jaskin,W,1.31%,1.5
Nick Paul,C,1.30%,15.6
Sonny Milano,W,1.24%,2.8
Esa Lindell,D,1.23%,2.6
Mattias Ekholm,D,1.23%,13.4
Lawson Crouse,W,1.22%,4.1
Tyler Myers,D,1.22%,9.3
Clayton Keller,W,1.19%,9.9
Adam Beckman,W,1.10%,1.5
Evgenii Dadonov,W,1.06%,7.1
Jamie Drysdale,D,1.06%,2.8
Zemgus Girgensons,C,1.05%,1.5
Adam Erne,UTIL,1.04%,0
Travis Dermott,D,0.99%,1.3
Brayden McNabb,D,0.98%,2.8
Miro Heiskanen,D,0.96%,2.8
Ondrej Kase,W,0.96%,3
Jacob Trouba,D,0.96%,4.3
Ben Chiarot,D,0.95%,9.9
Sam Gagner,W,0.94%,4.5
Pierre Engvall,W,0.94%,1.5
Shayne Gostisbehere,D,0.91%,3
Alexander Romanov,D,0.90%,0
John Leonard,W,0.90%,3
Santeri Hatakka,D,0.86%,1.3
Rasmus Dahlin,D,0.80%,1.5
Danny DeKeyser,D,0.77%,0
Jason Spezza,C,0.77%,0
Barrett Hayton,C,0.77%,1.5
Mario Ferraro,D,0.77%,27.5
Jimmy Vesey,UTIL,0.76%,1.5
Jaycob Megna,D,0.76%,0
Nick Leddy,D,0.75%,0
Nick Bjugstad,W,0.74%,1.5
Dysin Mayo,UTIL,0.74%,12.3
Phil Kessel,UTIL,0.73%,6
Kyle Okposo,W,0.71%,1.5
Cam Fowler,D,0.71%,10.6
Scott Laughton,C,0.70%,15.6
Rasmus Sandin,D,0.69%,0
Dmitry Kulikov,D,0.68%,9.3
Drake Caggiula,UTIL,0.67%,13
Max Comtois,UTIL,0.65%,0
Ty Smith,D,0.64%,4.1
Vinni Lettieri,W,0.64%,8
Jacob Bryson,D,0.61%,2.6
Chris Wideman,D,0.61%,1.3
Oskar Lindblom,W,0.61%,4.3
P.K. Subban,D,0.58%,5.6
T.J. Brodie,D,0.57%,13.4
Brenden Dillon,D,0.55%,11.8
Ryan Graves,D,0.55%,11
Oliver Ekman-Larsson,D,0.54%,4.5
Jordie Benn,UTIL,0.53%,0
K'Andre Miller,D,0.50%,1.3
Alexis Lafreniere,W,0.50%,1.3
Vladislav Namestnikov,W,0.49%,1.5
Yegor Sharangovich,W,0.49%,4.3
Dillon Dube,C,0.47%,10.5
Brandon Duhaime,W,0.47%,1.5
David Savard,D,0.47%,4.3
Dylan Coghlan,D,0.46%,3
Artturi Lehkonen,W,0.46%,5.8
Ryan Johansen,C,0.45%,6.3
Dylan Cozens,C,0.45%,6.5
Filip Chytil,C,0.45%,4.3
Logan Stanley,D,0.44%,9.9
Benoit-Olivier Groulx,W,0.42%,0
Nico Sturm,C,0.41%,13
Andrew Cogliano,W,0.40%,0
Conor Garland,W,0.39%,13
Alex Chiasson,W,0.39%,1.5
Keegan Kolesar,W,0.38%,2.8
Tyler Ennis,W,0.38%,8
Damon Severson,D,0.38%,9.7
Colin Miller,D,0.37%,2.8
Erik Gudbranson,D,0.37%,1.5
Oliver Kylington,D,0.36%,17.1
Victor Soderstrom,D,0.36%,2.8
Kevin Shattenkirk,D,0.35%,8
Vinnie Hinostroza,W,0.35%,13
Calen Addison,D,0.35%,10
Sammy Blais,W,0.33%,1.5
Travis Hamonic,D,0.33%,2.6
Eeli Tolvanen,UTIL,0.30%,0
Justin Holl,D,0.29%,0
Hampus Lindholm,D,0.29%,2.8
Ryan Lindgren,D,0.29%,6.9
Philip Tomasino,W,0.29%,1.5
Johan Larsson,C,0.29%,2.8
Victor Olofsson,W,0.28%,0
Chris Tierney,UTIL,0.28%,12.8
Robert Hagg,D,0.26%,13.4
Radek Faksa,C,0.26%,1.3
Christian Fischer,C,0.25%,1.5
Brett Howden,W,0.25%,1.3
David Kampf,UTIL,0.24%,1.3
Isac Lundestrom,C,0.23%,13.3
Nicolas Deslauriers,W,0.23%,3
Nick Merkley,UTIL,0.23%,8
Cole Caufield,W,0.23%,0
Lane Pederson,UTIL,0.20%,1.5
Patrik Nemeth,D,0.20%,9.9
Josh Manson,D,0.20%,9.5
Milan Lucic,W,0.19%,6.9
William Carrier,UTIL,0.19%,2.8
Connor Dewar,UTIL,0.19%,1.3
Timothy Liljegren,D,0.19%,4.3
Tanner Jeannot,W,0.18%,4.5
Michael McLeod,C,0.18%,1.5
Nick Cousins,W,0.18%,1.3
Cody Eakin,C,0.17%,2.8
Colton Sissons,UTIL,0.16%,1.5
Dylan Larkin,C,0.15%,0
Dante Fabbro,D,0.15%,2.6
Nick Seeler,D,0.15%,1.3
Luke Kunin,W,0.15%,14.5
Michael Pezzetta,C,0.15%,3
Wayne Simmonds,W,0.14%,0
Peyton Krebs,W,0.14%,1.5
Jordan Oesterle,D,0.14%,0
Jake Evans,W,0.13%,4.5
Nikita Zaitsev,D,0.13%,4.5
Martin Jones,G,0.12%,0
Jonas Siegenthaler,D,0.12%,8.4
Andrew Ladd,W,0.11%,4.1
Denis Gurianov,UTIL,0.09%,0
Thomas Novak,C,0.09%,0
Alexandre Carrier,D,0.09%,9.1
Josh Mahura,D,0.09%,1.5
Anthony Stolarz,G,0.08%,0
Tucker Poolman,UTIL,0.08%,10.8
Matt Benning,D,0.07%,2.8
Victor Mete,D,0.07%,0
Joel Kiviranta,W,0.07%,0
Michael Stone,D,0.06%,0
Scott Wedgewood,G,0.06%,0
Thomas Harley,D,0.06%,4.1
Kyle Rau,UTIL,0.06%,1.5
Jason Dickinson,C,0.06%,1.5
Janne Kuokkanen,UTIL,0.06%,0
Sami Niku,D,0.06%,0
Jon Merrill,D,0.06%,7.8
Liam O'Brien,W,0.05%,1.5
Yakov Trenin,W,0.05%,1.3
Trevor Lewis,W,0.05%,3
Jon Lizotte,UTIL,0.05%,0
Loui Eriksson,W,0.05%,4.5
Brett Ritchie,W,0.05%,3
Anton Stralman,D,0.05%,1.5
Alex Formenton,UTIL,0.04%,7.8
Travis Boyd,C,0.04%,0
Michael Amadio,UTIL,0.04%,2.8
Vasily Podkolzin,W,0.04%,13
Michael Raffl,W,0.04%,1.5
Jay Beagle,C,0.04%,0
Michael Del Zotto,D,0.04%,12.6
Glenn Gawdin,C,0.04%,0
Jarred Tinordi,D,0.03%,0
Thomas Greiss,G,0.03%,0
Sam Carrick,W,0.03%,1.3
Marc Staal,D,0.03%,4.5
Luke Glendening,UTIL,0.03%,1.3
Sam Steel,C,0.03%,1.5
Timo Meier,UTIL,0.03%,0
Arttu Ruotsalainen,UTIL,0.03%,1.5
Dylan DeMelo,D,0.03%,1.5
Brett Kulak,D,0.02%,4.5
Kyle Burroughs,D,0.02%,0
Luke Schenn,D,0.02%,0
Adam Brooks,C,0.02%,0
Mark Borowiecki,D,0.02%,1.5
Connor Ingram,G,0.02%,0
Nick Holden,D,0.02%,0
Freddy Gauthier,UTIL,0.02%,1.5
Xavier Ouellet,D,0.01%,0
Corey Crawford,G,0.01%,0
Jaroslav Halak,G,0.01%,0
Adin Hill,G,0.01%,0
Mitchell Stephens,C,0.01%,3
Max Willman,C,0.01%,0
Tory Dello,UTIL,0.01%,0
Simon Benoit,D,0.01%,0
Erik Karlsson,D,0.01%,0
Nathan Beaulieu,D,0.01%,6.5
Jonas Rondbjerg,W,0.01%,0
Braeden Kressler,C,0.01%,0
Kevin Rooney,W,0.01%,4.1
Brad Hunt,D,0.01%,0
Jani Hakanpaa,D,0.01%,1.3
Lukas Dostal,G,0.01%,0
Troy Stecher,D,0.01%,0
Zach Sawchenko,G,0.01%,0
Tyler Wall,G,0.01%,0
Tomas Vomacka,G,0.01%,0
Spencer Martin,G,0.01%,0
Remi Poirier,G,0.01%,0
Kevin Mandolese,G,0.01%,0
Keith Kinkaid,G,0.01%,0
Josef Korenar,G,0.01%,0
Joe Vrbetic,G,0.01%,0
Jake Oettinger,G,0.01%,0
Colton Point,G,0.01%,0
Benjamin Gaudreau,G,0.01%,0
Alexis Gravel,G,0.01%,0
Alexander Bishop,G,0.01%,0
Adam Scheel,G,0.01%,0
Marian Studenic,W,0.01%,1.3
Anders Bjork,W,0.01%,0
Nikita Zadorov,D,0.01%,1.3
Nils Lundkvist,D,0.01%,0
Dustin Tokarski,G,0.01%,0
Derek Grant,UTIL,0.01%,13
Philippe Myers,D,0.01%,0
Alex Belzile,W,0.01%,3
