"","Name","TeamAbbrev","Salary","proj_own","fpts","sum_sd","touches_game","runBlockAdv","opp","off_def","off_rush_epa_rank","def_rush_epa_rank","rdef_rank","mtf_per_attempt","breakaway_percent","elusive_rating","tack_rank","grades_offense","yco_attempt","yprr","name_salary_own"
"28","Benny Snell Jr.","PIT",4300,0.03,2.5,-0.005,5,-30,"BAL",-3,10,2,12,0.7,18.6,54.4,13,86.2,2.72,1.31,"Benny Snell Jr. 4300 0.03"
"29","Justice Hill","BAL",4000,0.06,0.59,-0.12,5.1,-10,"PIT",8,4,18,6,27.5,15.1,87.8,6,60,3.73,0.45,"Justice Hill 4000 0.06"
"30","Dontrell Hilliard","TEN",4500,0.22,5.65,-0.152,3.9,-5,"JAX",-0.5,16,18,13,0.7,35.2,17.3,32,67.6,3.73,1.44,"Dontrell Hilliard 4500 0.22"
"31","Jerick McKinnon","KC",4600,2.38,9.1,-0.158,6.5,4,"DEN",0,11,14,8,4.7,24,39.7,19,54.8,2.38,1.04,"Jerick McKinnon 4600 2.38"
"32","Jordan Mason","SF",4400,0.21,2.92,-0.17,3.6,-4,"TB",1.5,13,13,16,0.7,19.6,94.1,11,88.1,3.39,0,"Jordan Mason 4400 0.21"
"33","Chuba Hubbard","CAR",4800,0.26,6.1,-0.177,4.6,-34,"SEA",17.5,2,24,15,0.9,9.7,47.7,18,64.8,2.44,0.75,"Chuba Hubbard 4800 0.26"
"34","Alexander Mattison","MIN",4900,0.05,3.8,-0.267,5.1,25,"DET",13.5,12,28,23,5,8.6,116.4,16,68.8,2.96,0.68,"Alexander Mattison 4900 0.05"
"35","D'Ernest Johnson","CLE",4000,0.03,0.46,-0.27,1.8,14,"CIN",13.5,7,23,18,2.5,0,42.9,7,65.9,3,0.39,"D'Ernest Johnson 4000 0.03"
"36","Matt Breida","NYG",4300,0.04,3.8,-0.28,3.6,-23,"PHI",6,14,20,20,1.5,0,21.6,24,66.8,2.32,1.11,"Matt Breida 4300 0.04"
"37","D'Andre Swift","DET",5800,17.3,15.04,-0.306,10.2,-17,"MIN",-20.5,25,6,3,2.3,42.4,58.1,4,71.6,2.97,1.57,"D'Andre Swift 5800 17.3"
"38","Tony Jones Jr.","SEA",4800,0.39,8.6,-0.316,4.3,-40,"CAR",-7,20,10,16,0.1,0,30.8,14,50.1,2,0.79,"Tony Jones Jr. 4800 0.39"
"39","Travis Homer","SEA",5000,1.24,10.38,-0.318,2.7,-40,"CAR",-7,20,10,16,0.3,0,87.7,14,70.8,3.33,2.1,"Travis Homer 5000 1.24"
"40","JaMycal Hasty","JAX",4700,0.04,3.77,-0.326,3.4,-63,"TEN",-16.5,19,1,4,4.6,50.8,58.4,17,66.3,2.16,1.34,"JaMycal Hasty 4700 0.04"
"41","Hassan Haskins","TEN",4000,0.02,0.28,-0.349,1.3,-5,"JAX",-0.5,16,18,13,3.7,0,73.8,32,61.1,3.2,0.19,"Hassan Haskins 4000 0.02"
"42","Leonard Fournette","TB",5600,1.26,9.84,-0.369,17.6,-43,"SF",-26.5,32,9,2,1.1,6.7,34.2,3,66.1,2.29,1.17,"Leonard Fournette 5600 1.26"
"43","Rex Burkhead","HOU",4000,0.03,0.82,-0.376,4.7,-23,"DAL",-7.5,27,15,24,6,0,38.1,5,59.7,2.83,1.11,"Rex Burkhead 4000 0.03"
"44","James Cook","BUF",4600,6.18,10.49,-0.384,6.2,-43,"NYJ",-8.5,21,16,9,1.8,50.8,78.8,12,79.7,3.28,2.16,"James Cook 4600 6.18"
"45","Kyle Juszczyk","SF",4200,0.06,2.36,-0.401,1.9,-4,"TB",1.5,13,13,16,0,0,30.5,11,63.2,1.6,1.12,"Kyle Juszczyk 4200 0.06"
"46","Demetric Felton","CLE",4000,0.06,0.1,-0.479,0.7,14,"CIN",13.5,7,23,18,10.1,0,50,7,50.6,1,0.16,"Demetric Felton 4000 0.06"
"47","Snoop Conner","JAX",4000,0.04,0.13,-0.481,1,-63,"TEN",-16.5,19,1,4,1,0,50,17,65.1,2,0,"Snoop Conner 4000 0.04"
"48","Marlon Mack","DEN",4000,0.06,2.16,-0.572,3,-13,"KC",-11,30,19,19,0.8,0,54.2,26,69.3,3.25,1.83,"Marlon Mack 4000 0.06"
"49","Mike Boone","DEN",4200,0.36,6.7,-0.575,3.5,-13,"KC",-11,30,19,19,1.6,33,59.2,26,52.4,2.76,1.01,"Mike Boone 4200 0.36"
"50","Dare Ogunbowale","HOU",4000,0.07,4.45,-0.589,2,-23,"DAL",-7.5,27,15,24,3.5,0,59.5,5,71.7,2.14,2.76,"Dare Ogunbowale 4000 0.07"
"51","Justin Jackson","DET",4000,0.09,4.37,-0.604,4.3,-17,"MIN",-20.5,25,6,3,0.9,20.1,38.3,4,62.2,3.73,1,"Justin Jackson 4000 0.09"
"52","Nyheim Hines","BUF",4200,0.23,3.6,-0.65,4.1,-43,"NYJ",-8.5,21,16,9,0,0,15.6,12,63.9,1.27,1.76,"Nyheim Hines 4200 0.23"
"53","Rachaad White","TB",5500,9.47,10.26,-0.838,9.8,-43,"SF",-26.5,32,9,2,1,26,29.7,3,66.7,2.34,1.21,"Rachaad White 5500 9.47"
"54","Travis Etienne Jr.","JAX",6400,13.36,14.96,NA,NA,-63,"TEN",-16.5,19,1,4,NA,NA,NA,17,NA,NA,NA,"Travis Etienne Jr. 6400 13.36"
"55","Chris Evans","CIN",4000,0.05,0.67,NA,NA,6,"CLE",9,22,30,32,NA,NA,NA,31,NA,NA,NA,"Chris Evans 4000 0.05"
